erinaceus_europaeus ENSEEUG00000014818
sorex_araneus ENSSARG00000010674
equus_caballus ENSECAG00000016383
equus_asinus ENSEASG00005009707
bos_taurus ENSBTAG00000010350
bos_mutus ENSBMUG00000004266
bison_bison ENSBBBG00000005839
ovis_aries ENSOARG00000016533
capra_hircus ENSCHIG00000013642
tursiops_truncatus ENSTTRG00000002906
sus_scrofa ENSSSCG00000023174
vicugna_pacos ENSVPAG00000011067
ursus_maritimus ENSUMAG00000003650
ursus_americanus ENSUAMG00000000622
ailuropoda_melanoleuca ENSAMEG00000016922
neovison_vison ENSNVIG00000012706
mustela_putorius ENSMPUG00000017422
canis_lupus ENSCAFG00020017496
canis_lupus ENSCAFG00000012449
vulpes_vulpes ENSVVUG00000008187
panthera_tigris ENSPTIG00000011597
panthera_pardus ENSPPRG00000002944
felis_catus ENSFCAG00000014472
myotis_lucifugus ENSMLUG00000023968
heterocephalus_glaber ENSHGLG00100005424
heterocephalus_glaber ENSHGLG00000000081
fukomys_damarensis ENSFDAG00000008376
chinchilla_lanigera ENSCLAG00000005403
octodon_degus ENSODEG00000009751
cavia_porcellus ENSCPOG00000001323
cavia_aperea ENSCAPG00000016311
castor_canadensis ENSCCNG00000017911
rattus_norvegicus ENSRNOG00000014660
jaculus_jaculus ENSJJAG00000019057
ochotona_princeps ENSOPRG00000007794
oryctolagus_cuniculus ENSOCUG00000013733
pan_troglodytes ENSPTRG00000016397
pan_paniscus ENSPPAG00000036629
gorilla_gorilla ENSGGOG00000006480
homo_sapiens ENSG00000145390
pongo_abelii ENSPPYG00000015025
nomascus_leucogenys ENSNLEG00000009014
macaca_fascicularis ENSMFAG00000045201
macaca_mulatta ENSMMUG00000008705
macaca_nemestrina ENSMNEG00000035179
chlorocebus_sabaeus ENSCSAG00000003748
theropithecus_gelada ENSTGEG00000006066
papio_anubis ENSPANG00000001095
cercocebus_atys ENSCATG00000039375
mandrillus_leucophaeus ENSMLEG00000035788
piliocolobus_tephrosceles ENSPTEG00000029061
colobus_angolensis ENSCANG00000031378
rhinopithecus_roxellana ENSRROG00000029034
rhinopithecus_bieti ENSRBIG00000041629
saimiri_boliviensis ENSSBOG00000028212
cebus_capucinus ENSCCAG00000032146
callithrix_jacchus ENSCJAG00000003234
aotus_nancymaae ENSANAG00000037495
carlito_syrichta ENSTSYG00000001934
microcebus_murinus ENSMICG00000028531
prolemur_simus ENSPSMG00000012411
propithecus_coquereli ENSPCOG00000027198
microcebus_murinus ENSMICG00000009496
otolemur_garnettii ENSOGAG00000015516
tupaia_belangeri ENSTBEG00000006206
dasypus_novemcinctus ENSDNOG00000003596
choloepus_hoffmanni ENSCHOG00000005832
loxodonta_africana ENSLAFG00000015483
procavia_capensis ENSPCAG00000002529
echinops_telfairi ENSETEG00000007864
cricetulus_griseus ENSCGRG00001017024
cricetulus_griseus ENSCGRG00015002501
cricetulus_griseus ENSCGRG00000003077
mesocricetus_auratus ENSMAUG00000001112
peromyscus_maniculatus ENSPEMG00000022287
microtus_ochrogaster ENSMOCG00000012858
mus_musculus ENSMUSG00000039701
mus_spicilegus ENSMSIG00000016537
mus_spretus MGP_SPRETEiJ_G0026551
mus_caroli MGP_CAROLIEiJ_G0025598
mus_pahari MGP_PahariEiJ_G0027045
rattus_norvegicus ENSRNOG00000058153
meriones_unguiculatus ENSMUGG00000025009
nannospalax_galili ENSNGAG00000011891
dipodomys_ordii ENSDORG00000003913
pteropus_vampyrus ENSPVAG00000000339
myotis_lucifugus ENSMLUG00000015449
urocitellus_parryii ENSUPAG00010004495
ictidomys_tridecemlineatus ENSSTOG00000004182
spermophilus_dauricus ENSSDAG00000001284
marmota_marmota ENSMMMG00000022227
notamacropus_eugenii ENSMEUG00000009040
phascolarctos_cinereus ENSPCIG00000020533
sarcophilus_harrisii ENSSHAG00000011019
monodelphis_domestica ENSMODG00000018951
ornithorhynchus_anatinus ENSOANG00000003314
sphenodon_punctatus ENSSPUG00000008599
sphenodon_punctatus ENSSPUG00000008612
sphenodon_punctatus ENSSPUG00000008605
sphenodon_punctatus ENSSPUG00000008608
pogona_vitticeps ENSPVIG00000001340
anolis_carolinensis ENSACAG00000013366
notechis_scutatus ENSNSUG00000008862
salvator_merianae ENSSMRG00000015405
dromaius_novaehollandiae ENSDNVG00000007597
nothoprocta_perdicaria ENSNPEG00000011368
apteryx_owenii ENSAOWG00000006392
apteryx_owenii ENSAOWG00000006389
apteryx_haastii ENSAHAG00000007557
apteryx_rowi ENSARWG00000004885
calidris_pygmaea ENSCPGG00000017052
calidris_pugnax ENSCPUG00000012557
taeniopygia_guttata ENSTGUG00000001892
lonchura_striata ENSLSDG00000015150
zonotrichia_albicollis ENSZALG00000016117
junco_hyemalis ENSJHYG00000007373
serinus_canaria ENSSCAG00000002126
ficedula_albicollis ENSFALG00000000891
cyanistes_caeruleus ENSCCEG00000023730
parus_major ENSPMJG00000007340
lepidothrix_coronata ENSLCOG00000004073
manacus_vitellinus ENSMVIG00005006282
melopsittacus_undulatus ENSMUNG00000008906
anser_brachyrhynchus ENSABRG00000015590
anas_platyrhynchos ENSAPLG00000027499
gallus_gallus ENSGALG00000011990
coturnix_japonica ENSCJPG00005003725
meleagris_gallopavo ENSMGAG00000010759
numida_meleagris ENSNMEG00000000820
crocodylus_porosus ENSCPRG00005004843
chelonoidis_abingdonii ENSCABG00000005929
gopherus_agassizii ENSGAGG00000019145
chrysemys_picta ENSCPBG00000024758
pelodiscus_sinensis ENSPSIG00000011336
xenopus_tropicalis ENSXETG00000004044
latimeria_chalumnae ENSLACG00000011066
mola_mola ENSMMOG00000011988
takifugu_rubripes ENSTRUG00000025974
labrus_bergylta ENSLBEG00000019095
gasterosteus_aculeatus ENSGACG00000019533
poecilia_formosa ENSPFOG00000002651
poecilia_mexicana ENSPMEG00000016069
poecilia_latipinna ENSPLAG00000021314
poecilia_reticulata ENSPREG00000018805
xiphophorus_maculatus ENSXMAG00000021530
xiphophorus_couchianus ENSXCOG00000004830
gambusia_affinis ENSGAFG00000016135
fundulus_heteroclitus ENSFHEG00000022100
cyprinodon_variegatus ENSCVAG00000017171
kryptolebias_marmoratus ENSKMAG00000005777
oryzias_latipes ENSORLG00020015193
oryzias_latipes ENSORLG00000004686
oryzias_latipes ENSORLG00015012646
oryzias_melastigma ENSOMEG00000005608
