oreochromis_niloticus ENSONIG00000004568
mola_mola ENSMMOG00000005261
lates_calcarifer ENSLCAG00010008105
poecilia_formosa ENSPFOG00000023690
poecilia_latipinna ENSPLAG00000015624
poecilia_mexicana ENSPMEG00000018221
hucho_hucho ENSHHUG00000007186
erpetoichthys_calabaricus ENSECRG00000018242
cricetulus_griseus ENSCGRG00000004827
mus_spicilegus ENSMSIG00000024783
prolemur_simus ENSPSMG00000024831
equus_asinus ENSEASG00005020854
sorex_araneus ENSSARG00000012564
tupaia_belangeri ENSTBEG00000012752
ochotona_princeps ENSOPRG00000015811
choloepus_hoffmanni ENSCHOG00000013689
echinops_telfairi ENSETEG00000014893
notamacropus_eugenii ENSMEUG00000000335
sphenodon_punctatus ENSSPUG00000015239
