poecilia_mexicana ENSPMEG00000010055
poecilia_latipinna ENSPLAG00000023555
xiphophorus_maculatus ENSXMAG00000021197
cyprinodon_variegatus ENSCVAG00000016894
oryzias_melastigma ENSOMEG00000014742
seriola_dumerili ENSSDUG00000015547
seriola_lalandi_dorsalis ENSSLDG00000007465
mastacembelus_armatus ENSMAMG00000006149
scophthalmus_maximus ENSSMAG00000018995
cynoglossus_semilaevis ENSCSEG00000004753
amphilophus_citrinellus ENSACIG00000014903
takifugu_rubripes ENSTRUG00000019640
hippocampus_comes ENSHCOG00000001434
