caenorhabditis_elegans WBGene00015813
drosophila_melanogaster FBgn0029899
ciona_savignyi ENSCSAVG00000007923
ciona_intestinalis ENSCING00000007364
drosophila_melanogaster FBgn0031390
astyanax_mexicanus ENSAMXG00000014184
astyanax_mexicanus ENSAMXG00005023924
pygocentrus_nattereri ENSPNAG00000020593
ictalurus_punctatus ENSIPUG00000015876
electrophorus_electricus ENSEEEG00000005252
danio_rerio ENSDARG00000037503
clupea_harengus ENSCHAG00000018329
poecilia_formosa ENSPFOG00000019556
poecilia_mexicana ENSPMEG00000002951
poecilia_latipinna ENSPLAG00000005761
poecilia_reticulata ENSPREG00000021746
xiphophorus_maculatus ENSXMAG00000011604
xiphophorus_couchianus ENSXCOG00000006301
gambusia_affinis ENSGAFG00000005902
fundulus_heteroclitus ENSFHEG00000001695
cyprinodon_variegatus ENSCVAG00000021509
kryptolebias_marmoratus ENSKMAG00000012263
oryzias_latipes ENSORLG00015000665
oryzias_latipes ENSORLG00000008692
oryzias_latipes ENSORLG00020002321
oryzias_melastigma ENSOMEG00000004006
amphiprion_ocellaris ENSAOCG00000013305
amphiprion_percula ENSAPEG00000004792
acanthochromis_polyacanthus ENSAPOG00000003459
stegastes_partitus ENSSPAG00000023593
parambassis_ranga ENSPRNG00000025155
maylandia_zebra ENSMZEG00005015842
astatotilapia_calliptera ENSACLG00000012036
pundamilia_nyererei ENSPNYG00000019622
haplochromis_burtoni ENSHBUG00000003516
neolamprologus_brichardi ENSNBRG00000018089
oreochromis_niloticus ENSONIG00000004348
amphilophus_citrinellus ENSACIG00000015022
lates_calcarifer ENSLCAG00010024835
scophthalmus_maximus ENSSMAG00000016574
seriola_dumerili ENSSDUG00000012815
seriola_lalandi ENSSLDG00000015816
mastacembelus_armatus ENSMAMG00000012993
monopterus_albus ENSMALG00000019718
anabas_testudineus ENSATEG00000013110
larimichthys_crocea ENSLCRG00005015759
labrus_bergylta ENSLBEG00000003049
cottoperca_gobio ENSCGOG00000011769
gasterosteus_aculeatus ENSGACG00000020367
takifugu_rubripes ENSTRUG00000015122
tetraodon_nigroviridis ENSTNIG00000011794
mola_mola ENSMMOG00000016313
betta_splendens ENSBSLG00000007877
hippocampus_comes ENSHCOG00000006276
periophthalmus_magnuspinnatus ENSPMGG00000002688
cynoglossus_semilaevis ENSCSEG00000019946
gadus_morhua ENSGMOG00000000069
hucho_hucho ENSHHUG00000005781
hucho_hucho ENSHHUG00000034075
esox_lucius ENSELUG00000007778
denticeps_clupeoides ENSDCDG00000035348
scleropages_formosus ENSSFOG00015010127
paramormyrops_kingsleyae ENSPKIG00000021719
vombatus_ursinus ENSVURG00010004362
phascolarctos_cinereus ENSPCIG00000007574
notamacropus_eugenii ENSMEUG00000003533
sarcophilus_harrisii ENSSHAG00000015987
monodelphis_domestica ENSMODG00000014984
vombatus_ursinus ENSVURG00010014528
cricetulus_griseus ENSCGRG00001015509
cricetulus_griseus ENSCGRG00015014602
cricetulus_griseus ENSCGRG00000001226
mesocricetus_auratus ENSMAUG00000002356
