ictalurus_punctatus ENSIPUG00000001168
astyanax_mexicanus ENSAMXG00000010622
mastacembelus_armatus ENSMAMG00000002484
monopterus_albus ENSMALG00000003856
anabas_testudineus ENSATEG00000007970
mola_mola ENSMMOG00000009580
tetraodon_nigroviridis ENSTNIG00000010206
labrus_bergylta ENSLBEG00000006962
xiphophorus_maculatus ENSXMAG00000021006
xiphophorus_couchianus ENSXCOG00000009729
poecilia_reticulata ENSPREG00000011491
poecilia_latipinna ENSPLAG00000016382
poecilia_mexicana ENSPMEG00000013537
gambusia_affinis ENSGAFG00000005333
cyprinodon_variegatus ENSCVAG00000007284
kryptolebias_marmoratus ENSKMAG00000013584
stegastes_partitus ENSSPAG00000017467
hippocampus_comes ENSHCOG00000017337
esox_lucius ENSELUG00000010596
paramormyrops_kingsleyae ENSPKIG00000023199
sphenodon_punctatus ENSSPUG00000005492
pogona_vitticeps ENSPVIG00000020093
