ailuropoda_melanoleuca ENSAMEG00000019555
ursus_americanus ENSUAMG00000015774
canis_lupus_familiaris ENSCAFG00000023913
canis_lupus_dingo ENSCAFG00020019319
vulpes_vulpes ENSVVUG00000017906
vulpes_vulpes ENSVVUG00000017910
vulpes_vulpes ENSVVUG00000017899
panthera_pardus ENSPPRG00000017877
panthera_tigris_altaica ENSPTIG00000006009
felis_catus ENSFCAG00000003887
ovis_aries ENSOARG00000006955
capra_hircus ENSCHIG00000012178
bos_taurus ENSBTAG00000049745
bos_mutus ENSBMUG00000015974
bison_bison_bison ENSBBBG00000021743
echinops_telfairi ENSETEG00000005850
octodon_degus ENSODEG00000018515
octodon_degus ENSODEG00000018510
chinchilla_lanigera ENSCLAG00000017857
cavia_porcellus ENSCPOG00000007960
fukomys_damarensis ENSFDAG00000002800
spermophilus_dauricus ENSSDAG00000000909
urocitellus_parryii ENSUPAG00010007330
ictidomys_tridecemlineatus ENSSTOG00000026895
ictidomys_tridecemlineatus ENSSTOG00000004864
ictidomys_tridecemlineatus ENSSTOG00000029778
marmota_marmota_marmota ENSMMMG00000000265
urocitellus_parryii ENSUPAG00010007322
marmota_marmota_marmota ENSMMMG00000000279
spermophilus_dauricus ENSSDAG00000000901
oryctolagus_cuniculus ENSOCUG00000007248
tupaia_belangeri ENSTBEG00000005816
bos_taurus ENSBTAG00000049967
bos_mutus ENSBMUG00000016081
bison_bison_bison ENSBBBG00000021698
capra_hircus ENSCHIG00000004948
sus_scrofa ENSSSCG00000036150
sus_scrofa ENSSSCG00000033725
sus_scrofa ENSSSCG00000031654
bos_taurus ENSBTAG00000022556
bison_bison_bison ENSBBBG00000021737
ovis_aries ENSOARG00000006986
capra_hircus ENSCHIG00000006772
erinaceus_europaeus ENSEEUG00000011041
castor_canadensis ENSCCNG00000006456
dipodomys_ordii ENSDORG00000013579
pan_paniscus ENSPPAG00000005384
pan_troglodytes ENSPTRG00000001505
homo_sapiens ENSG00000173285
nomascus_leucogenys ENSNLEG00000018290
macaca_fascicularis ENSMFAG00000043334
macaca_mulatta ENSMMUG00000004508
theropithecus_gelada ENSTGEG00000003963
chlorocebus_sabaeus ENSCSAG00000000063
aotus_nancymaae ENSANAG00000019947
aotus_nancymaae ENSANAG00000036137
callithrix_jacchus ENSCJAG00000022048
carlito_syrichta ENSTSYG00000028183
prolemur_simus ENSPSMG00000012707
otolemur_garnettii ENSOGAG00000032551
equus_asinus_asinus ENSEASG00005003435
equus_asinus_asinus ENSEASG00005003439
equus_caballus ENSECAG00000029793
equus_caballus ENSECAG00000028331
equus_caballus ENSECAG00000028433
equus_asinus_asinus ENSEASG00005003428
loxodonta_africana ENSLAFG00000016365
loxodonta_africana ENSLAFG00000005161
notamacropus_eugenii ENSMEUG00000008038
phascolarctos_cinereus ENSPCIG00000028723
sarcophilus_harrisii ENSSHAG00000005814
sarcophilus_harrisii ENSSHAG00000013077
sarcophilus_harrisii ENSSHAG00000006128
cavia_porcellus ENSCPOG00000021916
cavia_aperea ENSCAPG00000006966
chinchilla_lanigera ENSCLAG00000017955
urocitellus_parryii ENSUPAG00010007336
spermophilus_dauricus ENSSDAG00000000930
ictidomys_tridecemlineatus ENSSTOG00000028649
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032389
mus_spicilegus ENSMSIG00000011619
mus_musculus ENSMUSG00000047286
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031270
mus_pahari MGP_PahariEiJ_G0022876
rattus_norvegicus ENSRNOG00000028439
meriones_unguiculatus ENSMUGG00000015490
cricetulus_griseus_crigri ENSCGRG00000018884
cricetulus_griseus_chok1gshd ENSCGRG00001005057
cricetulus_griseus_crigri-picr ENSCGRG00015004449
peromyscus_maniculatus_bairdii ENSPEMG00000027328
oryctolagus_cuniculus ENSOCUG00000022281
prolemur_simus ENSPSMG00000012702
otolemur_garnettii ENSOGAG00000028851
carlito_syrichta ENSTSYG00000026326
carlito_syrichta ENSTSYG00000005487
tupaia_belangeri ENSTBEG00000005502
ovis_aries ENSOARG00000007014
capra_hircus ENSCHIG00000001478
bos_mutus ENSBMUG00000016062
pteropus_vampyrus ENSPVAG00000002392
procavia_capensis ENSPCAG00000014956
echinops_telfairi ENSETEG00000005848
choloepus_hoffmanni ENSCHOG00000003834
sorex_araneus ENSSARG00000001168
sorex_araneus ENSSARG00000010926
dipodomys_ordii ENSDORG00000006909
sarcophilus_harrisii ENSSHAG00000006745
phascolarctos_cinereus ENSPCIG00000035102
