scleropages_formosus ENSSFOG00015020703
paramormyrops_kingsleyae ENSPKIG00000000450
lepisosteus_oculatus ENSLOCG00000005622
chinchilla_lanigera ENSCLAG00000014220
octodon_degus ENSODEG00000015339
cavia_porcellus ENSCPOG00000024764
cavia_aperea ENSCAPG00000013863
heterocephalus_glaber_male ENSHGLG00100007631
heterocephalus_glaber_female ENSHGLG00000013047
urocitellus_parryii ENSUPAG00010021107
ictidomys_tridecemlineatus ENSSTOG00000001510
spermophilus_dauricus ENSSDAG00000020489
marmota_marmota_marmota ENSMMMG00000018545
castor_canadensis ENSCCNG00000022571
dipodomys_ordii ENSDORG00000029927
cricetulus_griseus_chok1gshd ENSCGRG00001016910
cricetulus_griseus_crigri ENSCGRG00000012737
cricetulus_griseus_crigri-picr ENSCGRG00015019249
mesocricetus_auratus ENSMAUG00000022084
peromyscus_maniculatus_bairdii ENSPEMG00000002020
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027623
mus_spicilegus ENSMSIG00000003862
mus_musculus ENSMUSG00000037157
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026643
mus_pahari MGP_PahariEiJ_G0028976
rattus_norvegicus ENSRNOG00000027976
meriones_unguiculatus ENSMUGG00000020869
nannospalax_galili ENSNGAG00000015232
jaculus_jaculus ENSJJAG00000017430
oryctolagus_cuniculus ENSOCUG00000006743
ochotona_princeps ENSOPRG00000015633
pan_troglodytes ENSPTRG00000000342
pan_paniscus ENSPPAG00000035561
gorilla_gorilla ENSGGOG00000004443
homo_sapiens ENSG00000142677
pongo_abelii ENSPPYG00000001723
nomascus_leucogenys ENSNLEG00000008862
theropithecus_gelada ENSTGEG00000004754
papio_anubis ENSPANG00000021938
mandrillus_leucophaeus ENSMLEG00000038286
cercocebus_atys ENSCATG00000029904
macaca_fascicularis ENSMFAG00000000068
macaca_nemestrina ENSMNEG00000035805
chlorocebus_sabaeus ENSCSAG00000000937
rhinopithecus_bieti ENSRBIG00000038309
rhinopithecus_roxellana ENSRROG00000030912
piliocolobus_tephrosceles ENSPTEG00000014170
colobus_angolensis_palliatus ENSCANG00000041418
cebus_capucinus ENSCCAG00000030616
saimiri_boliviensis_boliviensis ENSSBOG00000033008
callithrix_jacchus ENSCJAG00000020877
aotus_nancymaae ENSANAG00000027615
carlito_syrichta ENSTSYG00000012304
microcebus_murinus ENSMICG00000043393
prolemur_simus ENSPSMG00000013103
propithecus_coquereli ENSPCOG00000012770
otolemur_garnettii ENSOGAG00000024442
tupaia_belangeri ENSTBEG00000009922
bos_mutus ENSBMUG00000022279
bos_taurus ENSBTAG00000001100
bison_bison_bison ENSBBBG00000014626
ovis_aries ENSOARG00000006788
capra_hircus ENSCHIG00000025784
tursiops_truncatus ENSTTRG00000016158
sus_scrofa ENSSSCG00000038848
ursus_americanus ENSUAMG00000021936
ursus_maritimus ENSUMAG00000013154
ailuropoda_melanoleuca ENSAMEG00000009970
neovison_vison ENSNVIG00000023071
mustela_putorius_furo ENSMPUG00000015843
canis_lupus_familiaris ENSCAFG00000030698
canis_lupus_dingo ENSCAFG00020020838
vulpes_vulpes ENSVVUG00000026914
panthera_tigris_altaica ENSPTIG00000010118
panthera_pardus ENSPPRG00000004976
felis_catus ENSFCAG00000006118
equus_asinus_asinus ENSEASG00005004336
equus_caballus ENSECAG00000016232
pteropus_vampyrus ENSPVAG00000013603
myotis_lucifugus ENSMLUG00000022398
erinaceus_europaeus ENSEEUG00000009222
sorex_araneus ENSSARG00000012004
dasypus_novemcinctus ENSDNOG00000045320
loxodonta_africana ENSLAFG00000003722
procavia_capensis ENSPCAG00000007951
phascolarctos_cinereus ENSPCIG00000014266
notamacropus_eugenii ENSMEUG00000009822
sarcophilus_harrisii ENSSHAG00000005708
monodelphis_domestica ENSMODG00000013049
ornithorhynchus_anatinus ENSOANG00000002209
pogona_vitticeps ENSPVIG00000020258
anolis_carolinensis ENSACAG00000005646
salvator_merianae ENSSMRG00000015944
sphenodon_punctatus ENSSPUG00000016057
gopherus_agassizii ENSGAGG00000001470
pelodiscus_sinensis ENSPSIG00000016681
anser_brachyrhynchus ENSABRG00000012385
anas_platyrhynchos_platyrhynchos ENSAPLG00000003661
coturnix_japonica ENSCJPG00005005149
gallus_gallus ENSGALG00000004221
meleagris_gallopavo ENSMGAG00000005879
numida_meleagris ENSNMEG00000011943
taeniopygia_guttata ENSTGUG00000001159
serinus_canaria ENSSCAG00000006905
junco_hyemalis ENSJHYG00000000397
zonotrichia_albicollis ENSZALG00000016018
lonchura_striata_domestica ENSLSDG00000000615
cyanistes_caeruleus ENSCCEG00000016800
parus_major ENSPMJG00000000312
ficedula_albicollis ENSFALG00000000499
lepidothrix_coronata ENSLCOG00000009622
manacus_vitellinus ENSMVIG00005008596
melopsittacus_undulatus ENSMUNG00000009083
calidris_pygmaea ENSCPGG00000017921
calidris_pugnax ENSCPUG00000016258
apteryx_haastii ENSAHAG00000010423
apteryx_owenii ENSAOWG00000010795
apteryx_rowi ENSARWG00000011105
dromaius_novaehollandiae ENSDNVG00000008565
