caenorhabditis_elegans_strain_n2 WBGene00011806
drosophila_melanogaster FBgn0032728
gopherus_agassizii ENSGAGG00000010028
chelonoidis_abingdonii ENSCABG00000013476
chrysemys_picta_bellii ENSCPBG00000027076
pelodiscus_sinensis ENSPSIG00000009191
sphenodon_punctatus ENSSPUG00000006008
meleagris_gallopavo ENSMGAG00000007930
coturnix_japonica ENSCJPG00005015074
gallus_gallus ENSGALG00000035882
numida_meleagris ENSNMEG00000005370
anser_brachyrhynchus ENSABRG00000002499
anas_platyrhynchos_platyrhynchos ENSAPLG00000019647
calidris_pugnax ENSCPUG00000011016
calidris_pygmaea ENSCPGG00000018494
lepidothrix_coronata ENSLCOG00000012483
manacus_vitellinus ENSMVIG00005013759
junco_hyemalis ENSJHYG00000006347
serinus_canaria ENSSCAG00000008401
taeniopygia_guttata ENSTGUG00000008051
lonchura_striata_domestica ENSLSDG00000004859
ficedula_albicollis ENSFALG00000002873
cyanistes_caeruleus ENSCCEG00000004333
parus_major ENSPMJG00000013775
apteryx_rowi ENSARWG00000005423
apteryx_owenii ENSAOWG00000000494
apteryx_haastii ENSAHAG00000012398
dromaius_novaehollandiae ENSDNVG00000008472
nothoprocta_perdicaria ENSNPEG00000005052
crocodylus_porosus ENSCPRG00005008289
pogona_vitticeps ENSPVIG00000011373
anolis_carolinensis ENSACAG00000003075
notechis_scutatus ENSNSUG00000020402
salvator_merianae ENSSMRG00000007193
phascolarctos_cinereus ENSPCIG00000024671
notamacropus_eugenii ENSMEUG00000014081
sarcophilus_harrisii ENSSHAG00000011342
monodelphis_domestica ENSMODG00000003215
pan_paniscus ENSPPAG00000041222
pan_troglodytes ENSPTRG00000008272
homo_sapiens ENSG00000103047
gorilla_gorilla ENSGGOG00000010033
pongo_abelii ENSPPYG00000007495
nomascus_leucogenys ENSNLEG00000005380
piliocolobus_tephrosceles ENSPTEG00000010743
colobus_angolensis_palliatus ENSCANG00000038201
rhinopithecus_roxellana ENSRROG00000009863
rhinopithecus_bieti ENSRBIG00000029198
mandrillus_leucophaeus ENSMLEG00000034514
cercocebus_atys ENSCATG00000042455
macaca_fascicularis ENSMFAG00000041170
macaca_mulatta ENSMMUG00000022177
macaca_nemestrina ENSMNEG00000020802
theropithecus_gelada ENSTGEG00000008977
papio_anubis ENSPANG00000020866
chlorocebus_sabaeus ENSCSAG00000004097
cebus_capucinus ENSCCAG00000027570
saimiri_boliviensis_boliviensis ENSSBOG00000020917
callithrix_jacchus ENSCJAG00000015482
aotus_nancymaae ENSANAG00000025587
carlito_syrichta ENSTSYG00000008481
prolemur_simus ENSPSMG00000013482
microcebus_murinus ENSMICG00000009615
propithecus_coquereli ENSPCOG00000015678
otolemur_garnettii ENSOGAG00000009154
urocitellus_parryii ENSUPAG00010023727
ictidomys_tridecemlineatus ENSSTOG00000015904
spermophilus_dauricus ENSSDAG00000024243
marmota_marmota_marmota ENSMMMG00000014293
castor_canadensis ENSCCNG00000001212
chinchilla_lanigera ENSCLAG00000004184
octodon_degus ENSODEG00000015059
cavia_porcellus ENSCPOG00000020066
cavia_aperea ENSCAPG00000012962
heterocephalus_glaber_female ENSHGLG00000011351
heterocephalus_glaber_male ENSHGLG00100013356
fukomys_damarensis ENSFDAG00000014756
mus_musculus ENSMUSG00000041949
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032640
mus_spicilegus ENSMSIG00000005174
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031522
mus_pahari MGP_PahariEiJ_G0023122
rattus_norvegicus ENSRNOG00000022524
meriones_unguiculatus ENSMUGG00000017350
cricetulus_griseus_chok1gshd ENSCGRG00001001867
cricetulus_griseus_crigri-picr ENSCGRG00015009009
cricetulus_griseus_crigri ENSCGRG00000013089
mesocricetus_auratus ENSMAUG00000010067
microtus_ochrogaster ENSMOCG00000012130
peromyscus_maniculatus_bairdii ENSPEMG00000019037
nannospalax_galili ENSNGAG00000020475
jaculus_jaculus ENSJJAG00000017562
dasypus_novemcinctus ENSDNOG00000043748
choloepus_hoffmanni ENSCHOG00000011771
loxodonta_africana ENSLAFG00000009911
procavia_capensis ENSPCAG00000007394
echinops_telfairi ENSETEG00000000846
myotis_lucifugus ENSMLUG00000006508
pteropus_vampyrus ENSPVAG00000015970
equus_asinus_asinus ENSEASG00005021277
equus_caballus ENSECAG00000016030
bos_taurus ENSBTAG00000013941
bos_mutus ENSBMUG00000001777
bison_bison_bison ENSBBBG00000016427
capra_hircus ENSCHIG00000015934
ovis_aries ENSOARG00000003479
tursiops_truncatus ENSTTRG00000015992
vicugna_pacos ENSVPAG00000003984
sus_scrofa ENSSSCG00000031767
ursus_americanus ENSUAMG00000025900
ursus_maritimus ENSUMAG00000018873
ailuropoda_melanoleuca ENSAMEG00000007701
mustela_putorius_furo ENSMPUG00000007071
neovison_vison ENSNVIG00000008388
canis_lupus_familiaris ENSCAFG00000020298
canis_lupus_dingo ENSCAFG00020020204
vulpes_vulpes ENSVVUG00000013169
panthera_tigris_altaica ENSPTIG00000008386
panthera_pardus ENSPPRG00000003363
felis_catus ENSFCAG00000002652
oryctolagus_cuniculus ENSOCUG00000010036
ochotona_princeps ENSOPRG00000006910
sorex_araneus ENSSARG00000002839
ornithorhynchus_anatinus ENSOANG00000002357
xenopus_tropicalis ENSXETG00000016378
latimeria_chalumnae ENSLACG00000007234
lepisosteus_oculatus ENSLOCG00000002394
eptatretus_burgeri ENSEBUG00000012256
tetraodon_nigroviridis ENSTNIG00000007180
takifugu_rubripes ENSTRUG00000000869
cynoglossus_semilaevis ENSCSEG00000000404
gasterosteus_aculeatus ENSGACG00000014081
mola_mola ENSMMOG00000000662
monopterus_albus ENSMALG00000013980
mastacembelus_armatus ENSMAMG00000011798
anabas_testudineus ENSATEG00000005557
seriola_lalandi_dorsalis ENSSLDG00000005411
seriola_dumerili ENSSDUG00000002911
scophthalmus_maximus ENSSMAG00000017941
xiphophorus_maculatus ENSXMAG00000006148
xiphophorus_couchianus ENSXCOG00000013563
gambusia_affinis ENSGAFG00000015078
poecilia_mexicana ENSPMEG00000013526
poecilia_formosa ENSPFOG00000001019
poecilia_latipinna ENSPLAG00000001685
poecilia_reticulata ENSPREG00000018987
fundulus_heteroclitus ENSFHEG00000016855
cyprinodon_variegatus ENSCVAG00000016196
kryptolebias_marmoratus ENSKMAG00000003446
oryzias_latipes_asm223469v1 ENSORLG00015004358
oryzias_latipes ENSORLG00020014236
oryzias_latipes ENSORLG00000014833
oryzias_melastigma ENSOMEG00000017973
amphiprion_ocellaris ENSAOCG00000002673
amphiprion_percula ENSAPEG00000005303
acanthochromis_polyacanthus ENSAPOG00000002583
stegastes_partitus ENSSPAG00000020443
stegastes_partitus ENSSPAG00000011617
pundamilia_nyererei ENSPNYG00000016980
haplochromis_burtoni ENSHBUG00000000376
astatotilapia_calliptera ENSACLG00000017485
maylandia_zebra ENSMZEG00005022854
oreochromis_niloticus ENSONIG00000004199
neolamprologus_brichardi ENSNBRG00000009725
amphilophus_citrinellus ENSACIG00000017020
hippocampus_comes ENSHCOG00000014682
periophthalmus_magnuspinnatus ENSPMGG00000024011
labrus_bergylta ENSLBEG00000006704
labrus_bergylta ENSLBEG00000006665
amphilophus_citrinellus ENSACIG00000021110
gadus_morhua ENSGMOG00000014362
esox_lucius ENSELUG00000014524
pygocentrus_nattereri ENSPNAG00000017080
astyanax_mexicanus ENSAMXG00000003736
ictalurus_punctatus ENSIPUG00000018862
danio_rerio ENSDARG00000034001
scleropages_formosus ENSSFOG00015022639
paramormyrops_kingsleyae ENSPKIG00000003592
eptatretus_burgeri ENSEBUG00000001815
eptatretus_burgeri ENSEBUG00000008775
ciona_savignyi ENSCSAVG00000011475
ciona_intestinalis ENSCING00000019925
saccharomyces_cerevisiae YMR185W
