astyanax_mexicanus ENSAMXG00000033134
pygocentrus_nattereri ENSPNAG00000013570
ictalurus_punctatus ENSIPUG00000023334
danio_rerio ENSDARG00000078333
mastacembelus_armatus ENSMAMG00000007028
monopterus_albus ENSMALG00000013236
anabas_testudineus ENSATEG00000012389
labrus_bergylta ENSLBEG00000004926
gasterosteus_aculeatus ENSGACG00000009473
tetraodon_nigroviridis ENSTNIG00000017275
takifugu_rubripes ENSTRUG00000023179
mola_mola ENSMMOG00000010202
poecilia_latipinna ENSPLAG00000014050
poecilia_mexicana ENSPMEG00000010642
poecilia_formosa ENSPFOG00000002444
poecilia_reticulata ENSPREG00000019812
xiphophorus_maculatus ENSXMAG00000027274
xiphophorus_couchianus ENSXCOG00000004859
gambusia_affinis ENSGAFG00000002248
cyprinodon_variegatus ENSCVAG00000015448
fundulus_heteroclitus ENSFHEG00000006435
kryptolebias_marmoratus ENSKMAG00000009436
oryzias_latipes_asm223469v1 ENSORLG00015012131
oryzias_latipes ENSORLG00020013549
oryzias_latipes ENSORLG00000029275
amphiprion_percula ENSAPEG00000018219
amphiprion_ocellaris ENSAOCG00000005998
acanthochromis_polyacanthus ENSAPOG00000014281
stegastes_partitus ENSSPAG00000016986
pundamilia_nyererei ENSPNYG00000018738
haplochromis_burtoni ENSHBUG00000007108
astatotilapia_calliptera ENSACLG00000015925
maylandia_zebra ENSMZEG00005004596
oreochromis_niloticus ENSONIG00000003526
neolamprologus_brichardi ENSNBRG00000024083
amphilophus_citrinellus ENSACIG00000005526
seriola_lalandi_dorsalis ENSSLDG00000003356
seriola_dumerili ENSSDUG00000016651
scophthalmus_maximus ENSSMAG00000019881
cynoglossus_semilaevis ENSCSEG00000002305
periophthalmus_magnuspinnatus ENSPMGG00000010840
hippocampus_comes ENSHCOG00000013663
gadus_morhua ENSGMOG00000002188
esox_lucius ENSELUG00000015576
paramormyrops_kingsleyae ENSPKIG00000011724
lepisosteus_oculatus ENSLOCG00000002415
gopherus_agassizii ENSGAGG00000023751
chelonoidis_abingdonii ENSCABG00000018814
chrysemys_picta_bellii ENSCPBG00000011065
crocodylus_porosus ENSCPRG00005002208
salvator_merianae ENSSMRG00000012039
notechis_scutatus ENSNSUG00000012002
sphenodon_punctatus ENSSPUG00000017988
anser_brachyrhynchus ENSABRG00000020337
anas_platyrhynchos_platyrhynchos ENSAPLG00000013425
gallus_gallus ENSGALG00000037052
coturnix_japonica ENSCJPG00005000621
calidris_pugnax ENSCPUG00000018248
serinus_canaria ENSSCAG00000004964
apteryx_rowi ENSARWG00000009642
apteryx_haastii ENSAHAG00000007980
latimeria_chalumnae ENSLACG00000022439
scleropages_formosus ENSSFOG00015023582
petromyzon_marinus ENSPMAG00000001092
eptatretus_burgeri ENSEBUG00000006438
