notamacropus_eugenii ENSMEUG00000013152
phascolarctos_cinereus ENSPCIG00000013264
sarcophilus_harrisii ENSSHAG00000010657
monodelphis_domestica ENSMODG00000017293
ornithorhynchus_anatinus ENSOANG00000031677
homo_sapiens ENSG00000204130
gorilla_gorilla ENSGGOG00000000118
pan_troglodytes ENSPTRG00000002554
pan_paniscus ENSPPAG00000029488
nomascus_leucogenys ENSNLEG00000011835
rhinopithecus_bieti ENSRBIG00000028709
rhinopithecus_roxellana ENSRROG00000042220
colobus_angolensis_palliatus ENSCANG00000035669
piliocolobus_tephrosceles ENSPTEG00000028908
macaca_fascicularis ENSMFAG00000008200
macaca_nemestrina ENSMNEG00000039838
cercocebus_atys ENSCATG00000040524
mandrillus_leucophaeus ENSMLEG00000042078
papio_anubis ENSPANG00000022103
theropithecus_gelada ENSTGEG00000029221
chlorocebus_sabaeus ENSCSAG00000007581
cebus_capucinus ENSCCAG00000027990
saimiri_boliviensis_boliviensis ENSSBOG00000026822
callithrix_jacchus ENSCJAG00000019088
aotus_nancymaae ENSANAG00000032945
carlito_syrichta ENSTSYG00000008457
prolemur_simus ENSPSMG00000010107
microcebus_murinus ENSMICG00000007589
otolemur_garnettii ENSOGAG00000012496
urocitellus_parryii ENSUPAG00010008404
ictidomys_tridecemlineatus ENSSTOG00000011678
spermophilus_dauricus ENSSDAG00000020120
marmota_marmota_marmota ENSMMMG00000009654
tupaia_belangeri ENSTBEG00000009225
dipodomys_ordii ENSDORG00000011475
propithecus_coquereli ENSPCOG00000020569
erinaceus_europaeus ENSEEUG00000005104
sorex_araneus ENSSARG00000013865
equus_asinus_asinus ENSEASG00005015402
equus_caballus ENSECAG00000011084
pteropus_vampyrus ENSPVAG00000008038
myotis_lucifugus ENSMLUG00000000150
ursus_americanus ENSUAMG00000011890
ursus_maritimus ENSUMAG00000007270
ailuropoda_melanoleuca ENSAMEG00000018039
neovison_vison ENSNVIG00000013083
mustela_putorius_furo ENSMPUG00000012002
canis_lupus_familiaris ENSCAFG00000013679
canis_lupus_dingo ENSCAFG00020026172
vulpes_vulpes ENSVVUG00000020153
panthera_tigris_altaica ENSPTIG00000011514
panthera_pardus ENSPPRG00000003327
felis_catus ENSFCAG00000022186
bos_mutus ENSBMUG00000022799
bos_taurus ENSBTAG00000002614
bison_bison_bison ENSBBBG00000007288
ovis_aries ENSOARG00000005026
capra_hircus ENSCHIG00000010345
tursiops_truncatus ENSTTRG00000013324
sus_scrofa ENSSSCG00000010239
vicugna_pacos ENSVPAG00000011815
nomascus_leucogenys ENSNLEG00000036104
choloepus_hoffmanni ENSCHOG00000012968
dasypus_novemcinctus ENSDNOG00000000196
loxodonta_africana ENSLAFG00000012964
procavia_capensis ENSPCAG00000000116
nannospalax_galili ENSNGAG00000004825
nannospalax_galili ENSNGAG00000019746
rattus_norvegicus ENSRNOG00000059663
rattus_norvegicus ENSRNOG00000000390
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016206
mus_spicilegus ENSMSIG00000030370
mus_musculus ENSMUSG00000020070
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015395
mus_pahari MGP_PahariEiJ_G0030811
meriones_unguiculatus ENSMUGG00000016421
microtus_ochrogaster ENSMOCG00000008899
peromyscus_maniculatus_bairdii ENSPEMG00000020397
cricetulus_griseus_chok1gshd ENSCGRG00001012507
cricetulus_griseus_crigri ENSCGRG00000009650
