chelonoidis_abingdonii ENSCABG00000006983
chrysemys_picta_bellii ENSCPBG00000025560
crocodylus_porosus ENSCPRG00005000756
calidris_pugnax ENSCPUG00000006590
calidris_pygmaea ENSCPGG00000019194
lepidothrix_coronata ENSLCOG00000004811
manacus_vitellinus ENSMVIG00005009928
lonchura_striata_domestica ENSLSDG00000000319
taeniopygia_guttata ENSTGUG00000009497
parus_major ENSPMJG00000009992
junco_hyemalis ENSJHYG00000013860
ficedula_albicollis ENSFALG00000012887
zonotrichia_albicollis ENSZALG00000006070
serinus_canaria ENSSCAG00000010418
taeniopygia_guttata ENSTGUG00000014572
melopsittacus_undulatus ENSMUNG00000008985
anser_brachyrhynchus ENSABRG00000008468
anas_platyrhynchos_platyrhynchos ENSAPLG00000007346
gallus_gallus ENSGALG00000007887
coturnix_japonica ENSCJPG00005020971
meleagris_gallopavo ENSMGAG00000009906
numida_meleagris ENSNMEG00000023255
apteryx_haastii ENSAHAG00000009422
apteryx_owenii ENSAOWG00000016793
apteryx_rowi ENSARWG00000004267
dromaius_novaehollandiae ENSDNVG00000010851
pelodiscus_sinensis ENSPSIG00000011201
gopherus_agassizii ENSGAGG00000023105
pogona_vitticeps ENSPVIG00000017032
anolis_carolinensis ENSACAG00000010006
notechis_scutatus ENSNSUG00000003997
salvator_merianae ENSSMRG00000021570
sphenodon_punctatus ENSSPUG00000013388
calidris_pygmaea ENSCPGG00000019195
cyanistes_caeruleus ENSCCEG00000007162
dromaius_novaehollandiae ENSDNVG00000010848
bos_mutus ENSBMUG00000015590
canis_lupus_dingo ENSCAFG00020023785
nannospalax_galili ENSNGAG00000010708
notamacropus_eugenii ENSMEUG00000016678
phascolarctos_cinereus ENSPCIG00000014065
sarcophilus_harrisii ENSSHAG00000012729
monodelphis_domestica ENSMODG00000009585
propithecus_coquereli ENSPCOG00000016985
microcebus_murinus ENSMICG00000044554
prolemur_simus ENSPSMG00000001327
otolemur_garnettii ENSOGAG00000014219
gorilla_gorilla ENSGGOG00000036181
gorilla_gorilla ENSGGOG00000004714
pan_troglodytes ENSPTRG00000007202
pan_paniscus ENSPPAG00000041055
homo_sapiens ENSG00000103591
pongo_abelii ENSPPYG00000006584
nomascus_leucogenys ENSNLEG00000013006
macaca_nemestrina ENSMNEG00000040056
macaca_fascicularis ENSMFAG00000040550
cercocebus_atys ENSCATG00000043588
theropithecus_gelada ENSTGEG00000025064
papio_anubis ENSPANG00000016628
mandrillus_leucophaeus ENSMLEG00000042581
chlorocebus_sabaeus ENSCSAG00000013281
colobus_angolensis_palliatus ENSCANG00000040518
piliocolobus_tephrosceles ENSPTEG00000033224
rhinopithecus_roxellana ENSRROG00000042217
rhinopithecus_bieti ENSRBIG00000027896
cebus_capucinus ENSCCAG00000024283
saimiri_boliviensis_boliviensis ENSSBOG00000035741
aotus_nancymaae ENSANAG00000038049
callithrix_jacchus ENSCJAG00000002113
heterocephalus_glaber_male ENSHGLG00100016712
heterocephalus_glaber_female ENSHGLG00000013284
fukomys_damarensis ENSFDAG00000015255
octodon_degus ENSODEG00000015886
octodon_degus ENSODEG00000007067
chinchilla_lanigera ENSCLAG00000008364
cavia_porcellus ENSCPOG00000000965
jaculus_jaculus ENSJJAG00000018312
mus_musculus ENSMUSG00000037257
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033473
mus_spicilegus ENSMSIG00000003642
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0032334
mus_pahari MGP_PahariEiJ_G0015200
rattus_norvegicus ENSRNOG00000008424
meriones_unguiculatus ENSMUGG00000023188
meriones_unguiculatus ENSMUGG00000023210
