otolemur_garnettii ENSOGAG00000025319
equus_caballus ENSECAG00000031350
bos_indicus ENSBIXG00005029949
bos_indicus ENSBIXG00000011997
bos_taurus ENSBTAG00000051879
capra_hircus ENSCHIG00000014119
sus_scrofa ENSSSCG00000035755
canis_lupus ENSCAFG00020000935
mustela_putorius ENSMPUG00000016377
ursus_americanus ENSUAMG00000006472
felis_catus ENSFCAG00000029558
panthera_pardus ENSPPRG00000002601
equus_asinus ENSEASG00005001339
dasypus_novemcinctus ENSDNOG00000039236
castor_canadensis ENSCCNG00000029070
dipodomys_ordii ENSDORG00000028498
mus_spretus MGP_SPRETEiJ_G0020974
mus_musculus ENSMUSG00000096883
mus_spicilegus ENSMSIG00000018391
mus_caroli MGP_CAROLIEiJ_G0020074
mus_pahari MGP_PahariEiJ_G0020076
rattus_norvegicus ENSRNOG00000049407
meriones_unguiculatus ENSMUGG00000017908
peromyscus_maniculatus ENSPEMG00000020435
microtus_ochrogaster ENSMOCG00000005566
cricetulus_griseus ENSCGRG00001005475
cricetulus_griseus ENSCGRG00015006366
mesocricetus_auratus ENSMAUG00000011455
nannospalax_galili ENSNGAG00000016429
jaculus_jaculus ENSJJAG00000016883
chinchilla_lanigera ENSCLAG00000016102
cavia_porcellus ENSCPOG00000040084
octodon_degus ENSODEG00000013588
heterocephalus_glaber ENSHGLG00000006306
marmota_marmota ENSMMMG00000003440
urocitellus_parryii ENSUPAG00010005772
ictidomys_tridecemlineatus ENSSTOG00000019466
propithecus_coquereli ENSPCOG00000026922
prolemur_simus ENSPSMG00000000361
microcebus_murinus ENSMICG00000042512
pan_troglodytes ENSPTRG00000039404
homo_sapiens ENSG00000234965
gorilla_gorilla ENSGGOG00000036616
nomascus_leucogenys ENSNLEG00000027977
papio_anubis ENSPANG00000000730
theropithecus_gelada ENSTGEG00000007017
macaca_mulatta ENSMMUG00000015101
macaca_fascicularis ENSMFAG00000043918
macaca_nemestrina ENSMNEG00000032491
cercocebus_atys ENSCATG00000045183
chlorocebus_sabaeus ENSCSAG00000005730
rhinopithecus_roxellana ENSRROG00000043046
rhinopithecus_bieti ENSRBIG00000034366
piliocolobus_tephrosceles ENSPTEG00000025371
cebus_capucinus ENSCCAG00000029382
saimiri_boliviensis ENSSBOG00000031370
callithrix_jacchus ENSCJAG00000014945
aotus_nancymaae ENSANAG00000030774
phascolarctos_cinereus ENSPCIG00000026400
ornithorhynchus_anatinus ENSOANG00000004529
