danio_rerio ENSDARG00000055945
pygocentrus_nattereri ENSPNAG00000001642
hucho_hucho ENSHHUG00000029886
kryptolebias_marmoratus ENSKMAG00000002673
fundulus_heteroclitus ENSFHEG00000006994
amphiprion_percula ENSAPEG00000009016
amphiprion_ocellaris ENSAOCG00000003146
betta_splendens ENSBSLG00000022467
monopterus_albus ENSMALG00000014336
larimichthys_crocea ENSLCRG00005017523
mola_mola ENSMMOG00000021438
gasterosteus_aculeatus ENSGACG00000014417
periophthalmus_magnuspinnatus ENSPMGG00000005299
gouania_willdenowi ENSGWIG00000015751
gadus_morhua ENSGMOG00000013457
poecilia_mexicana ENSPMEG00000005452
poecilia_latipinna ENSPLAG00000016728
cyprinodon_variegatus ENSCVAG00000018213
oryzias_latipes ENSORLG00015000198
oryzias_latipes ENSORLG00020003874
stegastes_partitus ENSSPAG00000010445
maylandia_zebra ENSMZEG00005025635
cynoglossus_semilaevis ENSCSEG00000021511
ictalurus_punctatus ENSIPUG00000007698
electrophorus_electricus ENSEEEG00000008541
astyanax_mexicanus ENSAMXG00005017118
denticeps_clupeoides ENSDCDG00000026932
xiphophorus_couchianus ENSXCOG00000002579
gasterosteus_aculeatus ENSGACG00000000106
panthera_pardus ENSPPRG00000001392
equus_asinus ENSEASG00005016244
castor_canadensis ENSCCNG00000025801
rattus_norvegicus ENSRNOG00000007445
cebus_capucinus ENSCCAG00000027663
latimeria_chalumnae ENSLACG00000007119
