piliocolobus_tephrosceles ENSPTEG00000019612
gorilla_gorilla ENSGGOG00000027055
aotus_nancymaae ENSANAG00000032057
theropithecus_gelada ENSTGEG00000016578
mus_spicilegus ENSMSIG00000000073
mus_spicilegus ENSMSIG00000007619
mus_spicilegus ENSMSIG00000031104
meriones_unguiculatus ENSMUGG00000024842
meriones_unguiculatus ENSMUGG00000023670
chinchilla_lanigera ENSCLAG00000014992
urocitellus_parryii ENSUPAG00010003227
spermophilus_dauricus ENSSDAG00000004997
spermophilus_dauricus ENSSDAG00000009014
urocitellus_parryii ENSUPAG00010006605
spermophilus_dauricus ENSSDAG00000015015
marmota_marmota_marmota ENSMMMG00000005584
