mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031509
mus_musculus ENSMUSG00000051900
mus_spicilegus ENSMSIG00000027577
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030395
mus_pahari MGP_PahariEiJ_G0013605
rattus_norvegicus ENSRNOG00000015783
meriones_unguiculatus ENSMUGG00000007659
peromyscus_maniculatus_bairdii ENSPEMG00000018760
microtus_ochrogaster ENSMOCG00000002932
cricetulus_griseus_crigri-picr ENSCGRG00015013661
cricetulus_griseus_crigri ENSCGRG00000011945
cricetulus_griseus_chok1gshd ENSCGRG00001018806
mesocricetus_auratus ENSMAUG00000014981
castor_canadensis ENSCCNG00000006970
ictidomys_tridecemlineatus ENSSTOG00000023680
urocitellus_parryii ENSUPAG00010006302
spermophilus_dauricus ENSSDAG00000023197
marmota_marmota_marmota ENSMMMG00000023000
oryctolagus_cuniculus ENSOCUG00000022812
ochotona_princeps ENSOPRG00000006422
prolemur_simus ENSPSMG00000018132
otolemur_garnettii ENSOGAG00000025478
capra_hircus ENSCHIG00000015021
ursus_maritimus ENSUMAG00000009576
ursus_americanus ENSUAMG00000008668
ailuropoda_melanoleuca ENSAMEG00000000805
ailuropoda_melanoleuca ENSAMEG00000003801
mustela_putorius_furo ENSMPUG00000013481
neovison_vison ENSNVIG00000004398
canis_lupus_dingo ENSCAFG00020021558
canis_lupus_familiaris ENSCAFG00000017787
vulpes_vulpes ENSVVUG00000006764
equus_asinus_asinus ENSEASG00005002490
equus_caballus ENSECAG00000022181
myotis_lucifugus ENSMLUG00000008279
bos_mutus ENSBMUG00000008874
bos_mutus ENSBMUG00000010689
bos_taurus ENSBTAG00000035915
bison_bison_bison ENSBBBG00000020545
ovis_aries ENSOARG00000014872
vicugna_pacos ENSVPAG00000003143
sus_scrofa ENSSSCG00000035000
choloepus_hoffmanni ENSCHOG00000010518
pteropus_vampyrus ENSPVAG00000008140
erinaceus_europaeus ENSEEUG00000003636
dasypus_novemcinctus ENSDNOG00000039023
loxodonta_africana ENSLAFG00000003171
echinops_telfairi ENSETEG00000000925
