sus_scrofa ENSSSCG00000028064
vicugna_pacos ENSVPAG00000006979
bos_taurus ENSBTAG00000014008
bos_mutus ENSBMUG00000006056
bison_bison_bison ENSBBBG00000025361
capra_hircus ENSCHIG00000023290
ovis_aries ENSOARG00000010059
tursiops_truncatus ENSTTRG00000012331
neovison_vison ENSNVIG00000023566
mustela_putorius_furo ENSMPUG00000003409
ailuropoda_melanoleuca ENSAMEG00000002863
ursus_americanus ENSUAMG00000011320
canis_lupus_dingo ENSCAFG00020012845
canis_lupus_familiaris ENSCAFG00000024691
vulpes_vulpes ENSVVUG00000004929
panthera_pardus ENSPPRG00000004345
felis_catus ENSFCAG00000038582
pteropus_vampyrus ENSPVAG00000005380
equus_caballus ENSECAG00000028673
equus_asinus_asinus ENSEASG00005018774
erinaceus_europaeus ENSEEUG00000001108
mus_musculus ENSMUSG00000044186
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020350
mus_spicilegus ENSMSIG00000024600
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019458
mus_pahari MGP_PahariEiJ_G0030475
rattus_norvegicus ENSRNOG00000021910
meriones_unguiculatus ENSMUGG00000009626
peromyscus_maniculatus_bairdii ENSPEMG00000005851
microtus_ochrogaster ENSMOCG00000002130
cricetulus_griseus_chok1gshd ENSCGRG00001007878
cricetulus_griseus_crigri-picr ENSCGRG00015007589
cricetulus_griseus_crigri ENSCGRG00000017670
mesocricetus_auratus ENSMAUG00000002996
nannospalax_galili ENSNGAG00000022732
jaculus_jaculus ENSJJAG00000013412
castor_canadensis ENSCCNG00000013623
urocitellus_parryii ENSUPAG00010017433
marmota_marmota_marmota ENSMMMG00000013962
ictidomys_tridecemlineatus ENSSTOG00000025482
spermophilus_dauricus ENSSDAG00000006096
chinchilla_lanigera ENSCLAG00000014720
octodon_degus ENSODEG00000007413
heterocephalus_glaber_male ENSHGLG00100013509
heterocephalus_glaber_female ENSHGLG00000014624
ochotona_princeps ENSOPRG00000003185
oryctolagus_cuniculus ENSOCUG00000004296
propithecus_coquereli ENSPCOG00000021761
microcebus_murinus ENSMICG00000042062
prolemur_simus ENSPSMG00000007224
otolemur_garnettii ENSOGAG00000026099
cebus_capucinus ENSCCAG00000030537
saimiri_boliviensis_boliviensis ENSSBOG00000001212
callithrix_jacchus ENSCJAG00000020089
aotus_nancymaae ENSANAG00000027024
pan_paniscus ENSPPAG00000027939
pan_troglodytes ENSPTRG00000020082
homo_sapiens ENSG00000180053
gorilla_gorilla ENSGGOG00000014372
pongo_abelii ENSPPYG00000018443
nomascus_leucogenys ENSNLEG00000015970
rhinopithecus_bieti ENSRBIG00000041260
rhinopithecus_roxellana ENSRROG00000041779
colobus_angolensis_palliatus ENSCANG00000027891
piliocolobus_tephrosceles ENSPTEG00000027956
macaca_nemestrina ENSMNEG00000029977
macaca_mulatta ENSMMUG00000020863
macaca_fascicularis ENSMFAG00000040141
papio_anubis ENSPANG00000019014
chlorocebus_sabaeus ENSCSAG00000016228
cercocebus_atys ENSCATG00000045337
theropithecus_gelada ENSTGEG00000001465
tupaia_belangeri ENSTBEG00000017101
echinops_telfairi ENSETEG00000000957
procavia_capensis ENSPCAG00000016625
dasypus_novemcinctus ENSDNOG00000041367
parus_major ENSPMJG00000017736
