pongo_abelii ENSPPYG00000017449
chlorocebus_sabaeus ENSCSAG00000018053
tupaia_belangeri ENSTBEG00000009963
myotis_lucifugus ENSMLUG00000016879
sarcophilus_harrisii ENSSHAG00000011990
ornithorhynchus_anatinus ENSOANG00000022281
ficedula_albicollis ENSFALG00000009765
meleagris_gallopavo ENSMGAG00000003284
gopherus_agassizii ENSGAGG00000013225
anolis_carolinensis ENSACAG00000025682
anolis_carolinensis ENSACAG00000027087
meleagris_gallopavo ENSMGAG00000007923
pygocentrus_nattereri ENSPNAG00000009970
astyanax_mexicanus ENSAMXG00000038630
ictalurus_punctatus ENSIPUG00000004218
fundulus_heteroclitus ENSFHEG00000005979
poecilia_formosa ENSPFOG00000011384
oryzias_latipes ENSORLG00000025498
labrus_bergylta ENSLBEG00000021517
esox_lucius ENSELUG00000011772
scleropages_formosus ENSSFOG00015003983
eptatretus_burgeri ENSEBUG00000003360
