tupaia_belangeri ENSTBEG00000006933
carlito_syrichta ENSTSYG00000003178
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029907
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028865
mus_spicilegus ENSMSIG00000005490
mus_spicilegus ENSMSIG00000018464
mus_musculus ENSMUSG00000038346
mus_pahari MGP_PahariEiJ_G0022625
rattus_norvegicus ENSRNOG00000017066
meriones_unguiculatus ENSMUGG00000012243
cricetulus_griseus_crigri ENSCGRG00000015919
cricetulus_griseus_chok1gshd ENSCGRG00001013065
cricetulus_griseus_crigri-picr ENSCGRG00015002956
mesocricetus_auratus ENSMAUG00000015613
peromyscus_maniculatus_bairdii ENSPEMG00000016282
microtus_ochrogaster ENSMOCG00000022768
nannospalax_galili ENSNGAG00000011316
jaculus_jaculus ENSJJAG00000003875
castor_canadensis ENSCCNG00000025336
cavia_aperea ENSCAPG00000012608
cavia_porcellus ENSCPOG00000012313
octodon_degus ENSODEG00000002585
chinchilla_lanigera ENSCLAG00000015550
heterocephalus_glaber_female ENSHGLG00000003572
heterocephalus_glaber_male ENSHGLG00100009452
fukomys_damarensis ENSFDAG00000007530
spermophilus_dauricus ENSSDAG00000007940
urocitellus_parryii ENSUPAG00010012380
ictidomys_tridecemlineatus ENSSTOG00000009902
marmota_marmota_marmota ENSMMMG00000017132
spermophilus_dauricus ENSSDAG00000016031
oryctolagus_cuniculus ENSOCUG00000003747
ochotona_princeps ENSOPRG00000003626
propithecus_coquereli ENSPCOG00000024423
microcebus_murinus ENSMICG00000006636
prolemur_simus ENSPSMG00000016435
otolemur_garnettii ENSOGAG00000010052
saimiri_boliviensis_boliviensis ENSSBOG00000020182
callithrix_jacchus ENSCJAG00000007944
cebus_capucinus ENSCCAG00000032088
aotus_nancymaae ENSANAG00000032088
pan_troglodytes ENSPTRG00000004584
pan_paniscus ENSPPAG00000043539
homo_sapiens ENSG00000126746
gorilla_gorilla ENSGGOG00000016048
pongo_abelii ENSPPYG00000004196
nomascus_leucogenys ENSNLEG00000004506
macaca_nemestrina ENSMNEG00000029452
chlorocebus_sabaeus ENSCSAG00000010379
colobus_angolensis_palliatus ENSCANG00000043460
piliocolobus_tephrosceles ENSPTEG00000037654
rhinopithecus_roxellana ENSRROG00000034990
mandrillus_leucophaeus ENSMLEG00000027305
cercocebus_atys ENSCATG00000008991
papio_anubis ENSPANG00000014845
macaca_mulatta ENSMMUG00000016990
macaca_fascicularis ENSMFAG00000037538
theropithecus_gelada ENSTGEG00000008794
rhinopithecus_bieti ENSRBIG00000034371
myotis_lucifugus ENSMLUG00000013771
pteropus_vampyrus ENSPVAG00000011440
equus_asinus_asinus ENSEASG00005016142
equus_caballus ENSECAG00000009490
ursus_maritimus ENSUMAG00000005073
ursus_americanus ENSUAMG00000022892
ailuropoda_melanoleuca ENSAMEG00000014121
neovison_vison ENSNVIG00000024638
mustela_putorius_furo ENSMPUG00000016838
canis_lupus_dingo ENSCAFG00020002932
canis_lupus_familiaris ENSCAFG00000014740
vulpes_vulpes ENSVVUG00000011329
panthera_tigris_altaica ENSPTIG00000014865
panthera_pardus ENSPPRG00000006494
felis_catus ENSFCAG00000006882
erinaceus_europaeus ENSEEUG00000012950
loxodonta_africana ENSLAFG00000008381
procavia_capensis ENSPCAG00000012951
dasypus_novemcinctus ENSDNOG00000003936
choloepus_hoffmanni ENSCHOG00000006697
echinops_telfairi ENSETEG00000009823
capra_hircus ENSCHIG00000012248
ovis_aries ENSOARG00000007041
bos_mutus ENSBMUG00000009149
bos_taurus ENSBTAG00000017072
bison_bison_bison ENSBBBG00000013145
ovis_aries ENSOARG00000008826
tursiops_truncatus ENSTTRG00000011754
vicugna_pacos ENSVPAG00000006540
sus_scrofa ENSSSCG00000000702
dipodomys_ordii ENSDORG00000015720
phascolarctos_cinereus ENSPCIG00000001942
notamacropus_eugenii ENSMEUG00000004197
sarcophilus_harrisii ENSSHAG00000015330
monodelphis_domestica ENSMODG00000018105
anser_brachyrhynchus ENSABRG00000012587
anas_platyrhynchos_platyrhynchos ENSAPLG00000015889
gallus_gallus ENSGALG00000032599
meleagris_gallopavo ENSMGAG00000014101
coturnix_japonica ENSCJPG00005016731
numida_meleagris ENSNMEG00000016896
parus_major ENSPMJG00000007327
cyanistes_caeruleus ENSCCEG00000001207
lonchura_striata_domestica ENSLSDG00000011963
taeniopygia_guttata ENSTGUG00000013319
serinus_canaria ENSSCAG00000011700
zonotrichia_albicollis ENSZALG00000017383
junco_hyemalis ENSJHYG00000010015
ficedula_albicollis ENSFALG00000004741
manacus_vitellinus ENSMVIG00005013328
lepidothrix_coronata ENSLCOG00000005537
melopsittacus_undulatus ENSMUNG00000001977
calidris_pugnax ENSCPUG00000005937
calidris_pygmaea ENSCPGG00000005685
