haplochromis_burtoni ENSHBUG00000011908
astatotilapia_calliptera ENSACLG00000018975
pundamilia_nyererei ENSPNYG00000001114
neolamprologus_brichardi ENSNBRG00000006167
xiphophorus_couchianus ENSXCOG00000012010
fundulus_heteroclitus ENSFHEG00000012549
labrus_bergylta ENSLBEG00000008426
hippocampus_comes ENSHCOG00000010068
scleropages_formosus ENSSFOG00015007967
paramormyrops_kingsleyae ENSPKIG00000000996
scleropages_formosus ENSSFOG00015016038
paramormyrops_kingsleyae ENSPKIG00000019832
seriola_lalandi_dorsalis ENSSLDG00000019923
esox_lucius ENSELUG00000023998
pygocentrus_nattereri ENSPNAG00000012687
astyanax_mexicanus ENSAMXG00000003316
ictalurus_punctatus ENSIPUG00000000418
danio_rerio ENSDARG00000098932
oryzias_latipes ENSORLG00020017407
oryzias_latipes ENSORLG00000003655
oryzias_latipes_asm223469v1 ENSORLG00015015197
oryzias_melastigma ENSOMEG00000003759
mola_mola ENSMMOG00000014108
xiphophorus_maculatus ENSXMAG00000013591
gambusia_affinis ENSGAFG00000018352
poecilia_mexicana ENSPMEG00000010599
poecilia_formosa ENSPFOG00000008724
cyprinodon_variegatus ENSCVAG00000016693
kryptolebias_marmoratus ENSKMAG00000005407
monopterus_albus ENSMALG00000011274
scophthalmus_maximus ENSSMAG00000015590
cynoglossus_semilaevis ENSCSEG00000013151
seriola_dumerili ENSSDUG00000022137
mastacembelus_armatus ENSMAMG00000007327
anabas_testudineus ENSATEG00000017468
amphiprion_ocellaris ENSAOCG00000021332
amphiprion_percula ENSAPEG00000018908
acanthochromis_polyacanthus ENSAPOG00000010357
stegastes_partitus ENSSPAG00000000576
maylandia_zebra ENSMZEG00005005055
oreochromis_niloticus ENSONIG00000019904
amphilophus_citrinellus ENSACIG00000021989
gasterosteus_aculeatus ENSGACG00000019925
tetraodon_nigroviridis ENSTNIG00000004191
gadus_morhua ENSGMOG00000011874
pygocentrus_nattereri ENSPNAG00000025711
astyanax_mexicanus ENSAMXG00000019988
ictalurus_punctatus ENSIPUG00000019293
danio_rerio ENSDARG00000078691
esox_lucius ENSELUG00000014244
lepisosteus_oculatus ENSLOCG00000013446
sphenodon_punctatus ENSSPUG00000018351
pogona_vitticeps ENSPVIG00000010771
notechis_scutatus ENSNSUG00000002131
xenopus_tropicalis ENSXETG00000018415
latimeria_chalumnae ENSLACG00000009186
microcebus_murinus ENSMICG00000009384
propithecus_coquereli ENSPCOG00000022650
prolemur_simus ENSPSMG00000006411
otolemur_garnettii ENSOGAG00000026678
pan_troglodytes ENSPTRG00000044127
pan_troglodytes ENSPTRG00000019503
pan_paniscus ENSPPAG00000029734
gorilla_gorilla ENSGGOG00000005811
homo_sapiens ENSG00000146830
pongo_abelii ENSPPYG00000017425
nomascus_leucogenys ENSNLEG00000011929
macaca_fascicularis ENSMFAG00000033735
macaca_nemestrina ENSMNEG00000042728
mandrillus_leucophaeus ENSMLEG00000030515
cercocebus_atys ENSCATG00000032522
theropithecus_gelada ENSTGEG00000009690
papio_anubis ENSPANG00000018440
macaca_mulatta ENSMMUG00000004082
chlorocebus_sabaeus ENSCSAG00000017934
rhinopithecus_roxellana ENSRROG00000037892
rhinopithecus_bieti ENSRBIG00000035889
colobus_angolensis_palliatus ENSCANG00000033066
piliocolobus_tephrosceles ENSPTEG00000023925
cebus_capucinus ENSCCAG00000014412
callithrix_jacchus ENSCJAG00000015057
saimiri_boliviensis_boliviensis ENSSBOG00000031114
aotus_nancymaae ENSANAG00000033343
carlito_syrichta ENSTSYG00000027233
chinchilla_lanigera ENSCLAG00000001568
octodon_degus ENSODEG00000016368
cavia_porcellus ENSCPOG00000013604
cavia_aperea ENSCAPG00000010293
heterocephalus_glaber_male ENSHGLG00100008203
heterocephalus_glaber_female ENSHGLG00000015907
fukomys_damarensis ENSFDAG00000002024
ictidomys_tridecemlineatus ENSSTOG00000024993
spermophilus_dauricus ENSSDAG00000022077
urocitellus_parryii ENSUPAG00010017634
marmota_marmota_marmota ENSMMMG00000012096
peromyscus_maniculatus_bairdii ENSPEMG00000008611
microtus_ochrogaster ENSMOCG00000002516
cricetulus_griseus_chok1gshd ENSCGRG00001004356
cricetulus_griseus_crigri ENSCGRG00000007038
cricetulus_griseus_crigri-picr ENSCGRG00015010143
mesocricetus_auratus ENSMAUG00000017322
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028882
mus_spicilegus ENSMSIG00000008422
mus_musculus ENSMUSG00000029714
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027877
mus_pahari MGP_PahariEiJ_G0024463
rattus_norvegicus ENSRNOG00000001410
nannospalax_galili ENSNGAG00000015108
jaculus_jaculus ENSJJAG00000002865
castor_canadensis ENSCCNG00000025250
dipodomys_ordii ENSDORG00000016513
oryctolagus_cuniculus ENSOCUG00000002663
ochotona_princeps ENSOPRG00000015150
tupaia_belangeri ENSTBEG00000001331
capra_hircus ENSCHIG00000010270
ovis_aries ENSOARG00000016136
bos_taurus ENSBTAG00000015738
bos_mutus ENSBMUG00000001620
bison_bison_bison ENSBBBG00000022910
bos_mutus ENSBMUG00000018390
tursiops_truncatus ENSTTRG00000006167
sus_scrofa ENSSSCG00000007668
ursus_americanus ENSUAMG00000000048
ursus_maritimus ENSUMAG00000010890
ailuropoda_melanoleuca ENSAMEG00000014726
neovison_vison ENSNVIG00000001349
mustela_putorius_furo ENSMPUG00000015729
canis_lupus_familiaris ENSCAFG00000014223
canis_lupus_dingo ENSCAFG00020013875
vulpes_vulpes ENSVVUG00000023468
panthera_pardus ENSPPRG00000007671
panthera_tigris_altaica ENSPTIG00000008645
felis_catus ENSFCAG00000006848
equus_asinus_asinus ENSEASG00005016996
equus_caballus ENSECAG00000017541
pteropus_vampyrus ENSPVAG00000012019
myotis_lucifugus ENSMLUG00000006788
loxodonta_africana ENSLAFG00000017009
procavia_capensis ENSPCAG00000006576
echinops_telfairi ENSETEG00000012106
dasypus_novemcinctus ENSDNOG00000002606
erinaceus_europaeus ENSEEUG00000006293
phascolarctos_cinereus ENSPCIG00000000501
notamacropus_eugenii ENSMEUG00000003878
sarcophilus_harrisii ENSSHAG00000008674
monodelphis_domestica ENSMODG00000004660
ornithorhynchus_anatinus ENSOANG00000029047
chelonoidis_abingdonii ENSCABG00000022603
gopherus_agassizii ENSGAGG00000008777
chrysemys_picta_bellii ENSCPBG00000007793
pelodiscus_sinensis ENSPSIG00000009395
anolis_carolinensis ENSACAG00000003446
pogona_vitticeps ENSPVIG00000010770
salvator_merianae ENSSMRG00000001580
poecilia_latipinna ENSPLAG00000007634
poecilia_reticulata ENSPREG00000015091
