mastacembelus_armatus ENSMAMG00000015920
monopterus_albus ENSMALG00000014398
anabas_testudineus ENSATEG00000013908
seriola_dumerili ENSSDUG00000000619
seriola_lalandi_dorsalis ENSSLDG00000014489
scophthalmus_maximus ENSSMAG00000019382
amphiprion_ocellaris ENSAOCG00000007085
amphiprion_percula ENSAPEG00000010091
acanthochromis_polyacanthus ENSAPOG00000003189
stegastes_partitus ENSSPAG00000023414
amphilophus_citrinellus ENSACIG00000015859
cynoglossus_semilaevis ENSCSEG00000021455
labrus_bergylta ENSLBEG00000007728
labrus_bergylta ENSLBEG00000003661
tetraodon_nigroviridis ENSTNIG00000019720
periophthalmus_magnuspinnatus ENSPMGG00000000495
gadus_morhua ENSGMOG00000005527
esox_lucius ENSELUG00000017899
astyanax_mexicanus ENSAMXG00000038489
pygocentrus_nattereri ENSPNAG00000000200
ictalurus_punctatus ENSIPUG00000022910
danio_rerio ENSDARG00000045553
lepisosteus_oculatus ENSLOCG00000002170
apteryx_owenii ENSAOWG00000006123
apteryx_rowi ENSARWG00000015754
apteryx_haastii ENSAHAG00000016938
dromaius_novaehollandiae ENSDNVG00000012458
nothoprocta_perdicaria ENSNPEG00000000508
manacus_vitellinus ENSMVIG00005012893
lepidothrix_coronata ENSLCOG00000014632
taeniopygia_guttata ENSTGUG00000004388
lonchura_striata_domestica ENSLSDG00000016043
taeniopygia_guttata ENSTGUG00000013968
serinus_canaria ENSSCAG00000006639
zonotrichia_albicollis ENSZALG00000013401
junco_hyemalis ENSJHYG00000004120
ficedula_albicollis ENSFALG00000006730
parus_major ENSPMJG00000013980
cyanistes_caeruleus ENSCCEG00000007822
melopsittacus_undulatus ENSMUNG00000014701
calidris_pygmaea ENSCPGG00000017312
calidris_pugnax ENSCPUG00000008683
anser_brachyrhynchus ENSABRG00000014056
anas_platyrhynchos_platyrhynchos ENSAPLG00000001835
gallus_gallus ENSGALG00000005467
coturnix_japonica ENSCJPG00005014706
meleagris_gallopavo ENSMGAG00000006940
numida_meleagris ENSNMEG00000018757
crocodylus_porosus ENSCPRG00005006082
chrysemys_picta_bellii ENSCPBG00000023906
chelonoidis_abingdonii ENSCABG00000016360
gopherus_agassizii ENSGAGG00000008514
pelodiscus_sinensis ENSPSIG00000003303
pogona_vitticeps ENSPVIG00000002888
anolis_carolinensis ENSACAG00000011496
notechis_scutatus ENSNSUG00000009487
salvator_merianae ENSSMRG00000006251
sphenodon_punctatus ENSSPUG00000008318
choloepus_hoffmanni ENSCHOG00000001997
dasypus_novemcinctus ENSDNOG00000033415
sorex_araneus ENSSARG00000003668
myotis_lucifugus ENSMLUG00000015714
pteropus_vampyrus ENSPVAG00000016197
ursus_americanus ENSUAMG00000025550
ursus_maritimus ENSUMAG00000015271
ailuropoda_melanoleuca ENSAMEG00000014137
neovison_vison ENSNVIG00000020464
mustela_putorius_furo ENSMPUG00000009231
canis_lupus_dingo ENSCAFG00020002967
canis_lupus_familiaris ENSCAFG00000019977
