mus_musculus ENSMUSG00000022360
mus_spicilegus ENSMSIG00000015754
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020708
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019811
mus_pahari MGP_PahariEiJ_G0019821
rattus_norvegicus ENSRNOG00000025604
meriones_unguiculatus ENSMUGG00000009278
cricetulus_griseus_chok1gshd ENSCGRG00001000084
cricetulus_griseus_crigri-picr ENSCGRG00015007110
mesocricetus_auratus ENSMAUG00000021506
peromyscus_maniculatus_bairdii ENSPEMG00000023628
microtus_ochrogaster ENSMOCG00000020981
cavia_porcellus ENSCPOG00000007885
myotis_lucifugus ENSMLUG00000015236
sphenodon_punctatus ENSSPUG00000001803
piliocolobus_tephrosceles ENSPTEG00000020551
piliocolobus_tephrosceles ENSPTEG00000006374
piliocolobus_tephrosceles ENSPTEG00000014264
piliocolobus_tephrosceles ENSPTEG00000014212
piliocolobus_tephrosceles ENSPTEG00000003999
piliocolobus_tephrosceles ENSPTEG00000005897
lepisosteus_oculatus ENSLOCG00000009291
seriola_dumerili ENSSDUG00000011569
ciona_intestinalis ENSCING00000009019
saccharomyces_cerevisiae YDL126C
