amphiprion_ocellaris ENSAOCG00000008242
amphiprion_percula ENSAPEG00000019340
anabas_testudineus ENSATEG00000000712
labrus_bergylta ENSLBEG00000021509
labrus_bergylta ENSLBEG00000016077
seriola_lalandi_dorsalis ENSSLDG00000018135
poecilia_formosa ENSPFOG00000023902
poecilia_mexicana ENSPMEG00000009950
cyprinodon_variegatus ENSCVAG00000002825
cyprinodon_variegatus ENSCVAG00000003059
oryzias_latipes_asm223469v1 ENSORLG00015019703
oryzias_latipes ENSORLG00000025152
oryzias_melastigma ENSOMEG00000016123
oryzias_melastigma ENSOMEG00000010776
oryzias_melastigma ENSOMEG00000010266
oryzias_melastigma ENSOMEG00000013321
oryzias_latipes ENSORLG00000000170
poecilia_latipinna ENSPLAG00000020968
poecilia_reticulata ENSPREG00000000225
amphilophus_citrinellus ENSACIG00000020215
haplochromis_burtoni ENSHBUG00000008189
labrus_bergylta ENSLBEG00000015094
labrus_bergylta ENSLBEG00000012125
labrus_bergylta ENSLBEG00000024971
labrus_bergylta ENSLBEG00000012932
labrus_bergylta ENSLBEG00000012224
labrus_bergylta ENSLBEG00000013572
labrus_bergylta ENSLBEG00000014723
mastacembelus_armatus ENSMAMG00000003301
hippocampus_comes ENSHCOG00000020363
