mastacembelus_armatus ENSMAMG00000021427
monopterus_albus ENSMALG00000021799
anabas_testudineus ENSATEG00000024163
xiphophorus_maculatus ENSXMAG00000025760
xiphophorus_couchianus ENSXCOG00000010714
gambusia_affinis ENSGAFG00000006812
fundulus_heteroclitus ENSFHEG00000009181
cyprinodon_variegatus ENSCVAG00000011957
oryzias_latipes_asm223469v1 ENSORLG00015010587
oryzias_latipes ENSORLG00000023337
oryzias_latipes ENSORLG00020020921
oryzias_melastigma ENSOMEG00000008287
maylandia_zebra ENSMZEG00005013316
astatotilapia_calliptera ENSACLG00000025340
haplochromis_burtoni ENSHBUG00000003034
pundamilia_nyererei ENSPNYG00000019505
neolamprologus_brichardi ENSNBRG00000022654
oreochromis_niloticus ENSONIG00000005337
amphilophus_citrinellus ENSACIG00000001282
amphiprion_ocellaris ENSAOCG00000021488
amphiprion_percula ENSAPEG00000004065
acanthochromis_polyacanthus ENSAPOG00000004903
stegastes_partitus ENSSPAG00000003934
scophthalmus_maximus ENSSMAG00000017826
cynoglossus_semilaevis ENSCSEG00000010874
seriola_dumerili ENSSDUG00000012224
seriola_lalandi_dorsalis ENSSLDG00000022153
mola_mola ENSMMOG00000011003
periophthalmus_magnuspinnatus ENSPMGG00000003245
esox_lucius ENSELUG00000013756
