xiphophorus_maculatus ENSXMAG00000016800
xiphophorus_couchianus ENSXCOG00000003067
gambusia_affinis ENSGAFG00000008777
poecilia_formosa ENSPFOG00000016790
poecilia_mexicana ENSPMEG00000023959
poecilia_latipinna ENSPLAG00000004477
poecilia_reticulata ENSPREG00000012760
fundulus_heteroclitus ENSFHEG00000018253
cyprinodon_variegatus ENSCVAG00000013092
kryptolebias_marmoratus ENSKMAG00000000621
astatotilapia_calliptera ENSACLG00000016023
maylandia_zebra ENSMZEG00005017809
haplochromis_burtoni ENSHBUG00000020972
pundamilia_nyererei ENSPNYG00000000603
neolamprologus_brichardi ENSNBRG00000018912
oreochromis_niloticus ENSONIG00000013773
amphilophus_citrinellus ENSACIG00000009928
takifugu_rubripes ENSTRUG00000001101
tetraodon_nigroviridis ENSTNIG00000002975
mola_mola ENSMMOG00000011861
gasterosteus_aculeatus ENSGACG00000000074
seriola_dumerili ENSSDUG00000012968
seriola_lalandi_dorsalis ENSSLDG00000022814
scophthalmus_maximus ENSSMAG00000017390
monopterus_albus ENSMALG00000010521
hippocampus_comes ENSHCOG00000015030
periophthalmus_magnuspinnatus ENSPMGG00000018787
oryzias_latipes ENSORLG00000010289
oryzias_latipes_asm223469v1 ENSORLG00015009584
oryzias_latipes ENSORLG00020017910
oryzias_melastigma ENSOMEG00000007586
gadus_morhua ENSGMOG00000001205
periophthalmus_magnuspinnatus ENSPMGG00000020306
esox_lucius ENSELUG00000023248
pygocentrus_nattereri ENSPNAG00000012397
astyanax_mexicanus ENSAMXG00000011710
ictalurus_punctatus ENSIPUG00000013425
danio_rerio ENSDARG00000061458
paramormyrops_kingsleyae ENSPKIG00000010552
scleropages_formosus ENSSFOG00015015144
lepisosteus_oculatus ENSLOCG00000011164
chelonoidis_abingdonii ENSCABG00000021906
chrysemys_picta_bellii ENSCPBG00000024347
sphenodon_punctatus ENSSPUG00000017019
gopherus_agassizii ENSGAGG00000025666
chelonoidis_abingdonii ENSCABG00000006554
pelodiscus_sinensis ENSPSIG00000005120
crocodylus_porosus ENSCPRG00005014612
lepidothrix_coronata ENSLCOG00000005129
manacus_vitellinus ENSMVIG00005002837
lonchura_striata_domestica ENSLSDG00000017509
taeniopygia_guttata ENSTGUG00000002383
serinus_canaria ENSSCAG00000013350
zonotrichia_albicollis ENSZALG00000010808
junco_hyemalis ENSJHYG00000001918
ficedula_albicollis ENSFALG00000010161
parus_major ENSPMJG00000010302
cyanistes_caeruleus ENSCCEG00000019311
calidris_pygmaea ENSCPGG00000012861
calidris_pugnax ENSCPUG00000009657
melopsittacus_undulatus ENSMUNG00000000901
gallus_gallus ENSGALG00000038041
coturnix_japonica ENSCJPG00005011597
numida_meleagris ENSNMEG00000006252
meleagris_gallopavo ENSMGAG00000009846
anser_brachyrhynchus ENSABRG00000002155
anas_platyrhynchos_platyrhynchos ENSAPLG00000016105
apteryx_haastii ENSAHAG00000009557
apteryx_rowi ENSARWG00000014739
apteryx_owenii ENSAOWG00000006258
dromaius_novaehollandiae ENSDNVG00000016173
nothoprocta_perdicaria ENSNPEG00000013225
pogona_vitticeps ENSPVIG00000016887
anolis_carolinensis ENSACAG00000013266
notechis_scutatus ENSNSUG00000014432
salvator_merianae ENSSMRG00000008287
gorilla_gorilla ENSGGOG00000006206
homo_sapiens ENSG00000106443
pan_troglodytes ENSPTRG00000018935
pan_paniscus ENSPPAG00000041166
pongo_abelii ENSPPYG00000017779
nomascus_leucogenys ENSNLEG00000016184
rhinopithecus_roxellana ENSRROG00000035425
rhinopithecus_bieti ENSRBIG00000040397
piliocolobus_tephrosceles ENSPTEG00000033995
colobus_angolensis_palliatus ENSCANG00000038928
theropithecus_gelada ENSTGEG00000025217
chlorocebus_sabaeus ENSCSAG00000013274
mandrillus_leucophaeus ENSMLEG00000036858
macaca_mulatta ENSMMUG00000020895
macaca_fascicularis ENSMFAG00000002668
macaca_nemestrina ENSMNEG00000031850
papio_anubis ENSPANG00000007146
cercocebus_atys ENSCATG00000036768
saimiri_boliviensis_boliviensis ENSSBOG00000033689
cebus_capucinus ENSCCAG00000021944
callithrix_jacchus ENSCJAG00000000753
aotus_nancymaae ENSANAG00000037061
carlito_syrichta ENSTSYG00000009169
microcebus_murinus ENSMICG00000014004
prolemur_simus ENSPSMG00000009855
otolemur_garnettii ENSOGAG00000000467
tupaia_belangeri ENSTBEG00000016690
propithecus_coquereli ENSPCOG00000012269
carlito_syrichta ENSTSYG00000032088
bos_taurus ENSBTAG00000011819
pteropus_vampyrus ENSPVAG00000006663
myotis_lucifugus ENSMLUG00000010669
equus_asinus_asinus ENSEASG00005021067
equus_caballus ENSECAG00000016040
vicugna_pacos ENSVPAG00000010005
sus_scrofa ENSSSCG00000026722
ovis_aries ENSOARG00000006587
capra_hircus ENSCHIG00000027088
bison_bison_bison ENSBBBG00000015143
bos_mutus ENSBMUG00000008299
tursiops_truncatus ENSTTRG00000002333
ursus_maritimus ENSUMAG00000021668
ursus_americanus ENSUAMG00000001141
ailuropoda_melanoleuca ENSAMEG00000002497
neovison_vison ENSNVIG00000002124
mustela_putorius_furo ENSMPUG00000014144
canis_lupus_familiaris ENSCAFG00000002271
canis_lupus_dingo ENSCAFG00020010292
vulpes_vulpes ENSVVUG00000016098
panthera_pardus ENSPPRG00000005010
panthera_tigris_altaica ENSPTIG00000013018
felis_catus ENSFCAG00000032020
sorex_araneus ENSSARG00000011130
erinaceus_europaeus ENSEEUG00000001816
dasypus_novemcinctus ENSDNOG00000004814
choloepus_hoffmanni ENSCHOG00000013770
loxodonta_africana ENSLAFG00000000589
procavia_capensis ENSPCAG00000012060
echinops_telfairi ENSETEG00000006152
heterocephalus_glaber_male ENSHGLG00100003133
heterocephalus_glaber_female ENSHGLG00000007659
heterocephalus_glaber_male ENSHGLG00100017042
fukomys_damarensis ENSFDAG00000019400
octodon_degus ENSODEG00000011078
octodon_degus ENSODEG00000006455
chinchilla_lanigera ENSCLAG00000004153
cavia_porcellus ENSCPOG00000002218
cavia_aperea ENSCAPG00000013423
marmota_marmota_marmota ENSMMMG00000013854
urocitellus_parryii ENSUPAG00010010518
ictidomys_tridecemlineatus ENSSTOG00000003954
spermophilus_dauricus ENSSDAG00000005684
castor_canadensis ENSCCNG00000008030
dipodomys_ordii ENSDORG00000015520
mus_spicilegus ENSMSIG00000002959
mus_musculus ENSMUSG00000029629
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028103
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029103
mus_pahari MGP_PahariEiJ_G0021859
rattus_norvegicus ENSRNOG00000005775
meriones_unguiculatus ENSMUGG00000016342
peromyscus_maniculatus_bairdii ENSPEMG00000013539
microtus_ochrogaster ENSMOCG00000016636
cricetulus_griseus_crigri-picr ENSCGRG00015026048
cricetulus_griseus_crigri ENSCGRG00000001761
cricetulus_griseus_chok1gshd ENSCGRG00001004536
mesocricetus_auratus ENSMAUG00000015385
nannospalax_galili ENSNGAG00000013745
jaculus_jaculus ENSJJAG00000016257
oryctolagus_cuniculus ENSOCUG00000004678
ochotona_princeps ENSOPRG00000017046
phascolarctos_cinereus ENSPCIG00000025221
notamacropus_eugenii ENSMEUG00000000689
sarcophilus_harrisii ENSSHAG00000009940
monodelphis_domestica ENSMODG00000014114
ornithorhynchus_anatinus ENSOANG00000031609
xenopus_tropicalis ENSXETG00000022249
latimeria_chalumnae ENSLACG00000007379
petromyzon_marinus ENSPMAG00000006174
eptatretus_burgeri ENSEBUG00000004566
ciona_savignyi ENSCSAVG00000001375
ciona_intestinalis ENSCING00000005810
drosophila_melanogaster FBgn0031606
