hippocampus_comes ENSHCOG00000000918
periophthalmus_magnuspinnatus ENSPMGG00000007207
labrus_bergylta ENSLBEG00000005655
labrus_bergylta ENSLBEG00000004852
poecilia_mexicana ENSPMEG00000004459
oryzias_latipes ENSORLG00000017954
oryzias_latipes ENSORLG00020013081
oryzias_latipes_asm223469v1 ENSORLG00015009580
oryzias_melastigma ENSOMEG00000004210
kryptolebias_marmoratus ENSKMAG00000011589
amphiprion_ocellaris ENSAOCG00000020061
amphiprion_ocellaris ENSAOCG00000014268
amphiprion_percula ENSAPEG00000004126
acanthochromis_polyacanthus ENSAPOG00000020101
stegastes_partitus ENSSPAG00000017772
scophthalmus_maximus ENSSMAG00000006347
gasterosteus_aculeatus ENSGACG00000004609
seriola_dumerili ENSSDUG00000004182
seriola_lalandi_dorsalis ENSSLDG00000014613
cynoglossus_semilaevis ENSCSEG00000013519
mastacembelus_armatus ENSMAMG00000000081
monopterus_albus ENSMALG00000003638
anabas_testudineus ENSATEG00000017849
astatotilapia_calliptera ENSACLG00000011948
maylandia_zebra ENSMZEG00005002545
pundamilia_nyererei ENSPNYG00000017357
haplochromis_burtoni ENSHBUG00000009730
neolamprologus_brichardi ENSNBRG00000023846
oreochromis_niloticus ENSONIG00000012386
amphilophus_citrinellus ENSACIG00000023890
poecilia_formosa ENSPFOG00000019519
poecilia_formosa ENSPFOG00000022837
poecilia_mexicana ENSPMEG00000001224
poecilia_reticulata ENSPREG00000005955
poecilia_latipinna ENSPLAG00000007115
xiphophorus_maculatus ENSXMAG00000008150
fundulus_heteroclitus ENSFHEG00000010264
cyprinodon_variegatus ENSCVAG00000005046
xiphophorus_couchianus ENSXCOG00000004435
poecilia_reticulata ENSPREG00000005980
gambusia_affinis ENSGAFG00000012012
tetraodon_nigroviridis ENSTNIG00000012398
takifugu_rubripes ENSTRUG00000005612
gadus_morhua ENSGMOG00000005207
esox_lucius ENSELUG00000023774
pygocentrus_nattereri ENSPNAG00000008823
astyanax_mexicanus ENSAMXG00000006805
ictalurus_punctatus ENSIPUG00000012138
danio_rerio ENSDARG00000061169
paramormyrops_kingsleyae ENSPKIG00000014360
lepisosteus_oculatus ENSLOCG00000010684
manacus_vitellinus ENSMVIG00005019178
lepidothrix_coronata ENSLCOG00000001844
junco_hyemalis ENSJHYG00000005332
zonotrichia_albicollis ENSZALG00000000542
serinus_canaria ENSSCAG00000004570
taeniopygia_guttata ENSTGUG00000002098
taeniopygia_guttata ENSTGUG00000016099
lonchura_striata_domestica ENSLSDG00000005669
ficedula_albicollis ENSFALG00000008098
parus_major ENSPMJG00000007861
cyanistes_caeruleus ENSCCEG00000000774
melopsittacus_undulatus ENSMUNG00000014309
calidris_pygmaea ENSCPGG00000017502
calidris_pugnax ENSCPUG00000012339
anser_brachyrhynchus ENSABRG00000020301
anas_platyrhynchos_platyrhynchos ENSAPLG00000010129
gallus_gallus ENSGALG00000010207
meleagris_gallopavo ENSMGAG00000004809
coturnix_japonica ENSCJPG00005008636
numida_meleagris ENSNMEG00000014278
nothoprocta_perdicaria ENSNPEG00000011253
nothoprocta_perdicaria ENSNPEG00000011255
dromaius_novaehollandiae ENSDNVG00000010916
apteryx_haastii ENSAHAG00000012780
apteryx_owenii ENSAOWG00000002206
apteryx_rowi ENSARWG00000011716
crocodylus_porosus ENSCPRG00005004422
gopherus_agassizii ENSGAGG00000017209
chelonoidis_abingdonii ENSCABG00000016672
chrysemys_picta_bellii ENSCPBG00000017480
pelodiscus_sinensis ENSPSIG00000012885
anolis_carolinensis ENSACAG00000011338
pogona_vitticeps ENSPVIG00000002129
notechis_scutatus ENSNSUG00000008263
salvator_merianae ENSSMRG00000015565
sphenodon_punctatus ENSSPUG00000011837
phascolarctos_cinereus ENSPCIG00000026516
notamacropus_eugenii ENSMEUG00000010308
monodelphis_domestica ENSMODG00000012300
sarcophilus_harrisii ENSSHAG00000014474
ailuropoda_melanoleuca ENSAMEG00000010527
myotis_lucifugus ENSMLUG00000010229
prolemur_simus ENSPSMG00000019368
propithecus_coquereli ENSPCOG00000021874
microcebus_murinus ENSMICG00000036111
otolemur_garnettii ENSOGAG00000005771
pan_paniscus ENSPPAG00000030439
pan_troglodytes ENSPTRG00000016437
homo_sapiens ENSG00000138709
gorilla_gorilla ENSGGOG00000015900
pongo_abelii ENSPPYG00000029828
nomascus_leucogenys ENSNLEG00000013819
rhinopithecus_roxellana ENSRROG00000030771
rhinopithecus_bieti ENSRBIG00000039982
piliocolobus_tephrosceles ENSPTEG00000037807
colobus_angolensis_palliatus ENSCANG00000026958
chlorocebus_sabaeus ENSCSAG00000003582
mandrillus_leucophaeus ENSMLEG00000009306
macaca_fascicularis ENSMFAG00000002218
macaca_mulatta ENSMMUG00000021347
macaca_nemestrina ENSMNEG00000030406
cercocebus_atys ENSCATG00000013541
theropithecus_gelada ENSTGEG00000009212
papio_anubis ENSPANG00000012488
cebus_capucinus ENSCCAG00000021948
saimiri_boliviensis_boliviensis ENSSBOG00000030109
callithrix_jacchus ENSCJAG00000003338
aotus_nancymaae ENSANAG00000034618
urocitellus_parryii ENSUPAG00010021325
urocitellus_parryii ENSUPAG00010021333
meriones_unguiculatus ENSMUGG00000000634
meriones_unguiculatus ENSMUGG00000000598
nannospalax_galili ENSNGAG00000012163
dipodomys_ordii ENSDORG00000029141
fukomys_damarensis ENSFDAG00000005289
castor_canadensis ENSCCNG00000003240
choloepus_hoffmanni ENSCHOG00000005354
procavia_capensis ENSPCAG00000007546
panthera_pardus ENSPPRG00000002743
panthera_pardus ENSPPRG00000001616
ursus_maritimus ENSUMAG00000007373
ailuropoda_melanoleuca ENSAMEG00000002748
mustela_putorius_furo ENSMPUG00000017365
neovison_vison ENSNVIG00000007624
canis_lupus_familiaris ENSCAFG00000003831
canis_lupus_dingo ENSCAFG00020018899
vulpes_vulpes ENSVVUG00000011307
bos_taurus ENSBTAG00000012135
bos_mutus ENSBMUG00000022890
bison_bison_bison ENSBBBG00000001712
capra_hircus ENSCHIG00000023144
ovis_aries ENSOARG00000015300
sus_scrofa ENSSSCG00000034280
oryctolagus_cuniculus ENSOCUG00000013330
ochotona_princeps ENSOPRG00000005478
microcebus_murinus ENSMICG00000037883
peromyscus_maniculatus_bairdii ENSPEMG00000020946
peromyscus_maniculatus_bairdii ENSPEMG00000018238
cricetulus_griseus_crigri ENSCGRG00000001914
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025897
mus_musculus ENSMUSG00000025762
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024962
mus_pahari MGP_PahariEiJ_G0026403
mus_spicilegus ENSMSIG00000018067
rattus_norvegicus ENSRNOG00000038366
jaculus_jaculus ENSJJAG00000022360
marmota_marmota_marmota ENSMMMG00000014511
marmota_marmota_marmota ENSMMMG00000014480
