bison_bison_bison ENSBBBG00000010000
bos_taurus ENSBTAG00000030578
capra_hircus ENSCHIG00000009929
vicugna_pacos ENSVPAG00000008033
tursiops_truncatus ENSTTRG00000014921
equus_asinus_asinus ENSEASG00005007600
equus_caballus ENSECAG00000014505
pteropus_vampyrus ENSPVAG00000010976
canis_lupus_familiaris ENSCAFG00000003495
canis_lupus_dingo ENSCAFG00020023177
vulpes_vulpes ENSVVUG00000021273
mustela_putorius_furo ENSMPUG00000002341
felis_catus ENSFCAG00000012170
panthera_pardus ENSPPRG00000005802
myotis_lucifugus ENSMLUG00000011834
bos_mutus ENSBMUG00000004841
ovis_aries ENSOARG00000013644
sus_scrofa ENSSSCG00000003196
ursus_americanus ENSUAMG00000004416
ailuropoda_melanoleuca ENSAMEG00000013684
dipodomys_ordii ENSDORG00000029463
nannospalax_galili ENSNGAG00000022507
neovison_vison ENSNVIG00000001826
carlito_syrichta ENSTSYG00000005040
cricetulus_griseus_crigri-picr ENSCGRG00015019373
cricetulus_griseus_crigri ENSCGRG00000018211
cricetulus_griseus_chok1gshd ENSCGRG00001013179
mesocricetus_auratus ENSMAUG00000014396
peromyscus_maniculatus_bairdii ENSPEMG00000030238
microtus_ochrogaster ENSMOCG00000003051
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030778
mus_spicilegus ENSMSIG00000021311
mus_musculus ENSMUSG00000038502
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029680
mus_pahari MGP_PahariEiJ_G0012905
rattus_norvegicus ENSRNOG00000020358
meriones_unguiculatus ENSMUGG00000006744
meriones_unguiculatus ENSMUGG00000010237
jaculus_jaculus ENSJJAG00000013264
ictidomys_tridecemlineatus ENSSTOG00000012781
urocitellus_parryii ENSUPAG00010014392
marmota_marmota_marmota ENSMMMG00000008291
spermophilus_dauricus ENSSDAG00000001897
cavia_aperea ENSCAPG00000009967
cavia_porcellus ENSCPOG00000035204
octodon_degus ENSODEG00000016855
chinchilla_lanigera ENSCLAG00000007773
heterocephalus_glaber_female ENSHGLG00000017957
heterocephalus_glaber_male ENSHGLG00100010883
fukomys_damarensis ENSFDAG00000016461
ochotona_princeps ENSOPRG00000000912
microcebus_murinus ENSMICG00000003113
propithecus_coquereli ENSPCOG00000016580
prolemur_simus ENSPSMG00000023406
otolemur_garnettii ENSOGAG00000027242
pan_troglodytes ENSPTRG00000011321
homo_sapiens ENSG00000104960
pongo_abelii ENSPPYG00000010265
theropithecus_gelada ENSTGEG00000027038
papio_anubis ENSPANG00000008535
macaca_mulatta ENSMMUG00000011618
macaca_fascicularis ENSMFAG00000003953
macaca_nemestrina ENSMNEG00000037909
cercocebus_atys ENSCATG00000039521
piliocolobus_tephrosceles ENSPTEG00000022125
rhinopithecus_bieti ENSRBIG00000040867
rhinopithecus_roxellana ENSRROG00000044939
colobus_angolensis_palliatus ENSCANG00000030731
mandrillus_leucophaeus ENSMLEG00000044329
chlorocebus_sabaeus ENSCSAG00000002427
nomascus_leucogenys ENSNLEG00000005374
pan_paniscus ENSPPAG00000029476
rhinopithecus_bieti ENSRBIG00000036153
rhinopithecus_roxellana ENSRROG00000029273
macaca_nemestrina ENSMNEG00000037258
macaca_fascicularis ENSMFAG00000032122
cebus_capucinus ENSCCAG00000031167
saimiri_boliviensis_boliviensis ENSSBOG00000035809
callithrix_jacchus ENSCJAG00000004105
callithrix_jacchus ENSCJAG00000042365
aotus_nancymaae ENSANAG00000035798
procavia_capensis ENSPCAG00000002986
erinaceus_europaeus ENSEEUG00000003020
panthera_tigris_altaica ENSPTIG00000015583
echinops_telfairi ENSETEG00000014431
castor_canadensis ENSCCNG00000029624
sorex_araneus ENSSARG00000012622
choloepus_hoffmanni ENSCHOG00000008053
