pongo_abelii ENSPPYG00000014844
pan_paniscus ENSPPAG00000036734
chlorocebus_sabaeus ENSCSAG00000004709
aotus_nancymaae ENSANAG00000034490
callithrix_jacchus ENSCJAG00000019939
carlito_syrichta ENSTSYG00000000138
propithecus_coquereli ENSPCOG00000021234
prolemur_simus ENSPSMG00000013016
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028403
mus_musculus ENSMUSG00000096035
mus_spicilegus ENSMSIG00000018812
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027406
mus_pahari MGP_PahariEiJ_G0017184
rattus_norvegicus ENSRNOG00000059582
meriones_unguiculatus ENSMUGG00000006078
cricetulus_griseus_crigri-picr ENSCGRG00015010832
cricetulus_griseus_chok1gshd ENSCGRG00001013555
mesocricetus_auratus ENSMAUG00000007984
microtus_ochrogaster ENSMOCG00000014502
peromyscus_maniculatus_bairdii ENSPEMG00000017071
nannospalax_galili ENSNGAG00000000020
jaculus_jaculus ENSJJAG00000013778
dipodomys_ordii ENSDORG00000023820
castor_canadensis ENSCCNG00000016517
octodon_degus ENSODEG00000006617
heterocephalus_glaber_female ENSHGLG00000013662
chinchilla_lanigera ENSCLAG00000002892
urocitellus_parryii ENSUPAG00010004705
spermophilus_dauricus ENSSDAG00000008502
marmota_marmota_marmota ENSMMMG00000006911
tupaia_belangeri ENSTBEG00000008386
ursus_americanus ENSUAMG00000017627
ursus_maritimus ENSUMAG00000006737
ailuropoda_melanoleuca ENSAMEG00000014399
neovison_vison ENSNVIG00000014631
canis_lupus_dingo ENSCAFG00020011683
vulpes_vulpes ENSVVUG00000024186
canis_lupus_familiaris ENSCAFG00000008335
panthera_pardus ENSPPRG00000007796
panthera_tigris_altaica ENSPTIG00000017102
felis_catus ENSFCAG00000042407
equus_asinus_asinus ENSEASG00005016521
equus_caballus ENSECAG00000015736
ovis_aries ENSOARG00000015364
capra_hircus ENSCHIG00000010499
bos_mutus ENSBMUG00000017110
bos_taurus ENSBTAG00000050403
bison_bison_bison ENSBBBG00000004321
tursiops_truncatus ENSTTRG00000013789
sus_scrofa ENSSSCG00000034870
vicugna_pacos ENSVPAG00000010704
sorex_araneus ENSSARG00000006090
erinaceus_europaeus ENSEEUG00000013186
pteropus_vampyrus ENSPVAG00000010163
procavia_capensis ENSPCAG00000016821
echinops_telfairi ENSETEG00000011424
phascolarctos_cinereus ENSPCIG00000007047
sarcophilus_harrisii ENSSHAG00000006187
monodelphis_domestica ENSMODG00000019198
