amphiprion_percula ENSAPEG00000022467
amphiprion_ocellaris ENSAOCG00000016232
acanthochromis_polyacanthus ENSAPOG00000011351
stegastes_partitus ENSSPAG00000018513
oryzias_latipes ENSORLG00000025280
oryzias_latipes ENSORLG00020015014
oryzias_melastigma ENSOMEG00000009458
mastacembelus_armatus ENSMAMG00000018574
monopterus_albus ENSMALG00000003621
anabas_testudineus ENSATEG00000012918
seriola_dumerili ENSSDUG00000013256
seriola_lalandi_dorsalis ENSSLDG00000014877
scophthalmus_maximus ENSSMAG00000018307
labrus_bergylta ENSLBEG00000000075
mola_mola ENSMMOG00000020758
fundulus_heteroclitus ENSFHEG00000007177
cyprinodon_variegatus ENSCVAG00000008257
kryptolebias_marmoratus ENSKMAG00000011561
maylandia_zebra ENSMZEG00005001572
pundamilia_nyererei ENSPNYG00000013157
astatotilapia_calliptera ENSACLG00000006499
haplochromis_burtoni ENSHBUG00000007829
neolamprologus_brichardi ENSNBRG00000008519
amphilophus_citrinellus ENSACIG00000004815
poecilia_formosa ENSPFOG00000019955
poecilia_mexicana ENSPMEG00000016858
poecilia_latipinna ENSPLAG00000005534
poecilia_reticulata ENSPREG00000017598
xiphophorus_maculatus ENSXMAG00000019886
xiphophorus_couchianus ENSXCOG00000012521
gambusia_affinis ENSGAFG00000015770
cynoglossus_semilaevis ENSCSEG00000010250
cynoglossus_semilaevis ENSCSEG00000007428
takifugu_rubripes ENSTRUG00000022563
periophthalmus_magnuspinnatus ENSPMGG00000004234
esox_lucius ENSELUG00000009334
paramormyrops_kingsleyae ENSPKIG00000010652
scleropages_formosus ENSSFOG00015006784
lepisosteus_oculatus ENSLOCG00000017725
pogona_vitticeps ENSPVIG00000020860
salvator_merianae ENSSMRG00000015341
sphenodon_punctatus ENSSPUG00000003089
chelonoidis_abingdonii ENSCABG00000007739
gopherus_agassizii ENSGAGG00000015415
chrysemys_picta_bellii ENSCPBG00000005289
apteryx_rowi ENSARWG00000000915
notechis_scutatus ENSNSUG00000010491
