petromyzon_marinus ENSPMAG00000003309
eptatretus_burgeri ENSEBUG00000011060
fundulus_heteroclitus ENSFHEG00000005103
cyprinodon_variegatus ENSCVAG00000010484
xiphophorus_maculatus ENSXMAG00000005076
xiphophorus_couchianus ENSXCOG00000005710
gambusia_affinis ENSGAFG00000004412
poecilia_latipinna ENSPLAG00000005555
poecilia_formosa ENSPFOG00000018040
poecilia_mexicana ENSPMEG00000001783
poecilia_reticulata ENSPREG00000006348
kryptolebias_marmoratus ENSKMAG00000009237
oryzias_latipes ENSORLG00020005812
oryzias_latipes ENSORLG00000013542
oryzias_latipes_asm223469v1 ENSORLG00015020003
oryzias_melastigma ENSOMEG00000017151
cynoglossus_semilaevis ENSCSEG00000015496
tetraodon_nigroviridis ENSTNIG00000018659
amphiprion_ocellaris ENSAOCG00000024662
amphiprion_percula ENSAPEG00000019176
acanthochromis_polyacanthus ENSAPOG00000018484
stegastes_partitus ENSSPAG00000005326
stegastes_partitus ENSSPAG00000021804
anabas_testudineus ENSATEG00000004368
gasterosteus_aculeatus ENSGACG00000017973
mola_mola ENSMMOG00000011987
seriola_lalandi_dorsalis ENSSLDG00000015048
seriola_dumerili ENSSDUG00000002819
labrus_bergylta ENSLBEG00000018261
takifugu_rubripes ENSTRUG00000012115
scophthalmus_maximus ENSSMAG00000013950
astatotilapia_calliptera ENSACLG00000027606
maylandia_zebra ENSMZEG00005014610
pundamilia_nyererei ENSPNYG00000016928
haplochromis_burtoni ENSHBUG00000012012
neolamprologus_brichardi ENSNBRG00000022338
oreochromis_niloticus ENSONIG00000012822
amphilophus_citrinellus ENSACIG00000018331
mastacembelus_armatus ENSMAMG00000001481
monopterus_albus ENSMALG00000020493
hippocampus_comes ENSHCOG00000004134
periophthalmus_magnuspinnatus ENSPMGG00000007546
gadus_morhua ENSGMOG00000010144
esox_lucius ENSELUG00000012498
pygocentrus_nattereri ENSPNAG00000028001
astyanax_mexicanus ENSAMXG00000011951
ictalurus_punctatus ENSIPUG00000016766
danio_rerio ENSDARG00000051921
paramormyrops_kingsleyae ENSPKIG00000025580
scleropages_formosus ENSSFOG00015004744
lepisosteus_oculatus ENSLOCG00000010499
pogona_vitticeps ENSPVIG00000011560
anolis_carolinensis ENSACAG00000016363
notechis_scutatus ENSNSUG00000006947
salvator_merianae ENSSMRG00000001022
sphenodon_punctatus ENSSPUG00000014345
apteryx_owenii ENSAOWG00000001986
apteryx_rowi ENSARWG00000012162
apteryx_haastii ENSAHAG00000009107
dromaius_novaehollandiae ENSDNVG00000014173
nothoprocta_perdicaria ENSNPEG00000016047
anser_brachyrhynchus ENSABRG00000022565
anas_platyrhynchos_platyrhynchos ENSAPLG00000005422
gallus_gallus ENSGALG00000014787
coturnix_japonica ENSCJPG00005008039
meleagris_gallopavo ENSMGAG00000004617
numida_meleagris ENSNMEG00000007882
calidris_pygmaea ENSCPGG00000015199
calidris_pugnax ENSCPUG00000014869
melopsittacus_undulatus ENSMUNG00000013321
lonchura_striata_domestica ENSLSDG00000004267
taeniopygia_guttata ENSTGUG00000000636
serinus_canaria ENSSCAG00000006486
zonotrichia_albicollis ENSZALG00000003263
junco_hyemalis ENSJHYG00000003048
parus_major ENSPMJG00000016124
cyanistes_caeruleus ENSCCEG00000016599
ficedula_albicollis ENSFALG00000009851
manacus_vitellinus ENSMVIG00005015117
lepidothrix_coronata ENSLCOG00000012038
crocodylus_porosus ENSCPRG00005017288
gopherus_agassizii ENSGAGG00000003610
chelonoidis_abingdonii ENSCABG00000020858
chrysemys_picta_bellii ENSCPBG00000026888
pelodiscus_sinensis ENSPSIG00000010552
phascolarctos_cinereus ENSPCIG00000000830
notamacropus_eugenii ENSMEUG00000008232
sarcophilus_harrisii ENSSHAG00000007104
monodelphis_domestica ENSMODG00000019697
monodelphis_domestica ENSMODG00000023902
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019730
mus_spicilegus ENSMSIG00000003198
mus_musculus ENSMUSG00000021629
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018851
mus_pahari MGP_PahariEiJ_G0015923
rattus_norvegicus ENSRNOG00000018746
meriones_unguiculatus ENSMUGG00000025552
cricetulus_griseus_chok1gshd ENSCGRG00001014056
cricetulus_griseus_crigri ENSCGRG00000008683
cricetulus_griseus_crigri-picr ENSCGRG00015006176
mesocricetus_auratus ENSMAUG00000010382
microtus_ochrogaster ENSMOCG00000017446
peromyscus_maniculatus_bairdii ENSPEMG00000022757
nannospalax_galili ENSNGAG00000013873
jaculus_jaculus ENSJJAG00000000942
jaculus_jaculus ENSJJAG00000011611
castor_canadensis ENSCCNG00000022159
urocitellus_parryii ENSUPAG00010021029
ictidomys_tridecemlineatus ENSSTOG00000010451
marmota_marmota_marmota ENSMMMG00000023272
spermophilus_dauricus ENSSDAG00000018644
cavia_porcellus ENSCPOG00000003972
cavia_aperea ENSCAPG00000007237
octodon_degus ENSODEG00000016100
chinchilla_lanigera ENSCLAG00000003670
heterocephalus_glaber_female ENSHGLG00000013964
heterocephalus_glaber_male ENSHGLG00100015280
heterocephalus_glaber_male ENSHGLG00100001882
heterocephalus_glaber_male ENSHGLG00100015644
fukomys_damarensis ENSFDAG00000013245
oryctolagus_cuniculus ENSOCUG00000010472
ochotona_princeps ENSOPRG00000000981
tupaia_belangeri ENSTBEG00000011709
piliocolobus_tephrosceles ENSPTEG00000010344
colobus_angolensis_palliatus ENSCANG00000026784
theropithecus_gelada ENSTGEG00000018139
papio_anubis ENSPANG00000025511
macaca_fascicularis ENSMFAG00000036926
nomascus_leucogenys ENSNLEG00000003953
rhinopithecus_roxellana ENSRROG00000041297
rhinopithecus_bieti ENSRBIG00000039754
chlorocebus_sabaeus ENSCSAG00000015873
pan_paniscus ENSPPAG00000033882
pan_troglodytes ENSPTRG00000016941
gorilla_gorilla ENSGGOG00000015127
homo_sapiens ENSG00000145740
callithrix_jacchus ENSCJAG00000016039
cebus_capucinus ENSCCAG00000025016
aotus_nancymaae ENSANAG00000030835
saimiri_boliviensis_boliviensis ENSSBOG00000021871
saimiri_boliviensis_boliviensis ENSSBOG00000026687
pongo_abelii ENSPPYG00000015521
carlito_syrichta ENSTSYG00000014243
prolemur_simus ENSPSMG00000020317
propithecus_coquereli ENSPCOG00000027703
microcebus_murinus ENSMICG00000013423
macaca_nemestrina ENSMNEG00000033492
macaca_mulatta ENSMMUG00000018143
cercocebus_atys ENSCATG00000040127
mandrillus_leucophaeus ENSMLEG00000034999
tupaia_belangeri ENSTBEG00000009301
dipodomys_ordii ENSDORG00000003790
otolemur_garnettii ENSOGAG00000002155
pteropus_vampyrus ENSPVAG00000010836
myotis_lucifugus ENSMLUG00000014955
erinaceus_europaeus ENSEEUG00000015790
sorex_araneus ENSSARG00000009627
ovis_aries ENSOARG00000005799
capra_hircus ENSCHIG00000021792
bos_taurus ENSBTAG00000001013
bos_mutus ENSBMUG00000024203
bison_bison_bison ENSBBBG00000002640
tursiops_truncatus ENSTTRG00000005753
sus_scrofa ENSSSCG00000022430
vicugna_pacos ENSVPAG00000010828
equus_caballus ENSECAG00000024474
equus_asinus_asinus ENSEASG00005006790
ursus_maritimus ENSUMAG00000008034
ursus_americanus ENSUAMG00000026405
ailuropoda_melanoleuca ENSAMEG00000003073
mustela_putorius_furo ENSMPUG00000014669
neovison_vison ENSNVIG00000015566
canis_lupus_dingo ENSCAFG00020019408
canis_lupus_familiaris ENSCAFG00000007670
vulpes_vulpes ENSVVUG00000006638
panthera_pardus ENSPPRG00000022743
panthera_tigris_altaica ENSPTIG00000018637
felis_catus ENSFCAG00000008198
loxodonta_africana ENSLAFG00000009364
procavia_capensis ENSPCAG00000002374
echinops_telfairi ENSETEG00000018080
dasypus_novemcinctus ENSDNOG00000039614
choloepus_hoffmanni ENSCHOG00000009944
ornithorhynchus_anatinus ENSOANG00000010651
xenopus_tropicalis ENSXETG00000000472
latimeria_chalumnae ENSLACG00000005964
lepidothrix_coronata ENSLCOG00000002078
cyanistes_caeruleus ENSCCEG00000022776
calidris_pygmaea ENSCPGG00000002480
calidris_pugnax ENSCPUG00000004234
melopsittacus_undulatus ENSMUNG00000012697
apteryx_haastii ENSAHAG00000007422
nothoprocta_perdicaria ENSNPEG00000005103
pteropus_vampyrus ENSPVAG00000009625
procavia_capensis ENSPCAG00000001131
mola_mola ENSMMOG00000007739
labrus_bergylta ENSLBEG00000001056
eptatretus_burgeri ENSEBUG00000015689
ciona_intestinalis ENSCING00000005935
caenorhabditis_elegans_strain_n2 WBGene00013668
