numida_meleagris ENSNMEG00000006172
coturnix_japonica ENSCJPG00005014109
anser_brachyrhynchus ENSABRG00000000357
lonchura_striata_domestica ENSLSDG00000011610
junco_hyemalis ENSJHYG00000006958
cyanistes_caeruleus ENSCCEG00000007786
lepidothrix_coronata ENSLCOG00000006397
parus_major ENSPMJG00000001453
calidris_pygmaea ENSCPGG00000006085
calidris_pugnax ENSCPUG00000018259
nothoprocta_perdicaria ENSNPEG00000000061
apteryx_owenii ENSAOWG00000019161
apteryx_rowi ENSARWG00000007718
apteryx_haastii ENSAHAG00000003816
dromaius_novaehollandiae ENSDNVG00000008714
chelonoidis_abingdonii ENSCABG00000002862
notechis_scutatus ENSNSUG00000005822
