taeniopygia_guttata ENSTGUG00000007815
junco_hyemalis ENSJHYG00000000276
serinus_canaria ENSSCAG00000010075
lonchura_striata_domestica ENSLSDG00000011389
zonotrichia_albicollis ENSZALG00000004725
ficedula_albicollis ENSFALG00000010849
cyanistes_caeruleus ENSCCEG00000016615
calidris_pugnax ENSCPUG00000015007
anas_platyrhynchos_platyrhynchos ENSAPLG00000010378
gallus_gallus ENSGALG00000049638
gopherus_agassizii ENSGAGG00000015761
chelonoidis_abingdonii ENSCABG00000015499
chrysemys_picta_bellii ENSCPBG00000024134
chrysemys_picta_bellii ENSCPBG00000003723
pelodiscus_sinensis ENSPSIG00000007558
sarcophilus_harrisii ENSSHAG00000003122
monodelphis_domestica ENSMODG00000019666
notamacropus_eugenii ENSMEUG00000005033
procavia_capensis ENSPCAG00000008757
loxodonta_africana ENSLAFG00000021367
echinops_telfairi ENSETEG00000016928
dasypus_novemcinctus ENSDNOG00000036924
bison_bison_bison ENSBBBG00000019714
bos_mutus ENSBMUG00000005841
bos_taurus ENSBTAG00000010348
capra_hircus ENSCHIG00000014955
ovis_aries ENSOARG00000006062
tursiops_truncatus ENSTTRG00000012445
sus_scrofa ENSSSCG00000012846
myotis_lucifugus ENSMLUG00000017584
ursus_americanus ENSUAMG00000022162
ailuropoda_melanoleuca ENSAMEG00000006982
mustela_putorius_furo ENSMPUG00000009004
neovison_vison ENSNVIG00000006096
canis_lupus_familiaris ENSCAFG00000006633
canis_lupus_familiaris ENSCAFG00000031406
canis_lupus_dingo ENSCAFG00020006875
vulpes_vulpes ENSVVUG00000017259
panthera_pardus ENSPPRG00000003155
felis_catus ENSFCAG00000007594
pteropus_vampyrus ENSPVAG00000017687
equus_asinus_asinus ENSEASG00005007432
pan_troglodytes ENSPTRG00000044353
pan_paniscus ENSPPAG00000041762
gorilla_gorilla ENSGGOG00000010750
homo_sapiens ENSG00000177225
mandrillus_leucophaeus ENSMLEG00000037911
theropithecus_gelada ENSTGEG00000023887
chlorocebus_sabaeus ENSCSAG00000010679
piliocolobus_tephrosceles ENSPTEG00000006984
callithrix_jacchus ENSCJAG00000011890
carlito_syrichta ENSTSYG00000026938
propithecus_coquereli ENSPCOG00000022875
prolemur_simus ENSPSMG00000008290
microcebus_murinus ENSMICG00000008372
dipodomys_ordii ENSDORG00000025985
castor_canadensis ENSCCNG00000011196
microtus_ochrogaster ENSMOCG00000012498
peromyscus_maniculatus_bairdii ENSPEMG00000017859
cricetulus_griseus_crigri-picr ENSCGRG00015027147
cricetulus_griseus_chok1gshd ENSCGRG00001012070
cricetulus_griseus_crigri ENSCGRG00000003627
mesocricetus_auratus ENSMAUG00000016608
mus_spicilegus ENSMSIG00000027458
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030694
mus_musculus ENSMUSG00000051007
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031805
mus_pahari MGP_PahariEiJ_G0013893
rattus_norvegicus ENSRNOG00000045795
rattus_norvegicus ENSRNOG00000046382
nannospalax_galili ENSNGAG00000013215
cavia_aperea ENSCAPG00000000017
cavia_porcellus ENSCPOG00000019935
chinchilla_lanigera ENSCLAG00000001667
octodon_degus ENSODEG00000014975
heterocephalus_glaber_male ENSHGLG00100009736
heterocephalus_glaber_female ENSHGLG00000005954
fukomys_damarensis ENSFDAG00000010556
ictidomys_tridecemlineatus ENSSTOG00000024190
marmota_marmota_marmota ENSMMMG00000005955
spermophilus_dauricus ENSSDAG00000001404
urocitellus_parryii ENSUPAG00010022875
rhinopithecus_bieti ENSRBIG00000035190
rhinopithecus_roxellana ENSRROG00000034516
colobus_angolensis_palliatus ENSCANG00000012835
macaca_mulatta ENSMMUG00000007511
macaca_nemestrina ENSMNEG00000037372
macaca_fascicularis ENSMFAG00000021199
papio_anubis ENSPANG00000017208
cercocebus_atys ENSCATG00000033761
nomascus_leucogenys ENSNLEG00000008537
cebus_capucinus ENSCCAG00000032259
saimiri_boliviensis_boliviensis ENSSBOG00000025260
aotus_nancymaae ENSANAG00000020997
ochotona_princeps ENSOPRG00000007622
ornithorhynchus_anatinus ENSOANG00000009139
