ictalurus_punctatus ENSIPUG00000016503
pygocentrus_nattereri ENSPNAG00000018094
cynoglossus_semilaevis ENSCSEG00000014502
seriola_dumerili ENSSDUG00000007622
poecilia_latipinna ENSPLAG00000011822
poecilia_mexicana ENSPMEG00000013689
poecilia_reticulata ENSPREG00000006921
xiphophorus_maculatus ENSXMAG00000029616
xiphophorus_couchianus ENSXCOG00000009098
gambusia_affinis ENSGAFG00000004144
cyprinodon_variegatus ENSCVAG00000021875
fundulus_heteroclitus ENSFHEG00000000606
kryptolebias_marmoratus ENSKMAG00000019935
oryzias_latipes ENSORLG00000024318
oryzias_latipes ENSORLG00020009097
oryzias_latipes_asm223469v1 ENSORLG00015004312
pundamilia_nyererei ENSPNYG00000000230
astatotilapia_calliptera ENSACLG00000004724
maylandia_zebra ENSMZEG00005010357
haplochromis_burtoni ENSHBUG00000001574
neolamprologus_brichardi ENSNBRG00000013999
amphilophus_citrinellus ENSACIG00000007771
amphiprion_ocellaris ENSAOCG00000022854
amphiprion_percula ENSAPEG00000014095
acanthochromis_polyacanthus ENSAPOG00000007192
mola_mola ENSMMOG00000008999
mastacembelus_armatus ENSMAMG00000009969
periophthalmus_magnuspinnatus ENSPMGG00000002492
