anabas_testudineus ENSATEG00000009567
betta_splendens ENSBSLG00000007621
larimichthys_crocea ENSLCRG00005018531
scophthalmus_maximus ENSSMAG00000011329
hippocampus_comes ENSHCOG00000019564
cynoglossus_semilaevis ENSCSEG00000006821
takifugu_rubripes ENSTRUG00000023091
amphiprion_percula ENSAPEG00000004657
amphiprion_ocellaris ENSAOCG00000011365
stegastes_partitus ENSSPAG00000019145
acanthochromis_polyacanthus ENSAPOG00000007196
haplochromis_burtoni ENSHBUG00000010257
oreochromis_niloticus ENSONIG00000017860
neolamprologus_brichardi ENSNBRG00000018055
fundulus_heteroclitus ENSFHEG00000000559
cyprinodon_variegatus ENSCVAG00000006457
xiphophorus_maculatus ENSXMAG00000007040
xiphophorus_couchianus ENSXCOG00000018528
gambusia_affinis ENSGAFG00000009865
poecilia_formosa ENSPFOG00000023479
poecilia_mexicana ENSPMEG00000024354
poecilia_latipinna ENSPLAG00000019672
oryzias_latipes ENSORLG00015007938
oryzias_latipes ENSORLG00000024412
oryzias_melastigma ENSOMEG00000016793
