ictalurus_punctatus ENSIPUG00000004109
pygocentrus_nattereri ENSPNAG00000002011
danio_rerio ENSDARG00000092160
gambusia_affinis ENSGAFG00000018307
poecilia_reticulata ENSPREG00000003422
xiphophorus_maculatus ENSXMAG00000020141
cyprinodon_variegatus ENSCVAG00000014330
takifugu_rubripes ENSTRUG00000025781
tetraodon_nigroviridis ENSTNIG00000017777
periophthalmus_magnuspinnatus ENSPMGG00000019036
amphiprion_percula ENSAPEG00000016755
amphiprion_ocellaris ENSAOCG00000024192
scophthalmus_maximus ENSSMAG00000012799
maylandia_zebra ENSMZEG00005007568
astatotilapia_calliptera ENSACLG00000022298
haplochromis_burtoni ENSHBUG00000000605
pundamilia_nyererei ENSPNYG00000002657
neolamprologus_brichardi ENSNBRG00000008645
poecilia_formosa ENSPFOG00000020055
acanthochromis_polyacanthus ENSAPOG00000011777
seriola_dumerili ENSSDUG00000007035
seriola_lalandi ENSSLDG00000013303
oryzias_latipes ENSORLG00020002583
oryzias_latipes ENSORLG00015013419
oryzias_latipes ENSORLG00000004008
gasterosteus_aculeatus ENSGACG00000006421
hippocampus_comes ENSHCOG00000010586
anabas_testudineus ENSATEG00000017972
gadus_morhua ENSGMOG00000002796
astyanax_mexicanus ENSAMXG00000025611
paramormyrops_kingsleyae ENSPKIG00000025633
scleropages_formosus ENSSFOG00015012800
lepisosteus_oculatus ENSLOCG00000018351
dromaius_novaehollandiae ENSDNVG00000016811
nothoprocta_perdicaria ENSNPEG00000001802
apteryx_rowi ENSARWG00000018231
apteryx_haastii ENSAHAG00000004094
apteryx_owenii ENSAOWG00000006637
taeniopygia_guttata ENSTGUG00000002644
lonchura_striata ENSLSDG00000002214
serinus_canaria ENSSCAG00000013784
cyanistes_caeruleus ENSCCEG00000019371
parus_major ENSPMJG00000000080
ficedula_albicollis ENSFALG00000014487
junco_hyemalis ENSJHYG00000004175
zonotrichia_albicollis ENSZALG00000010846
lepidothrix_coronata ENSLCOG00000012291
manacus_vitellinus ENSMVIG00005000655
calidris_pygmaea ENSCPGG00000017617
anser_brachyrhynchus ENSABRG00000010860
anas_platyrhynchos ENSAPLG00000001417
gallus_gallus ENSGALG00000010862
coturnix_japonica ENSCJPG00005011927
meleagris_gallopavo ENSMGAG00000015843
numida_meleagris ENSNMEG00000007056
crocodylus_porosus ENSCPRG00005015338
chelonoidis_abingdonii ENSCABG00000005912
gopherus_agassizii ENSGAGG00000018102
chrysemys_picta ENSCPBG00000000383
pelodiscus_sinensis ENSPSIG00000000691
anolis_carolinensis ENSACAG00000011821
pogona_vitticeps ENSPVIG00000016377
salvator_merianae ENSSMRG00000007660
capra_hircus ENSCHIG00000010496
ovis_aries ENSOARG00000008159
bos_taurus ENSBTAG00000039955
bos_mutus ENSBMUG00000012550
bison_bison ENSBBBG00000017937
sus_scrofa ENSSSCG00000015371
erinaceus_europaeus ENSEEUG00000004309
ursus_maritimus ENSUMAG00000022200
ursus_americanus ENSUAMG00000002512
ailuropoda_melanoleuca ENSAMEG00000019030
neovison_vison ENSNVIG00000014221
canis_lupus ENSCAFG00000002506
canis_lupus ENSCAFG00020002139
vulpes_vulpes ENSVVUG00000008413
panthera_pardus ENSPPRG00000021108
panthera_tigris ENSPTIG00000007267
felis_catus ENSFCAG00000010289
equus_asinus ENSEASG00005021695
pteropus_vampyrus ENSPVAG00000001711
myotis_lucifugus ENSMLUG00000006930
prolemur_simus ENSPSMG00000016366
otolemur_garnettii ENSOGAG00000014773
saimiri_boliviensis ENSSBOG00000006445
callithrix_jacchus ENSCJAG00000038997
pan_troglodytes ENSPTRG00000018961
pan_paniscus ENSPPAG00000010360
gorilla_gorilla ENSGGOG00000021943
homo_sapiens ENSG00000146618
pongo_abelii ENSPPYG00000017753
nomascus_leucogenys ENSNLEG00000019265
cercocebus_atys ENSCATG00000018900
chlorocebus_sabaeus ENSCSAG00000019609
mandrillus_leucophaeus ENSMLEG00000018020
macaca_mulatta ENSMMUG00000011174
macaca_fascicularis ENSMFAG00000019773
macaca_nemestrina ENSMNEG00000000812
papio_anubis ENSPANG00000010936
theropithecus_gelada ENSTGEG00000023449
rhinopithecus_roxellana ENSRROG00000012883
colobus_angolensis ENSCANG00000018234
piliocolobus_tephrosceles ENSPTEG00000036066
castor_canadensis ENSCCNG00000022364
dipodomys_ordii ENSDORG00000012867
mus_spretus MGP_SPRETEiJ_G0018535
mus_musculus ENSMUSG00000046518
mus_spicilegus ENSMSIG00000008152
mus_caroli MGP_CAROLIEiJ_G0017693
mus_pahari MGP_PahariEiJ_G0029451
rattus_norvegicus ENSRNOG00000011091
meriones_unguiculatus ENSMUGG00000021390
cricetulus_griseus ENSCGRG00001003018
cricetulus_griseus ENSCGRG00015013971
cricetulus_griseus ENSCGRG00000019273
mesocricetus_auratus ENSMAUG00000016132
peromyscus_maniculatus ENSPEMG00000009207
microtus_ochrogaster ENSMOCG00000006801
nannospalax_galili ENSNGAG00000012141
chinchilla_lanigera ENSCLAG00000017792
octodon_degus ENSODEG00000019445
heterocephalus_glaber ENSHGLG00100020000
heterocephalus_glaber ENSHGLG00000021353
spermophilus_dauricus ENSSDAG00000011812
marmota_marmota ENSMMMG00000015442
urocitellus_parryii ENSUPAG00010012798
ictidomys_tridecemlineatus ENSSTOG00000025739
tupaia_belangeri ENSTBEG00000003400
loxodonta_africana ENSLAFG00000012782
procavia_capensis ENSPCAG00000013680
dasypus_novemcinctus ENSDNOG00000037813
oryctolagus_cuniculus ENSOCUG00000016121
ochotona_princeps ENSOPRG00000004265
phascolarctos_cinereus ENSPCIG00000013630
notamacropus_eugenii ENSMEUG00000016077
monodelphis_domestica ENSMODG00000001405
sarcophilus_harrisii ENSSHAG00000013034
ornithorhynchus_anatinus ENSOANG00000009615
xenopus_tropicalis ENSXETG00000031751
latimeria_chalumnae ENSLACG00000013215
