ciona_savignyi ENSCSAVG00000002060
ciona_intestinalis ENSCING00000007080
ciona_intestinalis ENSCING00000003991
eptatretus_burgeri ENSEBUG00000008432
petromyzon_marinus ENSPMAG00000002742
anolis_carolinensis ENSACAG00000008523
notechis_scutatus ENSNSUG00000016104
salvator_merianae ENSSMRG00000006090
sphenodon_punctatus ENSSPUG00000009238
taeniopygia_guttata ENSTGUG00000000388
lonchura_striata_domestica ENSLSDG00000003735
serinus_canaria ENSSCAG00000002724
junco_hyemalis ENSJHYG00000010303
parus_major ENSPMJG00000010828
ficedula_albicollis ENSFALG00000013837
manacus_vitellinus ENSMVIG00005010899
lepidothrix_coronata ENSLCOG00000009016
calidris_pugnax ENSCPUG00000015650
gallus_gallus ENSGALG00000033694
coturnix_japonica ENSCJPG00005011906
meleagris_gallopavo ENSMGAG00000005001
numida_meleagris ENSNMEG00000003941
anser_brachyrhynchus ENSABRG00000001719
anas_platyrhynchos_platyrhynchos ENSAPLG00000000837
zonotrichia_albicollis ENSZALG00000008572
melopsittacus_undulatus ENSMUNG00000001673
apteryx_haastii ENSAHAG00000006669
apteryx_rowi ENSARWG00000018747
apteryx_owenii ENSAOWG00000013923
nothoprocta_perdicaria ENSNPEG00000011441
crocodylus_porosus ENSCPRG00005015813
gopherus_agassizii ENSGAGG00000001274
chelonoidis_abingdonii ENSCABG00000016346
chrysemys_picta_bellii ENSCPBG00000012937
pelodiscus_sinensis ENSPSIG00000002157
phascolarctos_cinereus ENSPCIG00000031540
sarcophilus_harrisii ENSSHAG00000009989
monodelphis_domestica ENSMODG00000003136
ursus_americanus ENSUAMG00000013668
ursus_maritimus ENSUMAG00000009491
ailuropoda_melanoleuca ENSAMEG00000011068
neovison_vison ENSNVIG00000017558
mustela_putorius_furo ENSMPUG00000015715
canis_lupus_familiaris ENSCAFG00000014956
canis_lupus_dingo ENSCAFG00020012054
vulpes_vulpes ENSVVUG00000008281
panthera_pardus ENSPPRG00000005435
panthera_tigris_altaica ENSPTIG00000003466
felis_catus ENSFCAG00000031065
equus_asinus_asinus ENSEASG00005006219
equus_caballus ENSECAG00000013896
capra_hircus ENSCHIG00000005544
ovis_aries ENSOARG00000013291
bison_bison_bison ENSBBBG00000007643
bos_mutus ENSBMUG00000025752
bos_taurus ENSBTAG00000018349
tursiops_truncatus ENSTTRG00000005850
sus_scrofa ENSSSCG00000013901
vicugna_pacos ENSVPAG00000007936
pteropus_vampyrus ENSPVAG00000002030
myotis_lucifugus ENSMLUG00000000931
otolemur_garnettii ENSOGAG00000024708
pan_troglodytes ENSPTRG00000010695
pan_paniscus ENSPPAG00000034079
gorilla_gorilla ENSGGOG00000012247
homo_sapiens ENSG00000216490
nomascus_leucogenys ENSNLEG00000005937
rhinopithecus_bieti ENSRBIG00000041792
rhinopithecus_roxellana ENSRROG00000034013
colobus_angolensis_palliatus ENSCANG00000016204
piliocolobus_tephrosceles ENSPTEG00000030523
macaca_fascicularis ENSMFAG00000034585
macaca_mulatta ENSMMUG00000047873
macaca_nemestrina ENSMNEG00000031440
mandrillus_leucophaeus ENSMLEG00000042593
cercocebus_atys ENSCATG00000030819
papio_anubis ENSPANG00000034060
theropithecus_gelada ENSTGEG00000013810
chlorocebus_sabaeus ENSCSAG00000005389
cebus_capucinus ENSCCAG00000000030
saimiri_boliviensis_boliviensis ENSSBOG00000023021
callithrix_jacchus ENSCJAG00000014094
aotus_nancymaae ENSANAG00000032341
propithecus_coquereli ENSPCOG00000015786
prolemur_simus ENSPSMG00000025464
tupaia_belangeri ENSTBEG00000009787
mus_spicilegus ENSMSIG00000032077
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032283
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031165
mus_pahari MGP_PahariEiJ_G0021630
rattus_norvegicus ENSRNOG00000019387
meriones_unguiculatus ENSMUGG00000014009
cricetulus_griseus_chok1gshd ENSCGRG00001020539
cricetulus_griseus_crigri-picr ENSCGRG00015001288
cricetulus_griseus_crigri ENSCGRG00000014259
mesocricetus_auratus ENSMAUG00000016704
microtus_ochrogaster ENSMOCG00000001163
peromyscus_maniculatus_bairdii ENSPEMG00000016976
nannospalax_galili ENSNGAG00000022275
jaculus_jaculus ENSJJAG00000015896
ictidomys_tridecemlineatus ENSSTOG00000001939
urocitellus_parryii ENSUPAG00010018797
spermophilus_dauricus ENSSDAG00000009972
marmota_marmota_marmota ENSMMMG00000001207
chinchilla_lanigera ENSCLAG00000016108
octodon_degus ENSODEG00000014388
cavia_porcellus ENSCPOG00000005553
cavia_aperea ENSCAPG00000004341
heterocephalus_glaber_female ENSHGLG00000001756
heterocephalus_glaber_male ENSHGLG00100008164
fukomys_damarensis ENSFDAG00000009872
castor_canadensis ENSCCNG00000016191
dasypus_novemcinctus ENSDNOG00000043957
loxodonta_africana ENSLAFG00000013615
procavia_capensis ENSPCAG00000009203
echinops_telfairi ENSETEG00000013838
ornithorhynchus_anatinus ENSOANG00000001305
xenopus_tropicalis ENSXETG00000025512
latimeria_chalumnae ENSLACG00000011738
ictalurus_punctatus ENSIPUG00000008264
ictalurus_punctatus ENSIPUG00000008279
astyanax_mexicanus ENSAMXG00000035673
amphilophus_citrinellus ENSACIG00000020300
drosophila_melanogaster FBgn0085638
caenorhabditis_elegans_strain_n2 WBGene00015336
