meleagris_gallopavo ENSMGAG00000011489
calidris_pugnax ENSCPUG00000016233
apteryx_owenii ENSAOWG00000009476
crocodylus_porosus ENSCPRG00005018384
gopherus_agassizii ENSGAGG00000005528
chelonoidis_abingdonii ENSCABG00000013425
chrysemys_picta_bellii ENSCPBG00000006945
pelodiscus_sinensis ENSPSIG00000018169
sphenodon_punctatus ENSSPUG00000018358
phascolarctos_cinereus ENSPCIG00000012881
monodelphis_domestica ENSMODG00000007152
fukomys_damarensis ENSFDAG00000000551
chinchilla_lanigera ENSCLAG00000002142
ictidomys_tridecemlineatus ENSSTOG00000032334
rattus_norvegicus ENSRNOG00000028991
meriones_unguiculatus ENSMUGG00000022133
cricetulus_griseus_crigri ENSCGRG00000017975
jaculus_jaculus ENSJJAG00000022218
pongo_abelii ENSPPYG00000018667
chlorocebus_sabaeus ENSCSAG00000018555
carlito_syrichta ENSTSYG00000014453
ursus_maritimus ENSUMAG00000018872
ursus_americanus ENSUAMG00000027793
mustela_putorius_furo ENSMPUG00000010325
vulpes_vulpes ENSVVUG00000019137
canis_lupus_dingo ENSCAFG00020017773
myotis_lucifugus ENSMLUG00000030767
capra_hircus ENSCHIG00000023691
ovis_aries ENSOARG00000014544
sus_scrofa ENSSSCG00000006185
equus_caballus ENSECAG00000016407
equus_asinus_asinus ENSEASG00005020147
dasypus_novemcinctus ENSDNOG00000004977
xenopus_tropicalis ENSXETG00000011820
latimeria_chalumnae ENSLACG00000007676
ornithorhynchus_anatinus ENSOANG00000032238
cynoglossus_semilaevis ENSCSEG00000002507
ciona_intestinalis ENSCING00000021225
