xiphophorus_maculatus ENSXMAG00000025014
xiphophorus_couchianus ENSXCOG00000009454
gambusia_affinis ENSGAFG00000009433
poecilia_formosa ENSPFOG00000001871
poecilia_latipinna ENSPLAG00000014289
poecilia_mexicana ENSPMEG00000020956
poecilia_reticulata ENSPREG00000019424
cyprinodon_variegatus ENSCVAG00000015657
fundulus_heteroclitus ENSFHEG00000007134
kryptolebias_marmoratus ENSKMAG00000019551
oryzias_latipes ENSORLG00020005059
oryzias_latipes ENSORLG00000016204
oryzias_latipes ENSORLG00015001078
oryzias_melastigma ENSOMEG00000015299
gouania_willdenowi ENSGWIG00000003531
gouania_willdenowi ENSGWIG00000003792
periophthalmus_magnuspinnatus ENSPMGG00000016201
gasterosteus_aculeatus ENSGACG00000004453
maylandia_zebra ENSMZEG00005022752
pundamilia_nyererei ENSPNYG00000021251
astatotilapia_calliptera ENSACLG00000008500
haplochromis_burtoni ENSHBUG00000011405
neolamprologus_brichardi ENSNBRG00000017284
oreochromis_niloticus ENSONIG00000001306
amphilophus_citrinellus ENSACIG00000022218
parambassis_ranga ENSPRNG00000005140
mola_mola ENSMMOG00000015230
hippocampus_comes ENSHCOG00000004037
scophthalmus_maximus ENSSMAG00000003079
cynoglossus_semilaevis ENSCSEG00000010600
cottoperca_gobio ENSCGOG00000003948
labrus_bergylta ENSLBEG00000021971
larimichthys_crocea ENSLCRG00005020703
seriola_lalandi ENSSLDG00000019915
seriola_dumerili ENSSDUG00000008025
lates_calcarifer ENSLCAG00010005523
monopterus_albus ENSMALG00000018645
mastacembelus_armatus ENSMAMG00000006887
anabas_testudineus ENSATEG00000015842
betta_splendens ENSBSLG00000010588
amphiprion_ocellaris ENSAOCG00000000695
amphiprion_percula ENSAPEG00000014157
acanthochromis_polyacanthus ENSAPOG00000003367
stegastes_partitus ENSSPAG00000020436
tetraodon_nigroviridis ENSTNIG00000019170
takifugu_rubripes ENSTRUG00000024378
gadus_morhua ENSGMOG00000014626
hucho_hucho ENSHHUG00000010793
astyanax_mexicanus ENSAMXG00000009746
astyanax_mexicanus ENSAMXG00005014505
pygocentrus_nattereri ENSPNAG00000029063
ictalurus_punctatus ENSIPUG00000008116
electrophorus_electricus ENSEEEG00000005417
danio_rerio ENSDARG00000042000
clupea_harengus ENSCHAG00000015391
paramormyrops_kingsleyae ENSPKIG00000021912
scleropages_formosus ENSSFOG00015001614
lepisosteus_oculatus ENSLOCG00000015970
