xiphophorus_couchianus ENSXCOG00000016251
poecilia_latipinna ENSPLAG00000013236
gambusia_affinis ENSGAFG00000007753
haplochromis_burtoni ENSHBUG00000014949
marmota_marmota_marmota ENSMMMG00000009599
meriones_unguiculatus ENSMUGG00000011308
otolemur_garnettii ENSOGAG00000029845
otolemur_garnettii ENSOGAG00000025009
prolemur_simus ENSPSMG00000004214
piliocolobus_tephrosceles ENSPTEG00000037000
cebus_capucinus ENSCCAG00000030032
canis_lupus_dingo ENSCAFG00020003964
vulpes_vulpes ENSVVUG00000001177
phascolarctos_cinereus ENSPCIG00000027060
