nothoprocta_perdicaria ENSNPEG00000014535
dromaius_novaehollandiae ENSDNVG00000005330
apteryx_rowi ENSARWG00000017948
gallus_gallus ENSGALG00000035199
meleagris_gallopavo ENSMGAG00000012316
coturnix_japonica ENSCJPG00005001739
numida_meleagris ENSNMEG00000004699
anas_platyrhynchos ENSAPLG00000001670
crocodylus_porosus ENSCPRG00005005123
gopherus_agassizii ENSGAGG00000016969
chelonoidis_abingdonii ENSCABG00000012476
pogona_vitticeps ENSPVIG00000007026
anolis_carolinensis ENSACAG00000009176
notechis_scutatus ENSNSUG00000012423
salvator_merianae ENSSMRG00000021144
sphenodon_punctatus ENSSPUG00000009019
phascolarctos_cinereus ENSPCIG00000029967
vombatus_ursinus ENSVURG00010007216
notamacropus_eugenii ENSMEUG00000013443
sarcophilus_harrisii ENSSHAG00000018131
monodelphis_domestica ENSMODG00000005901
loxodonta_africana ENSLAFG00000006099
echinops_telfairi ENSETEG00000004222
pongo_abelii ENSPPYG00000018799
homo_sapiens ENSG00000155087
pan_paniscus ENSPPAG00000038012
pan_troglodytes ENSPTRG00000020483
gorilla_gorilla ENSGGOG00000023400
rhinopithecus_roxellana ENSRROG00000041584
rhinopithecus_bieti ENSRBIG00000044212
colobus_angolensis ENSCANG00000036118
piliocolobus_tephrosceles ENSPTEG00000007358
theropithecus_gelada ENSTGEG00000004049
papio_anubis ENSPANG00000005633
macaca_nemestrina ENSMNEG00000040981
macaca_mulatta ENSMMUG00000002108
macaca_fascicularis ENSMFAG00000033541
chlorocebus_sabaeus ENSCSAG00000011938
cercocebus_atys ENSCATG00000040837
mandrillus_leucophaeus ENSMLEG00000033052
nomascus_leucogenys ENSNLEG00000003644
saimiri_boliviensis ENSSBOG00000021534
cebus_capucinus ENSCCAG00000035817
callithrix_jacchus ENSCJAG00000016066
aotus_nancymaae ENSANAG00000029676
tupaia_belangeri ENSTBEG00000016462
sus_scrofa ENSSSCG00000006056
tursiops_truncatus ENSTTRG00000000382
bos_indicus ENSBIXG00000000562
bos_indicus ENSBIXG00005012795
bos_taurus ENSBTAG00000003445
bos_mutus ENSBMUG00000026076
bison_bison ENSBBBG00000009052
ovis_aries ENSOARG00000017172
capra_hircus ENSCHIG00000024723
equus_asinus ENSEASG00005001414
equus_caballus ENSECAG00000028435
ursus_americanus ENSUAMG00000012487
ursus_maritimus ENSUMAG00000019739
ailuropoda_melanoleuca ENSAMEG00000014784
neovison_vison ENSNVIG00000001125
mustela_putorius ENSMPUG00000015134
canis_lupus ENSCAFG00000030644
canis_lupus ENSCAFG00020002923
vulpes_vulpes ENSVVUG00000016754
panthera_tigris ENSPTIG00000016572
panthera_pardus ENSPPRG00000001703
felis_catus ENSFCAG00000042534
pteropus_vampyrus ENSPVAG00000013270
erinaceus_europaeus ENSEEUG00000006549
prolemur_simus ENSPSMG00000013746
microcebus_murinus ENSMICG00000005796
propithecus_coquereli ENSPCOG00000024654
otolemur_garnettii ENSOGAG00000014525
carlito_syrichta ENSTSYG00000012718
mesocricetus_auratus ENSMAUG00000009381
cricetulus_griseus ENSCGRG00015027309
peromyscus_maniculatus ENSPEMG00000023346
microtus_ochrogaster ENSMOCG00000003072
mus_musculus ENSMUSG00000061923
mus_spicilegus ENSMSIG00000029624
mus_spretus MGP_SPRETEiJ_G0020646
mus_caroli MGP_CAROLIEiJ_G0019749
mus_pahari MGP_PahariEiJ_G0019758
rattus_norvegicus ENSRNOG00000006578
meriones_unguiculatus ENSMUGG00000002223
cricetulus_griseus ENSCGRG00001015547
cricetulus_griseus ENSCGRG00000003030
cricetulus_griseus ENSCGRG00015027300
cricetulus_griseus ENSCGRG00015027305
nannospalax_galili ENSNGAG00000000538
urocitellus_parryii ENSUPAG00010012459
ictidomys_tridecemlineatus ENSSTOG00000029127
spermophilus_dauricus ENSSDAG00000002372
marmota_marmota ENSMMMG00000016389
castor_canadensis ENSCCNG00000026836
dipodomys_ordii ENSDORG00000003568
heterocephalus_glaber ENSHGLG00000004499
heterocephalus_glaber ENSHGLG00100004322
chinchilla_lanigera ENSCLAG00000009658
octodon_degus ENSODEG00000001029
fukomys_damarensis ENSFDAG00000004268
cavia_aperea ENSCAPG00000015720
cavia_porcellus ENSCPOG00000012742
jaculus_jaculus ENSJJAG00000004566
sorex_araneus ENSSARG00000008495
oryctolagus_cuniculus ENSOCUG00000017222
ochotona_princeps ENSOPRG00000013350
myotis_lucifugus ENSMLUG00000011639
procavia_capensis ENSPCAG00000006309
ciona_intestinalis ENSCING00000020187
