taeniopygia_guttata ENSTGUG00000004460
lonchura_striata_domestica ENSLSDG00000004546
serinus_canaria ENSSCAG00000001580
parus_major ENSPMJG00000017693
cyanistes_caeruleus ENSCCEG00000012469
zonotrichia_albicollis ENSZALG00000013527
ficedula_albicollis ENSFALG00000003049
manacus_vitellinus ENSMVIG00005007715
calidris_pygmaea ENSCPGG00000000701
calidris_pugnax ENSCPUG00000006281
melopsittacus_undulatus ENSMUNG00000013511
numida_meleagris ENSNMEG00000010635
coturnix_japonica ENSCJPG00005007638
anas_platyrhynchos_platyrhynchos ENSAPLG00000007190
anser_brachyrhynchus ENSABRG00000011560
apteryx_haastii ENSAHAG00000003883
apteryx_owenii ENSAOWG00000008834
apteryx_rowi ENSARWG00000008109
dromaius_novaehollandiae ENSDNVG00000004485
nothoprocta_perdicaria ENSNPEG00000011699
crocodylus_porosus ENSCPRG00005000664
gopherus_agassizii ENSGAGG00000006758
chelonoidis_abingdonii ENSCABG00000021412
pelodiscus_sinensis ENSPSIG00000011372
pogona_vitticeps ENSPVIG00000006654
notamacropus_eugenii ENSMEUG00000015197
phascolarctos_cinereus ENSPCIG00000012532
monodelphis_domestica ENSMODG00000014850
sarcophilus_harrisii ENSSHAG00000005065
erinaceus_europaeus ENSEEUG00000015643
sorex_araneus ENSSARG00000000138
sus_scrofa ENSSSCG00000005177
vicugna_pacos ENSVPAG00000010283
capra_hircus ENSCHIG00000020328
ovis_aries ENSOARG00000014106
bos_mutus ENSBMUG00000023179
bos_taurus ENSBTAG00000014103
bison_bison_bison ENSBBBG00000018088
tursiops_truncatus ENSTTRG00000011299
equus_caballus ENSECAG00000009922
equus_asinus_asinus ENSEASG00005019277
ursus_maritimus ENSUMAG00000017265
ursus_americanus ENSUAMG00000003082
ailuropoda_melanoleuca ENSAMEG00000010823
neovison_vison ENSNVIG00000021266
mustela_putorius_furo ENSMPUG00000003993
canis_lupus_familiaris ENSCAFG00000001567
canis_lupus_dingo ENSCAFG00020012892
vulpes_vulpes ENSVVUG00000000404
panthera_pardus ENSPPRG00000014326
panthera_tigris_altaica ENSPTIG00000008377
felis_catus ENSFCAG00000004584
pteropus_vampyrus ENSPVAG00000016946
myotis_lucifugus ENSMLUG00000001222
meriones_unguiculatus ENSMUGG00000022944
choloepus_hoffmanni ENSCHOG00000001799
peromyscus_maniculatus_bairdii ENSPEMG00000010691
microtus_ochrogaster ENSMOCG00000022289
cricetulus_griseus_crigri ENSCGRG00000001246
cricetulus_griseus_chok1gshd ENSCGRG00001022450
cricetulus_griseus_crigri-picr ENSCGRG00015015448
mesocricetus_auratus ENSMAUG00000015086
mus_musculus ENSMUSG00000028488
mus_spicilegus ENSMSIG00000021744
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027093
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026128
mus_pahari MGP_PahariEiJ_G0028466
rattus_norvegicus ENSRNOG00000006761
nannospalax_galili ENSNGAG00000004166
jaculus_jaculus ENSJJAG00000017618
dipodomys_ordii ENSDORG00000000622
heterocephalus_glaber_female ENSHGLG00000012899
heterocephalus_glaber_male ENSHGLG00100009289
fukomys_damarensis ENSFDAG00000013868
octodon_degus ENSODEG00000014695
cavia_porcellus ENSCPOG00000015380
chinchilla_lanigera ENSCLAG00000012375
urocitellus_parryii ENSUPAG00010018638
spermophilus_dauricus ENSSDAG00000012880
marmota_marmota_marmota ENSMMMG00000006807
oryctolagus_cuniculus ENSOCUG00000001183
tupaia_belangeri ENSTBEG00000015852
pan_troglodytes ENSPTRG00000020792
pan_paniscus ENSPPAG00000020499
homo_sapiens ENSG00000107295
gorilla_gorilla ENSGGOG00000007684
nomascus_leucogenys ENSNLEG00000017566
piliocolobus_tephrosceles ENSPTEG00000011016
colobus_angolensis_palliatus ENSCANG00000035632
rhinopithecus_roxellana ENSRROG00000043603
rhinopithecus_bieti ENSRBIG00000027542
theropithecus_gelada ENSTGEG00000014578
cercocebus_atys ENSCATG00000004445
mandrillus_leucophaeus ENSMLEG00000034118
macaca_mulatta ENSMMUG00000011704
chlorocebus_sabaeus ENSCSAG00000009307
aotus_nancymaae ENSANAG00000033728
cebus_capucinus ENSCCAG00000033089
callithrix_jacchus ENSCJAG00000012694
saimiri_boliviensis_boliviensis ENSSBOG00000032645
macaca_nemestrina ENSMNEG00000032599
macaca_fascicularis ENSMFAG00000043791
papio_anubis ENSPANG00000025232
carlito_syrichta ENSTSYG00000013975
propithecus_coquereli ENSPCOG00000027654
