gopherus_agassizii ENSGAGG00000019796
chelonoidis_abingdonii ENSCABG00000021947
chrysemys_picta_bellii ENSCPBG00000013230
pelodiscus_sinensis ENSPSIG00000017298
apteryx_rowi ENSARWG00000016460
apteryx_haastii ENSAHAG00000010012
apteryx_owenii ENSAOWG00000012528
dromaius_novaehollandiae ENSDNVG00000018703
nothoprocta_perdicaria ENSNPEG00000008135
gallus_gallus ENSGALG00000011375
coturnix_japonica ENSCJPG00005013103
meleagris_gallopavo ENSMGAG00000011433
numida_meleagris ENSNMEG00000022897
anser_brachyrhynchus ENSABRG00000022147
anas_platyrhynchos_platyrhynchos ENSAPLG00000005028
parus_major ENSPMJG00000019738
cyanistes_caeruleus ENSCCEG00000024474
ficedula_albicollis ENSFALG00000004112
zonotrichia_albicollis ENSZALG00000015291
junco_hyemalis ENSJHYG00000012003
taeniopygia_guttata ENSTGUG00000005569
manacus_vitellinus ENSMVIG00005011688
lonchura_striata_domestica ENSLSDG00000013226
serinus_canaria ENSSCAG00000013063
manacus_vitellinus ENSMVIG00005011716
calidris_pygmaea ENSCPGG00000013319
calidris_pugnax ENSCPUG00000000900
melopsittacus_undulatus ENSMUNG00000013088
pogona_vitticeps ENSPVIG00000021418
anolis_carolinensis ENSACAG00000002824
notechis_scutatus ENSNSUG00000012135
salvator_merianae ENSSMRG00000011285
sphenodon_punctatus ENSSPUG00000012770
crocodylus_porosus ENSCPRG00005018898
loxodonta_africana ENSLAFG00000012317
procavia_capensis ENSPCAG00000011708
echinops_telfairi ENSETEG00000007361
dasypus_novemcinctus ENSDNOG00000020015
pteropus_vampyrus ENSPVAG00000017156
myotis_lucifugus ENSMLUG00000001521
capra_hircus ENSCHIG00000010384
ovis_aries ENSOARG00000019664
bos_mutus ENSBMUG00000025976
bos_taurus ENSBTAG00000003817
bison_bison_bison ENSBBBG00000001540
tursiops_truncatus ENSTTRG00000010815
sus_scrofa ENSSSCG00000016202
vicugna_pacos ENSVPAG00000012275
ursus_americanus ENSUAMG00000021212
ursus_maritimus ENSUMAG00000019502
ailuropoda_melanoleuca ENSAMEG00000002779
mustela_putorius_furo ENSMPUG00000016541
neovison_vison ENSNVIG00000022548
canis_lupus_familiaris ENSCAFG00000014887
canis_lupus_dingo ENSCAFG00020027049
vulpes_vulpes ENSVVUG00000002796
panthera_pardus ENSPPRG00000005371
panthera_tigris_altaica ENSPTIG00000020459
felis_catus ENSFCAG00000004155
equus_caballus ENSECAG00000009063
equus_asinus_asinus ENSEASG00005012269
erinaceus_europaeus ENSEEUG00000013290
sorex_araneus ENSSARG00000007847
saimiri_boliviensis_boliviensis ENSSBOG00000020870
cebus_capucinus ENSCCAG00000022960
callithrix_jacchus ENSCJAG00000011192
aotus_nancymaae ENSANAG00000029471
macaca_fascicularis ENSMFAG00000000075
macaca_nemestrina ENSMNEG00000039298
macaca_mulatta ENSMMUG00000006743
theropithecus_gelada ENSTGEG00000011203
papio_anubis ENSPANG00000020343
mandrillus_leucophaeus ENSMLEG00000030033
cercocebus_atys ENSCATG00000041945
chlorocebus_sabaeus ENSCSAG00000008769
piliocolobus_tephrosceles ENSPTEG00000039063
colobus_angolensis_palliatus ENSCANG00000023172
rhinopithecus_bieti ENSRBIG00000031654
rhinopithecus_roxellana ENSRROG00000041905
gorilla_gorilla ENSGGOG00000001901
homo_sapiens ENSG00000163481
pan_paniscus ENSPPAG00000027047
pan_troglodytes ENSPTRG00000012925
pongo_abelii ENSPPYG00000013180
nomascus_leucogenys ENSNLEG00000008812
carlito_syrichta ENSTSYG00000026260
microcebus_murinus ENSMICG00000005179
propithecus_coquereli ENSPCOG00000015285
prolemur_simus ENSPSMG00000024931
otolemur_garnettii ENSOGAG00000004184
tupaia_belangeri ENSTBEG00000012303
castor_canadensis ENSCCNG00000002259
dipodomys_ordii ENSDORG00000004710
cricetulus_griseus_chok1gshd ENSCGRG00001019945
cricetulus_griseus_crigri ENSCGRG00000010570
cricetulus_griseus_crigri-picr ENSCGRG00015003173
mesocricetus_auratus ENSMAUG00000019636
peromyscus_maniculatus_bairdii ENSPEMG00000013432
microtus_ochrogaster ENSMOCG00000020374
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015075
mus_musculus ENSMUSG00000026171
mus_spicilegus ENSMSIG00000019133
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014269
mus_pahari MGP_PahariEiJ_G0027507
rattus_norvegicus ENSRNOG00000016886
meriones_unguiculatus ENSMUGG00000003481
nannospalax_galili ENSNGAG00000023854
jaculus_jaculus ENSJJAG00000015098
urocitellus_parryii ENSUPAG00010012304
marmota_marmota_marmota ENSMMMG00000019685
ictidomys_tridecemlineatus ENSSTOG00000006486
spermophilus_dauricus ENSSDAG00000020360
cavia_porcellus ENSCPOG00000002546
cavia_aperea ENSCAPG00000009248
chinchilla_lanigera ENSCLAG00000012866
octodon_degus ENSODEG00000008204
heterocephalus_glaber_male ENSHGLG00100010997
heterocephalus_glaber_female ENSHGLG00000007383
fukomys_damarensis ENSFDAG00000009404
oryctolagus_cuniculus ENSOCUG00000020986
ochotona_princeps ENSOPRG00000006026
phascolarctos_cinereus ENSPCIG00000016131
notamacropus_eugenii ENSMEUG00000015698
sarcophilus_harrisii ENSSHAG00000015642
monodelphis_domestica ENSMODG00000015397
xenopus_tropicalis ENSXETG00000018815
latimeria_chalumnae ENSLACG00000006200
xiphophorus_maculatus ENSXMAG00000010583
xiphophorus_couchianus ENSXCOG00000018237
gambusia_affinis ENSGAFG00000004865
poecilia_formosa ENSPFOG00000018212
poecilia_latipinna ENSPLAG00000002922
poecilia_reticulata ENSPREG00000012693
poecilia_mexicana ENSPMEG00000023190
cyprinodon_variegatus ENSCVAG00000007375
fundulus_heteroclitus ENSFHEG00000008774
takifugu_rubripes ENSTRUG00000022509
tetraodon_nigroviridis ENSTNIG00000011298
scophthalmus_maximus ENSSMAG00000011827
cynoglossus_semilaevis ENSCSEG00000010034
gasterosteus_aculeatus ENSGACG00000014927
mola_mola ENSMMOG00000020147
oryzias_latipes ENSORLG00020000457
oryzias_latipes_asm223469v1 ENSORLG00015008279
oryzias_latipes ENSORLG00000001119
oryzias_melastigma ENSOMEG00000015780
amphiprion_ocellaris ENSAOCG00000016781
amphiprion_percula ENSAPEG00000006580
acanthochromis_polyacanthus ENSAPOG00000008353
stegastes_partitus ENSSPAG00000006218
pundamilia_nyererei ENSPNYG00000009551
haplochromis_burtoni ENSHBUG00000019014
astatotilapia_calliptera ENSACLG00000018943
maylandia_zebra ENSMZEG00005002270
neolamprologus_brichardi ENSNBRG00000008960
oreochromis_niloticus ENSONIG00000009450
amphilophus_citrinellus ENSACIG00000023363
labrus_bergylta ENSLBEG00000007464
mastacembelus_armatus ENSMAMG00000019280
monopterus_albus ENSMALG00000014665
