microcebus_murinus ENSMICG00000030939
prolemur_simus ENSPSMG00000007115
propithecus_coquereli ENSPCOG00000000714
otolemur_garnettii ENSOGAG00000024586
pan_paniscus ENSPPAG00000027213
pan_troglodytes ENSPTRG00000041973
homo_sapiens ENSG00000185101
gorilla_gorilla ENSGGOG00000016810
pongo_abelii ENSPPYG00000002864
nomascus_leucogenys ENSNLEG00000008262
piliocolobus_tephrosceles ENSPTEG00000020190
colobus_angolensis ENSCANG00000037908
rhinopithecus_roxellana ENSRROG00000038152
rhinopithecus_bieti ENSRBIG00000032466
macaca_nemestrina ENSMNEG00000031129
macaca_fascicularis ENSMFAG00000002673
chlorocebus_sabaeus ENSCSAG00000011063
macaca_mulatta ENSMMUG00000031293
papio_anubis ENSPANG00000030406
cercocebus_atys ENSCATG00000042519
mandrillus_leucophaeus ENSMLEG00000008526
theropithecus_gelada ENSTGEG00000022240
cebus_capucinus ENSCCAG00000024014
saimiri_boliviensis ENSSBOG00000033810
aotus_nancymaae ENSANAG00000028536
tupaia_belangeri ENSTBEG00000002546
cavia_porcellus ENSCPOG00000003690
cavia_aperea ENSCAPG00000011808
chinchilla_lanigera ENSCLAG00000003641
octodon_degus ENSODEG00000014087
heterocephalus_glaber ENSHGLG00000006001
heterocephalus_glaber ENSHGLG00100010615
fukomys_damarensis ENSFDAG00000015035
urocitellus_parryii ENSUPAG00010022908
ictidomys_tridecemlineatus ENSSTOG00000012514
spermophilus_dauricus ENSSDAG00000021208
marmota_marmota ENSMMMG00000007136
castor_canadensis ENSCCNG00000010929
dipodomys_ordii ENSDORG00000003014
mus_spretus MGP_SPRETEiJ_G0031789
mus_spicilegus ENSMSIG00000013917
mus_musculus ENSMUSG00000054662
mus_caroli MGP_CAROLIEiJ_G0030678
mus_pahari MGP_PahariEiJ_G0013877
rattus_norvegicus ENSRNOG00000015830
meriones_unguiculatus ENSMUGG00000012063
cricetulus_griseus ENSCGRG00000006171
cricetulus_griseus ENSCGRG00001020706
cricetulus_griseus ENSCGRG00015027552
mesocricetus_auratus ENSMAUG00000002777
peromyscus_maniculatus ENSPEMG00000017599
microtus_ochrogaster ENSMOCG00000019152
nannospalax_galili ENSNGAG00000010815
jaculus_jaculus ENSJJAG00000009650
ailuropoda_melanoleuca ENSAMEG00000010420
ursus_americanus ENSUAMG00000027420
mustela_putorius ENSMPUG00000008625
neovison_vison ENSNVIG00000005416
canis_lupus ENSCAFG00000006512
canis_lupus ENSCAFG00020007177
vulpes_vulpes ENSVVUG00000017061
felis_catus ENSFCAG00000007583
pteropus_vampyrus ENSPVAG00000014046
bos_indicus ENSBIXG00000008680
bos_indicus ENSBIXG00005028911
bos_taurus ENSBTAG00000054911
bos_mutus ENSBMUG00000006228
bison_bison ENSBBBG00000021671
capra_hircus ENSCHIG00000017332
ovis_aries ENSOARG00000007651
tursiops_truncatus ENSTTRG00000006050
sus_scrofa ENSSSCG00000024569
sorex_araneus ENSSARG00000006430
equus_asinus ENSEASG00005015264
equus_caballus ENSECAG00000022144
loxodonta_africana ENSLAFG00000012141
procavia_capensis ENSPCAG00000013825
echinops_telfairi ENSETEG00000018298
echinops_telfairi ENSETEG00000004311
dasypus_novemcinctus ENSDNOG00000045966
ochotona_princeps ENSOPRG00000010303
vombatus_ursinus ENSVURG00010004895
phascolarctos_cinereus ENSPCIG00000003944
notamacropus_eugenii ENSMEUG00000003834
sarcophilus_harrisii ENSSHAG00000007061
ornithorhynchus_anatinus ENSOANG00000020432
chelonoidis_abingdonii ENSCABG00000007303
gopherus_agassizii ENSGAGG00000012985
pelodiscus_sinensis ENSPSIG00000006203
anser_brachyrhynchus ENSABRG00000009990
anas_platyrhynchos ENSAPLG00000014147
