gopherus_agassizii ENSGAGG00000025554
chelonoidis_abingdonii ENSCABG00000017343
chrysemys_picta_bellii ENSCPBG00000022523
serinus_canaria ENSSCAG00000015122
lonchura_striata_domestica ENSLSDG00000000500
zonotrichia_albicollis ENSZALG00000011324
junco_hyemalis ENSJHYG00000006482
parus_major ENSPMJG00000002419
lepidothrix_coronata ENSLCOG00000005838
calidris_pugnax ENSCPUG00000010795
calidris_pygmaea ENSCPGG00000004579
melopsittacus_undulatus ENSMUNG00000007223
numida_meleagris ENSNMEG00000008050
coturnix_japonica ENSCJPG00005012557
anser_brachyrhynchus ENSABRG00000009970
anas_platyrhynchos_platyrhynchos ENSAPLG00000021266
apteryx_haastii ENSAHAG00000014280
crocodylus_porosus ENSCPRG00005000780
salvator_merianae ENSSMRG00000002559
pogona_vitticeps ENSPVIG00000015300
