pan_troglodytes ENSPTRG00000029765
pan_paniscus ENSPPAG00000033294
gorilla_gorilla ENSGGOG00000006846
homo_sapiens ENSG00000204544
pongo_abelii ENSPPYG00000016426
nomascus_leucogenys ENSNLEG00000005696
rhinopithecus_roxellana ENSRROG00000009141
colobus_angolensis ENSCANG00000043478
cercocebus_atys ENSCATG00000036484
papio_anubis ENSPANG00000031147
chlorocebus_sabaeus ENSCSAG00000008337
callithrix_jacchus ENSCJAG00000063800
cebus_capucinus ENSCCAG00000027965
carlito_syrichta ENSTSYG00000032043
propithecus_coquereli ENSPCOG00000014787
mus_musculus ENSMUSG00000090588
mus_spretus MGP_SPRETEiJ_G0022434
mus_caroli MGP_CAROLIEiJ_G0021527
neovison_vison ENSNVIG00000019053
mustela_putorius ENSMPUG00000011628
felis_catus ENSFCAG00000044274
pteropus_vampyrus ENSPVAG00000010670
bison_bison ENSBBBG00000015654
bos_mutus ENSBMUG00000007962
equus_caballus ENSECAG00000034681
monodelphis_domestica ENSMODG00000049223
