panthera_pardus ENSPPRG00000022108
panthera_tigris_altaica ENSPTIG00000007162
felis_catus ENSFCAG00000043031
sus_scrofa ENSSSCG00000033264
rhinopithecus_bieti ENSRBIG00000007352
rhinopithecus_roxellana ENSRROG00000027797
piliocolobus_tephrosceles ENSPTEG00000026779
macaca_mulatta ENSMMUG00000040781
macaca_fascicularis ENSMFAG00000030120
macaca_nemestrina ENSMNEG00000004109
papio_anubis ENSPANG00000031906
theropithecus_gelada ENSTGEG00000024784
mandrillus_leucophaeus ENSMLEG00000026826
cercocebus_atys ENSCATG00000032344
nomascus_leucogenys ENSNLEG00000035223
saimiri_boliviensis_boliviensis ENSSBOG00000020110
cebus_capucinus ENSCCAG00000021015
callithrix_jacchus ENSCJAG00000047496
aotus_nancymaae ENSANAG00000025231
gorilla_gorilla ENSGGOG00000040640
prolemur_simus ENSPSMG00000022345
