chrysemys_picta ENSCPBG00000018690
chelonoidis_abingdonii ENSCABG00000017532
parus_major ENSPMJG00000013762
cyanistes_caeruleus ENSCCEG00000002990
notechis_scutatus ENSNSUG00000002352
vombatus_ursinus ENSVURG00010023150
sarcophilus_harrisii ENSSHAG00000001371
ictalurus_punctatus ENSIPUG00000005177
electrophorus_electricus ENSEEEG00000017540
clupea_harengus ENSCHAG00000016056
denticeps_clupeoides ENSDCDG00000033316
hucho_hucho ENSHHUG00000029815
hucho_hucho ENSHHUG00000045036
esox_lucius ENSELUG00000020679
paramormyrops_kingsleyae ENSPKIG00000002176
lepisosteus_oculatus ENSLOCG00000017881
callorhinchus_milii ENSCMIG00000011748
eptatretus_burgeri ENSEBUG00000001916
