macaca_mulatta ENSMMUG00000012899
macaca_fascicularis ENSMFAG00000038986
macaca_nemestrina ENSMNEG00000032587
theropithecus_gelada ENSTGEG00000017499
papio_anubis ENSPANG00000010972
cercocebus_atys ENSCATG00000006222
chlorocebus_sabaeus ENSCSAG00000014776
mandrillus_leucophaeus ENSMLEG00000036563
piliocolobus_tephrosceles ENSPTEG00000005262
colobus_angolensis_palliatus ENSCANG00000039841
rhinopithecus_roxellana ENSRROG00000029153
rhinopithecus_bieti ENSRBIG00000027716
pan_troglodytes ENSPTRG00000021706
pan_paniscus ENSPPAG00000031177
homo_sapiens ENSG00000047634
gorilla_gorilla ENSGGOG00000003874
pongo_abelii ENSPPYG00000020162
nomascus_leucogenys ENSNLEG00000009621
cebus_capucinus ENSCCAG00000003357
saimiri_boliviensis_boliviensis ENSSBOG00000025279
callithrix_jacchus ENSCJAG00000004677
aotus_nancymaae ENSANAG00000021893
propithecus_coquereli ENSPCOG00000026466
