astatotilapia_calliptera ENSACLG00000000433
pundamilia_nyererei ENSPNYG00000016669
maylandia_zebra ENSMZEG00005006908
haplochromis_burtoni ENSHBUG00000023781
oreochromis_niloticus ENSONIG00000008883
neolamprologus_brichardi ENSNBRG00000019172
amphilophus_citrinellus ENSACIG00000011210
mastacembelus_armatus ENSMAMG00000009931
stegastes_partitus ENSSPAG00000015988
anabas_testudineus ENSATEG00000020724
hippocampus_comes ENSHCOG00000004950
takifugu_rubripes ENSTRUG00000018451
tetraodon_nigroviridis ENSTNIG00000018084
mola_mola ENSMMOG00000001828
gasterosteus_aculeatus ENSGACG00000006617
scophthalmus_maximus ENSSMAG00000020567
seriola_lalandi_dorsalis ENSSLDG00000001159
seriola_dumerili ENSSDUG00000014172
cynoglossus_semilaevis ENSCSEG00000018883
monopterus_albus ENSMALG00000016979
labrus_bergylta ENSLBEG00000013724
amphiprion_percula ENSAPEG00000012094
amphiprion_ocellaris ENSAOCG00000002986
acanthochromis_polyacanthus ENSAPOG00000003355
poecilia_latipinna ENSPLAG00000021457
poecilia_formosa ENSPFOG00000003747
poecilia_mexicana ENSPMEG00000011911
poecilia_reticulata ENSPREG00000021257
xiphophorus_maculatus ENSXMAG00000024170
gambusia_affinis ENSGAFG00000009832
cyprinodon_variegatus ENSCVAG00000004339
fundulus_heteroclitus ENSFHEG00000001616
kryptolebias_marmoratus ENSKMAG00000010592
oryzias_latipes_asm223469v1 ENSORLG00015005483
oryzias_latipes ENSORLG00020009414
oryzias_latipes ENSORLG00000010832
oryzias_melastigma ENSOMEG00000009063
periophthalmus_magnuspinnatus ENSPMGG00000010588
gadus_morhua ENSGMOG00000018753
pygocentrus_nattereri ENSPNAG00000008384
astyanax_mexicanus ENSAMXG00000031697
ictalurus_punctatus ENSIPUG00000002520
danio_rerio ENSDARG00000103134
scleropages_formosus ENSSFOG00015021776
paramormyrops_kingsleyae ENSPKIG00000001140
esox_lucius ENSELUG00000023125
lepisosteus_oculatus ENSLOCG00000005440
chelonoidis_abingdonii ENSCABG00000000299
gopherus_agassizii ENSGAGG00000017375
chrysemys_picta_bellii ENSCPBG00000000673
pelodiscus_sinensis ENSPSIG00000014776
crocodylus_porosus ENSCPRG00005016982
pogona_vitticeps ENSPVIG00000019116
anolis_carolinensis ENSACAG00000028799
notechis_scutatus ENSNSUG00000020040
salvator_merianae ENSSMRG00000017338
sphenodon_punctatus ENSSPUG00000016490
calidris_pugnax ENSCPUG00000003447
calidris_pygmaea ENSCPGG00000012474
melopsittacus_undulatus ENSMUNG00000004292
parus_major ENSPMJG00000019433
ficedula_albicollis ENSFALG00000006212
lonchura_striata_domestica ENSLSDG00000011376
junco_hyemalis ENSJHYG00000003332
lepidothrix_coronata ENSLCOG00000003826
gallus_gallus ENSGALG00000008670
coturnix_japonica ENSCJPG00005008317
numida_meleagris ENSNMEG00000021117
anser_brachyrhynchus ENSABRG00000018640
anas_platyrhynchos_platyrhynchos ENSAPLG00000029539
phascolarctos_cinereus ENSPCIG00000006660
monodelphis_domestica ENSMODG00000000302
microtus_ochrogaster ENSMOCG00000000971
peromyscus_maniculatus_bairdii ENSPEMG00000028265
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026669
mus_spicilegus ENSMSIG00000006989
mus_musculus ENSMUSG00000036873
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025716
mus_pahari MGP_PahariEiJ_G0027167
rattus_norvegicus ENSRNOG00000014857
cricetulus_griseus_chok1gshd ENSCGRG00001015888
cricetulus_griseus_crigri-picr ENSCGRG00015013413
cricetulus_griseus_crigri ENSCGRG00000004593
mesocricetus_auratus ENSMAUG00000019352
meriones_unguiculatus ENSMUGG00000020052
nannospalax_galili ENSNGAG00000014421
jaculus_jaculus ENSJJAG00000011597
dipodomys_ordii ENSDORG00000012509
carlito_syrichta ENSTSYG00000035862
ursus_americanus ENSUAMG00000019287
ursus_maritimus ENSUMAG00000002504
ailuropoda_melanoleuca ENSAMEG00000017259
neovison_vison ENSNVIG00000009606
canis_lupus_dingo ENSCAFG00020014126
canis_lupus_familiaris ENSCAFG00000029565
vulpes_vulpes ENSVVUG00000030094
panthera_tigris_altaica ENSPTIG00000015690
panthera_pardus ENSPPRG00000001522
felis_catus ENSFCAG00000035401
pteropus_vampyrus ENSPVAG00000002806
capra_hircus ENSCHIG00000009592
capra_hircus ENSCHIG00000026751
ovis_aries ENSOARG00000014278
bos_mutus ENSBMUG00000018196
bos_taurus ENSBTAG00000016326
bison_bison_bison ENSBBBG00000023979
tursiops_truncatus ENSTTRG00000001327
equus_caballus ENSECAG00000025029
equus_asinus_asinus ENSEASG00005014090
microcebus_murinus ENSMICG00000015748
prolemur_simus ENSPSMG00000021942
propithecus_coquereli ENSPCOG00000022149
otolemur_garnettii ENSOGAG00000008908
pongo_abelii ENSPPYG00000001195
octodon_degus ENSODEG00000003582
octodon_degus ENSODEG00000014826
cavia_porcellus ENSCPOG00000011795
heterocephalus_glaber_male ENSHGLG00100016869
heterocephalus_glaber_female ENSHGLG00000004452
fukomys_damarensis ENSFDAG00000006668
chinchilla_lanigera ENSCLAG00000003961
urocitellus_parryii ENSUPAG00010011740
ictidomys_tridecemlineatus ENSSTOG00000010698
spermophilus_dauricus ENSSDAG00000006465
spermophilus_dauricus ENSSDAG00000006470
urocitellus_parryii ENSUPAG00010013622
marmota_marmota_marmota ENSMMMG00000008832
pan_paniscus ENSPPAG00000033419
homo_sapiens ENSG00000162642
rhinopithecus_bieti ENSRBIG00000028719
rhinopithecus_roxellana ENSRROG00000042207
macaca_nemestrina ENSMNEG00000028075
macaca_mulatta ENSMMUG00000046906
papio_anubis ENSPANG00000023674
mandrillus_leucophaeus ENSMLEG00000033641
theropithecus_gelada ENSTGEG00000017689
chlorocebus_sabaeus ENSCSAG00000018502
gorilla_gorilla ENSGGOG00000027688
pan_troglodytes ENSPTRG00000000913
nomascus_leucogenys ENSNLEG00000010021
macaca_nemestrina ENSMNEG00000038949
macaca_fascicularis ENSMFAG00000035380
macaca_mulatta ENSMMUG00000010020
cercocebus_atys ENSCATG00000042900
theropithecus_gelada ENSTGEG00000020718
papio_anubis ENSPANG00000016435
mandrillus_leucophaeus ENSMLEG00000000077
colobus_angolensis_palliatus ENSCANG00000028181
saimiri_boliviensis_boliviensis ENSSBOG00000023463
cebus_capucinus ENSCCAG00000022391
callithrix_jacchus ENSCJAG00000007022
aotus_nancymaae ENSANAG00000019838
aotus_nancymaae ENSANAG00000022019
rhinopithecus_roxellana ENSRROG00000027907
piliocolobus_tephrosceles ENSPTEG00000030747
rhinopithecus_bieti ENSRBIG00000032729
chlorocebus_sabaeus ENSCSAG00000001426
erinaceus_europaeus ENSEEUG00000013639
erinaceus_europaeus ENSEEUG00000003599
mustela_putorius_furo ENSMPUG00000005524
castor_canadensis ENSCCNG00000014479
dasypus_novemcinctus ENSDNOG00000031696
choloepus_hoffmanni ENSCHOG00000012863
loxodonta_africana ENSLAFG00000007499
procavia_capensis ENSPCAG00000006794
echinops_telfairi ENSETEG00000005648
sus_scrofa ENSSSCG00000026772
sorex_araneus ENSSARG00000000256
oryctolagus_cuniculus ENSOCUG00000002803
ochotona_princeps ENSOPRG00000011332
xenopus_tropicalis ENSXETG00000003097
latimeria_chalumnae ENSLACG00000016954
