cricetulus_griseus_crigri ENSCGRG00000001726
cricetulus_griseus_chok1gshd ENSCGRG00001021714
peromyscus_maniculatus_bairdii ENSPEMG00000000099
peromyscus_maniculatus_bairdii ENSPEMG00000025494
mus_spicilegus ENSMSIG00000027110
mus_spicilegus ENSMSIG00000000634
mus_spicilegus ENSMSIG00000017941
meriones_unguiculatus ENSMUGG00000010817
meriones_unguiculatus ENSMUGG00000002187
jaculus_jaculus ENSJJAG00000012153
cavia_aperea ENSCAPG00000008216
pan_troglodytes ENSPTRG00000041745
pan_paniscus ENSPPAG00000037895
macaca_nemestrina ENSMNEG00000030665
mandrillus_leucophaeus ENSMLEG00000031115
rhinopithecus_roxellana ENSRROG00000041002
aotus_nancymaae ENSANAG00000037911
vicugna_pacos ENSVPAG00000000785
bos_mutus ENSBMUG00000003690
canis_lupus_familiaris ENSCAFG00000031535
ailuropoda_melanoleuca ENSAMEG00000020076
canis_lupus_dingo ENSCAFG00020016529
echinops_telfairi ENSETEG00000000025
ornithorhynchus_anatinus ENSOANG00000004689
zonotrichia_albicollis ENSZALG00000006255
cyanistes_caeruleus ENSCCEG00000004625
serinus_canaria ENSSCAG00000003830
lonchura_striata_domestica ENSLSDG00000009162
manacus_vitellinus ENSMVIG00005009957
meleagris_gallopavo ENSMGAG00000009652
nothoprocta_perdicaria ENSNPEG00000009267
notechis_scutatus ENSNSUG00000016268
pogona_vitticeps ENSPVIG00000021312
hippocampus_comes ENSHCOG00000016014
