larimichthys_crocea ENSLCRG00005003767
labrus_bergylta ENSLBEG00000009061
cottoperca_gobio ENSCGOG00000007818
gasterosteus_aculeatus ENSGACG00000018326
haplochromis_burtoni ENSHBUG00000019747
maylandia_zebra ENSMZEG00005008461
pundamilia_nyererei ENSPNYG00000003128
astatotilapia_calliptera ENSACLG00000019032
neolamprologus_brichardi ENSNBRG00000022987
amphilophus_citrinellus ENSACIG00000008017
amphiprion_percula ENSAPEG00000021002
amphiprion_ocellaris ENSAOCG00000021233
acanthochromis_polyacanthus ENSAPOG00000010819
stegastes_partitus ENSSPAG00000018493
monopterus_albus ENSMALG00000004565
mastacembelus_armatus ENSMAMG00000010885
anabas_testudineus ENSATEG00000020511
poecilia_formosa ENSPFOG00000003771
poecilia_mexicana ENSPMEG00000008788
poecilia_latipinna ENSPLAG00000010299
poecilia_reticulata ENSPREG00000000454
xiphophorus_couchianus ENSXCOG00000014351
xiphophorus_maculatus ENSXMAG00000025286
gambusia_affinis ENSGAFG00000011399
fundulus_heteroclitus ENSFHEG00000001740
cyprinodon_variegatus ENSCVAG00000019152
oryzias_latipes ENSORLG00000012551
oryzias_latipes ENSORLG00020004134
oryzias_latipes ENSORLG00015002652
oryzias_melastigma ENSOMEG00000011746
kryptolebias_marmoratus ENSKMAG00000020171
gouania_willdenowi ENSGWIG00000012748
parambassis_ranga ENSPRNG00000002944
tetraodon_nigroviridis ENSTNIG00000000723
takifugu_rubripes ENSTRUG00000024566
betta_splendens ENSBSLG00000000461
mola_mola ENSMMOG00000007713
seriola_dumerili ENSSDUG00000000957
seriola_lalandi ENSSLDG00000011518
scophthalmus_maximus ENSSMAG00000006186
lates_calcarifer ENSLCAG00010004025
hippocampus_comes ENSHCOG00000000435
periophthalmus_magnuspinnatus ENSPMGG00000016305
gadus_morhua ENSGMOG00000020010
