cynoglossus_semilaevis ENSCSEG00000013546
periophthalmus_magnuspinnatus ENSPMGG00000003275
mastacembelus_armatus ENSMAMG00000007275
anabas_testudineus ENSATEG00000016571
labrus_bergylta ENSLBEG00000002215
monopterus_albus ENSMALG00000021814
mola_mola ENSMMOG00000010491
amphiprion_ocellaris ENSAOCG00000005675
amphiprion_percula ENSAPEG00000017890
acanthochromis_polyacanthus ENSAPOG00000024439
stegastes_partitus ENSSPAG00000005710
acanthochromis_polyacanthus ENSAPOG00000007795
haplochromis_burtoni ENSHBUG00000000845
haplochromis_burtoni ENSHBUG00000020385
astatotilapia_calliptera ENSACLG00000003843
maylandia_zebra ENSMZEG00005000472
astatotilapia_calliptera ENSACLG00000003855
neolamprologus_brichardi ENSNBRG00000021165
amphilophus_citrinellus ENSACIG00000015694
scophthalmus_maximus ENSSMAG00000003960
scophthalmus_maximus ENSSMAG00000003909
seriola_lalandi_dorsalis ENSSLDG00000017989
seriola_dumerili ENSSDUG00000014588
hippocampus_comes ENSHCOG00000001722
esox_lucius ENSELUG00000000199
lepisosteus_oculatus ENSLOCG00000006861
