tetraodon_nigroviridis ENSTNIG00000003524
takifugu_rubripes ENSTRUG00000017495
labrus_bergylta ENSLBEG00000001501
gasterosteus_aculeatus ENSGACG00000003432
poecilia_latipinna ENSPLAG00000012249
poecilia_reticulata ENSPREG00000013415
poecilia_formosa ENSPFOG00000006860
poecilia_mexicana ENSPMEG00000005700
xiphophorus_couchianus ENSXCOG00000008638
xiphophorus_maculatus ENSXMAG00000003974
gambusia_affinis ENSGAFG00000015051
cyprinodon_variegatus ENSCVAG00000021931
fundulus_heteroclitus ENSFHEG00000011677
kryptolebias_marmoratus ENSKMAG00000011238
amphiprion_ocellaris ENSAOCG00000012451
amphiprion_percula ENSAPEG00000015027
acanthochromis_polyacanthus ENSAPOG00000016823
stegastes_partitus ENSSPAG00000000815
maylandia_zebra ENSMZEG00005018507
astatotilapia_calliptera ENSACLG00000019521
pundamilia_nyererei ENSPNYG00000005177
haplochromis_burtoni ENSHBUG00000006449
neolamprologus_brichardi ENSNBRG00000011007
oreochromis_niloticus ENSONIG00000020227
amphilophus_citrinellus ENSACIG00000011934
monopterus_albus ENSMALG00000005910
mastacembelus_armatus ENSMAMG00000018696
anabas_testudineus ENSATEG00000009489
hippocampus_comes ENSHCOG00000001834
seriola_lalandi_dorsalis ENSSLDG00000009011
seriola_dumerili ENSSDUG00000010245
scophthalmus_maximus ENSSMAG00000018684
periophthalmus_magnuspinnatus ENSPMGG00000020032
gadus_morhua ENSGMOG00000006296
esox_lucius ENSELUG00000002082
astyanax_mexicanus ENSAMXG00000042469
pygocentrus_nattereri ENSPNAG00000022793
ictalurus_punctatus ENSIPUG00000006110
danio_rerio ENSDARG00000102778
paramormyrops_kingsleyae ENSPKIG00000024947
scleropages_formosus ENSSFOG00015012686
lepisosteus_oculatus ENSLOCG00000014874
