xenopus_tropicalis ENSXETG00000027109
anolis_carolinensis ENSACAG00000002360
poecilia_formosa ENSPFOG00000002137
poecilia_mexicana ENSPMEG00000010567
poecilia_latipinna ENSPLAG00000017363
poecilia_reticulata ENSPREG00000012775
xiphophorus_couchianus ENSXCOG00000020562
fundulus_heteroclitus ENSFHEG00000018345
oryzias_latipes ENSORLG00020013602
oryzias_latipes ENSORLG00000006454
neolamprologus_brichardi ENSNBRG00000015409
neolamprologus_brichardi ENSNBRG00000015398
astatotilapia_calliptera ENSACLG00000005081
astatotilapia_calliptera ENSACLG00000010786
pundamilia_nyererei ENSPNYG00000000821
oreochromis_niloticus ENSONIG00000001939
amphiprion_ocellaris ENSAOCG00000022856
amphiprion_percula ENSAPEG00000015277
stegastes_partitus ENSSPAG00000020721
mola_mola ENSMMOG00000013382
tetraodon_nigroviridis ENSTNIG00000006739
labrus_bergylta ENSLBEG00000003729
seriola_dumerili ENSSDUG00000004743
seriola_lalandi_dorsalis ENSSLDG00000003732
gadus_morhua ENSGMOG00000011535
esox_lucius ENSELUG00000014141
danio_rerio ENSDARG00000053530
latimeria_chalumnae ENSLACG00000016491
eptatretus_burgeri ENSEBUG00000016582
ciona_intestinalis ENSCING00000012966
ciona_intestinalis ENSCING00000012965
ciona_savignyi ENSCSAVG00000009530
ciona_savignyi ENSCSAVG00000010883
ciona_intestinalis ENSCING00000024726
