pan_troglodytes ENSPTRG00000016157
pan_paniscus ENSPPAG00000030606
gorilla_gorilla ENSGGOG00000003356
homo_sapiens ENSG00000163739
pongo_abelii ENSPPYG00000014829
nomascus_leucogenys ENSNLEG00000007925
rhinopithecus_roxellana ENSRROG00000036512
rhinopithecus_bieti ENSRBIG00000036216
colobus_angolensis_palliatus ENSCANG00000035948
theropithecus_gelada ENSTGEG00000014603
papio_anubis ENSPANG00000029340
chlorocebus_sabaeus ENSCSAG00000004773
cercocebus_atys ENSCATG00000032400
mandrillus_leucophaeus ENSMLEG00000037051
macaca_mulatta ENSMMUG00000042117
macaca_nemestrina ENSMNEG00000031974
macaca_fascicularis ENSMFAG00000039628
piliocolobus_tephrosceles ENSPTEG00000013661
rhinopithecus_bieti ENSRBIG00000043409
rhinopithecus_bieti ENSRBIG00000033069
macaca_nemestrina ENSMNEG00000030086
callithrix_jacchus ENSCJAG00000044820
cebus_capucinus ENSCCAG00000021531
aotus_nancymaae ENSANAG00000027346
