stegastes_partitus ENSSPAG00000020917
acanthochromis_polyacanthus ENSAPOG00000018198
xiphophorus_couchianus ENSXCOG00000001288
cyprinodon_variegatus ENSCVAG00000022395
kryptolebias_marmoratus ENSKMAG00000000960
maylandia_zebra ENSMZEG00005014650
astatotilapia_calliptera ENSACLG00000003423
pundamilia_nyererei ENSPNYG00000012622
oreochromis_niloticus ENSONIG00000004665
amphilophus_citrinellus ENSACIG00000002485
periophthalmus_magnuspinnatus ENSPMGG00000010644
monopterus_albus ENSMALG00000014244
labrus_bergylta ENSLBEG00000005779
seriola_dumerili ENSSDUG00000007994
cynoglossus_semilaevis ENSCSEG00000016897
esox_lucius ENSELUG00000017316
astyanax_mexicanus ENSAMXG00000034265
pygocentrus_nattereri ENSPNAG00000003033
danio_rerio ENSDARG00000101367
scleropages_formosus ENSSFOG00015009821
