tursiops_truncatus ENSTTRG00000005799
ornithorhynchus_anatinus ENSOANG00000030917
loxodonta_africana ENSLAFG00000005805
procavia_capensis ENSPCAG00000009609
echinops_telfairi ENSETEG00000010301
choloepus_hoffmanni ENSCHOG00000005410
dasypus_novemcinctus ENSDNOG00000012181
sorex_araneus ENSSARG00000003702
prolemur_simus ENSPSMG00000016057
otolemur_garnettii ENSOGAG00000015062
dipodomys_ordii ENSDORG00000004810
tupaia_belangeri ENSTBEG00000002949
oryctolagus_cuniculus ENSOCUG00000009742
ochotona_princeps ENSOPRG00000000745
castor_canadensis ENSCCNG00000031051
gorilla_gorilla ENSGGOG00000008630
homo_sapiens ENSG00000074054
pongo_abelii ENSPPYG00000012776
nomascus_leucogenys ENSNLEG00000001007
piliocolobus_tephrosceles ENSPTEG00000025089
colobus_angolensis_palliatus ENSCANG00000036497
mandrillus_leucophaeus ENSMLEG00000044177
cercocebus_atys ENSCATG00000039063
macaca_fascicularis ENSMFAG00000032753
macaca_mulatta ENSMMUG00000007499
macaca_nemestrina ENSMNEG00000043626
theropithecus_gelada ENSTGEG00000000789
chlorocebus_sabaeus ENSCSAG00000016694
callithrix_jacchus ENSCJAG00000013398
aotus_nancymaae ENSANAG00000025292
heterocephalus_glaber_male ENSHGLG00100009716
rattus_norvegicus ENSRNOG00000002376
cebus_capucinus ENSCCAG00000036924
rhinopithecus_roxellana ENSRROG00000041335
rhinopithecus_bieti ENSRBIG00000041902
theropithecus_gelada ENSTGEG00000004701
papio_anubis ENSPANG00000006709
cebus_capucinus ENSCCAG00000035114
saimiri_boliviensis_boliviensis ENSSBOG00000035562
pan_troglodytes ENSPTRG00000012416
pan_paniscus ENSPPAG00000043102
carlito_syrichta ENSTSYG00000008285
propithecus_coquereli ENSPCOG00000021595
microcebus_murinus ENSMICG00000007186
myotis_lucifugus ENSMLUG00000013252
myotis_lucifugus ENSMLUG00000005981
pteropus_vampyrus ENSPVAG00000000258
ovis_aries ENSOARG00000013227
capra_hircus ENSCHIG00000022334
bos_mutus ENSBMUG00000002182
bos_taurus ENSBTAG00000019781
bison_bison_bison ENSBBBG00000014831
sus_scrofa ENSSSCG00000039157
erinaceus_europaeus ENSEEUG00000006540
neovison_vison ENSNVIG00000003542
mustela_putorius_furo ENSMPUG00000001042
canis_lupus_familiaris ENSCAFG00000004759
ailuropoda_melanoleuca ENSAMEG00000005084
panthera_tigris_altaica ENSPTIG00000011172
panthera_pardus ENSPPRG00000015636
felis_catus ENSFCAG00000012144
ursus_maritimus ENSUMAG00000008949
ursus_americanus ENSUAMG00000006759
canis_lupus_dingo ENSCAFG00020011811
vulpes_vulpes ENSVVUG00000018857
equus_caballus ENSECAG00000021391
equus_asinus_asinus ENSEASG00005014257
ornithorhynchus_anatinus ENSOANG00000007588
ornithorhynchus_anatinus ENSOANG00000007589
vicugna_pacos ENSVPAG00000000191
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015315
mus_spicilegus ENSMSIG00000009093
mus_musculus ENSMUSG00000064302
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014508
mus_pahari MGP_PahariEiJ_G0027744
meriones_unguiculatus ENSMUGG00000015454
peromyscus_maniculatus_bairdii ENSPEMG00000001550
microtus_ochrogaster ENSMOCG00000004583
cricetulus_griseus_crigri-picr ENSCGRG00015009416
cricetulus_griseus_crigri ENSCGRG00000010610
cricetulus_griseus_chok1gshd ENSCGRG00001010650
mesocricetus_auratus ENSMAUG00000021682
nannospalax_galili ENSNGAG00000012260
jaculus_jaculus ENSJJAG00000021160
ictidomys_tridecemlineatus ENSSTOG00000013087
urocitellus_parryii ENSUPAG00010018726
spermophilus_dauricus ENSSDAG00000006525
marmota_marmota_marmota ENSMMMG00000015185
heterocephalus_glaber_female ENSHGLG00000008239
fukomys_damarensis ENSFDAG00000000042
cavia_aperea ENSCAPG00000015658
heterocephalus_glaber_male ENSHGLG00100003556
cavia_porcellus ENSCPOG00000011527
chinchilla_lanigera ENSCLAG00000003845
octodon_degus ENSODEG00000007987
ursus_americanus ENSUAMG00000021625
equus_caballus ENSECAG00000038368
callithrix_jacchus ENSCJAG00000044797
taeniopygia_guttata ENSTGUG00000004469
taeniopygia_guttata ENSTGUG00000004468
chelonoidis_abingdonii ENSCABG00000017601
chelonoidis_abingdonii ENSCABG00000017608
gopherus_agassizii ENSGAGG00000015386
chrysemys_picta_bellii ENSCPBG00000013734
pelodiscus_sinensis ENSPSIG00000006115
crocodylus_porosus ENSCPRG00005001289
pogona_vitticeps ENSPVIG00000007630
anolis_carolinensis ENSACAG00000004445
notechis_scutatus ENSNSUG00000010461
salvator_merianae ENSSMRG00000011922
sphenodon_punctatus ENSSPUG00000017573
calidris_pygmaea ENSCPGG00000010932
calidris_pugnax ENSCPUG00000016987
melopsittacus_undulatus ENSMUNG00000003372
lepidothrix_coronata ENSLCOG00000002988
manacus_vitellinus ENSMVIG00005002726
lonchura_striata_domestica ENSLSDG00000004122
ficedula_albicollis ENSFALG00000013233
parus_major ENSPMJG00000019788
cyanistes_caeruleus ENSCCEG00000005804
serinus_canaria ENSSCAG00000011981
zonotrichia_albicollis ENSZALG00000005051
junco_hyemalis ENSJHYG00000013940
anas_platyrhynchos_platyrhynchos ENSAPLG00000002082
anser_brachyrhynchus ENSABRG00000001120
coturnix_japonica ENSCJPG00005002113
meleagris_gallopavo ENSMGAG00000011917
gallus_gallus ENSGALG00000011645
numida_meleagris ENSNMEG00000022986
apteryx_owenii ENSAOWG00000015112
apteryx_haastii ENSAHAG00000006433
apteryx_rowi ENSARWG00000000445
dromaius_novaehollandiae ENSDNVG00000016362
nothoprocta_perdicaria ENSNPEG00000011765
danio_rerio ENSDARG00000104358
xenopus_tropicalis ENSXETG00000000840
latimeria_chalumnae ENSLACG00000017825
astyanax_mexicanus ENSAMXG00000039342
poecilia_latipinna ENSPLAG00000017989
poecilia_mexicana ENSPMEG00000006250
xiphophorus_couchianus ENSXCOG00000016183
poecilia_mexicana ENSPMEG00000003784
poecilia_latipinna ENSPLAG00000019808
poecilia_formosa ENSPFOG00000000392
xiphophorus_maculatus ENSXMAG00000021252
xiphophorus_maculatus ENSXMAG00000026049
poecilia_mexicana ENSPMEG00000023612
poecilia_latipinna ENSPLAG00000008890
xiphophorus_maculatus ENSXMAG00000005216
xiphophorus_couchianus ENSXCOG00000002541
gambusia_affinis ENSGAFG00000020492
poecilia_reticulata ENSPREG00000008438
fundulus_heteroclitus ENSFHEG00000010040
cyprinodon_variegatus ENSCVAG00000018419
cyprinodon_variegatus ENSCVAG00000018460
fundulus_heteroclitus ENSFHEG00000015424
fundulus_heteroclitus ENSFHEG00000015488
fundulus_heteroclitus ENSFHEG00000015446
xiphophorus_couchianus ENSXCOG00000010023
kryptolebias_marmoratus ENSKMAG00000005800
oryzias_melastigma ENSOMEG00000018349
gasterosteus_aculeatus ENSGACG00000001550
gadus_morhua ENSGMOG00000003082
hippocampus_comes ENSHCOG00000007772
scophthalmus_maximus ENSSMAG00000001880
labrus_bergylta ENSLBEG00000027086
takifugu_rubripes ENSTRUG00000003681
tetraodon_nigroviridis ENSTNIG00000017830
mola_mola ENSMMOG00000019214
cynoglossus_semilaevis ENSCSEG00000015392
haplochromis_burtoni ENSHBUG00000001222
maylandia_zebra ENSMZEG00005012752
pundamilia_nyererei ENSPNYG00000016701
astatotilapia_calliptera ENSACLG00000022095
oreochromis_niloticus ENSONIG00000004450
neolamprologus_brichardi ENSNBRG00000020720
amphilophus_citrinellus ENSACIG00000024194
monopterus_albus ENSMALG00000008923
anabas_testudineus ENSATEG00000006024
amphiprion_ocellaris ENSAOCG00000022851
amphiprion_percula ENSAPEG00000023539
acanthochromis_polyacanthus ENSAPOG00000017666
stegastes_partitus ENSSPAG00000023412
seriola_dumerili ENSSDUG00000005734
seriola_lalandi_dorsalis ENSSLDG00000003234
mastacembelus_armatus ENSMAMG00000008838
periophthalmus_magnuspinnatus ENSPMGG00000016698
esox_lucius ENSELUG00000000283
pygocentrus_nattereri ENSPNAG00000018018
astyanax_mexicanus ENSAMXG00000003132
ictalurus_punctatus ENSIPUG00000023671
danio_rerio ENSDARG00000010280
takifugu_rubripes ENSTRUG00000023715
takifugu_rubripes ENSTRUG00000025203
scophthalmus_maximus ENSSMAG00000000057
tetraodon_nigroviridis ENSTNIG00000010252
mastacembelus_armatus ENSMAMG00000022535
gambusia_affinis ENSGAFG00000020429
gambusia_affinis ENSGAFG00000020435
poecilia_formosa ENSPFOG00000005373
poecilia_reticulata ENSPREG00000012726
poecilia_mexicana ENSPMEG00000023674
poecilia_latipinna ENSPLAG00000008947
hippocampus_comes ENSHCOG00000007502
labrus_bergylta ENSLBEG00000012601
mola_mola ENSMMOG00000002053
seriola_dumerili ENSSDUG00000002450
seriola_lalandi_dorsalis ENSSLDG00000014462
anabas_testudineus ENSATEG00000012593
monopterus_albus ENSMALG00000006292
astatotilapia_calliptera ENSACLG00000008415
pundamilia_nyererei ENSPNYG00000010317
maylandia_zebra ENSMZEG00005014093
haplochromis_burtoni ENSHBUG00000011633
neolamprologus_brichardi ENSNBRG00000020799
oreochromis_niloticus ENSONIG00000003624
amphilophus_citrinellus ENSACIG00000023570
periophthalmus_magnuspinnatus ENSPMGG00000021014
periophthalmus_magnuspinnatus ENSPMGG00000021009
xiphophorus_maculatus ENSXMAG00000000776
gasterosteus_aculeatus ENSGACG00000015503
oryzias_melastigma ENSOMEG00000017407
oryzias_melastigma ENSOMEG00000017369
oryzias_melastigma ENSOMEG00000017353
oryzias_latipes_asm223469v1 ENSORLG00015009536
oryzias_latipes ENSORLG00000001312
oryzias_latipes ENSORLG00020006017
gadus_morhua ENSGMOG00000007649
stegastes_partitus ENSSPAG00000020032
stegastes_partitus ENSSPAG00000020015
stegastes_partitus ENSSPAG00000020038
amphiprion_percula ENSAPEG00000006647
amphiprion_ocellaris ENSAOCG00000023958
acanthochromis_polyacanthus ENSAPOG00000021320
