mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016020
mus_spicilegus ENSMSIG00000000994
mus_musculus ENSMUSG00000075266
mus_spicilegus ENSMSIG00000029641
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015211
mus_pahari MGP_PahariEiJ_G0023833
rattus_norvegicus ENSRNOG00000042944
meriones_unguiculatus ENSMUGG00000011213
microtus_ochrogaster ENSMOCG00000018717
peromyscus_maniculatus_bairdii ENSPEMG00000030616
cricetulus_griseus_crigri ENSCGRG00000003280
cricetulus_griseus_chok1gshd ENSCGRG00001016293
cricetulus_griseus_crigri-picr ENSCGRG00015010733
mesocricetus_auratus ENSMAUG00000016190
nannospalax_galili ENSNGAG00000022348
jaculus_jaculus ENSJJAG00000018449
octodon_degus ENSODEG00000005769
cavia_porcellus ENSCPOG00000032077
heterocephalus_glaber_male ENSHGLG00100007453
heterocephalus_glaber_female ENSHGLG00000015758
fukomys_damarensis ENSFDAG00000003055
chinchilla_lanigera ENSCLAG00000007277
dipodomys_ordii ENSDORG00000007759
spermophilus_dauricus ENSSDAG00000024222
spermophilus_dauricus ENSSDAG00000023310
marmota_marmota_marmota ENSMMMG00000016677
urocitellus_parryii ENSUPAG00010020284
ictidomys_tridecemlineatus ENSSTOG00000019945
oryctolagus_cuniculus ENSOCUG00000027109
carlito_syrichta ENSTSYG00000029584
carlito_syrichta ENSTSYG00000007043
myotis_lucifugus ENSMLUG00000007013
sorex_araneus ENSSARG00000000602
ursus_maritimus ENSUMAG00000001176
ursus_americanus ENSUAMG00000023182
ailuropoda_melanoleuca ENSAMEG00000009491
mustela_putorius_furo ENSMPUG00000014600
neovison_vison ENSNVIG00000001595
panthera_pardus ENSPPRG00000010509
panthera_tigris_altaica ENSPTIG00000014593
felis_catus ENSFCAG00000026652
erinaceus_europaeus ENSEEUG00000007880
equus_caballus ENSECAG00000020174
equus_asinus_asinus ENSEASG00005009419
pteropus_vampyrus ENSPVAG00000001926
vicugna_pacos ENSVPAG00000010507
sus_scrofa ENSSSCG00000035700
bos_taurus ENSBTAG00000026704
bos_mutus ENSBMUG00000013522
bison_bison_bison ENSBBBG00000007969
capra_hircus ENSCHIG00000011430
ovis_aries ENSOARG00000007744
tursiops_truncatus ENSTTRG00000015066
prolemur_simus ENSPSMG00000004389
microcebus_murinus ENSMICG00000004516
propithecus_coquereli ENSPCOG00000024755
otolemur_garnettii ENSOGAG00000031133
gorilla_gorilla ENSGGOG00000011160
homo_sapiens ENSG00000203760
pan_troglodytes ENSPTRG00000044162
pan_paniscus ENSPPAG00000027985
pongo_abelii ENSPPYG00000016991
nomascus_leucogenys ENSNLEG00000028840
rhinopithecus_roxellana ENSRROG00000031899
rhinopithecus_bieti ENSRBIG00000032519
rhinopithecus_bieti ENSRBIG00000030525
theropithecus_gelada ENSTGEG00000007181
papio_anubis ENSPANG00000025130
rhinopithecus_roxellana ENSRROG00000004533
rhinopithecus_bieti ENSRBIG00000030828
rhinopithecus_roxellana ENSRROG00000025819
colobus_angolensis_palliatus ENSCANG00000035517
macaca_mulatta ENSMMUG00000029416
macaca_fascicularis ENSMFAG00000002060
macaca_nemestrina ENSMNEG00000031333
cercocebus_atys ENSCATG00000018542
chlorocebus_sabaeus ENSCSAG00000016342
mandrillus_leucophaeus ENSMLEG00000033575
piliocolobus_tephrosceles ENSPTEG00000013163
cebus_capucinus ENSCCAG00000035937
callithrix_jacchus ENSCJAG00000038479
saimiri_boliviensis_boliviensis ENSSBOG00000027071
aotus_nancymaae ENSANAG00000023729
loxodonta_africana ENSLAFG00000007940
procavia_capensis ENSPCAG00000014890
choloepus_hoffmanni ENSCHOG00000004235
dasypus_novemcinctus ENSDNOG00000040713
canis_lupus_dingo ENSCAFG00020021934
canis_lupus_familiaris ENSCAFG00000029836
vulpes_vulpes ENSVVUG00000000872
phascolarctos_cinereus ENSPCIG00000007600
notamacropus_eugenii ENSMEUG00000009401
junco_hyemalis ENSJHYG00000016456
zonotrichia_albicollis ENSZALG00000016135
cyanistes_caeruleus ENSCCEG00000015075
parus_major ENSPMJG00000013656
manacus_vitellinus ENSMVIG00005017797
lepidothrix_coronata ENSLCOG00000000063
taeniopygia_guttata ENSTGUG00000018362
lonchura_striata_domestica ENSLSDG00000015978
serinus_canaria ENSSCAG00000014110
ficedula_albicollis ENSFALG00000011504
melopsittacus_undulatus ENSMUNG00000000149
gallus_gallus ENSGALG00000027454
coturnix_japonica ENSCJPG00005009125
numida_meleagris ENSNMEG00000022093
calidris_pugnax ENSCPUG00000000759
calidris_pygmaea ENSCPGG00000012172
apteryx_rowi ENSARWG00000006097
apteryx_haastii ENSAHAG00000001528
apteryx_owenii ENSAOWG00000002695
dromaius_novaehollandiae ENSDNVG00000018169
nothoprocta_perdicaria ENSNPEG00000015536
anas_platyrhynchos_platyrhynchos ENSAPLG00000002178
anser_brachyrhynchus ENSABRG00000008183
crocodylus_porosus ENSCPRG00005005060
chelonoidis_abingdonii ENSCABG00000013217
gopherus_agassizii ENSGAGG00000003741
chrysemys_picta_bellii ENSCPBG00000018519
sphenodon_punctatus ENSSPUG00000003596
salvator_merianae ENSSMRG00000011811
