parus_major ENSPMJG00000016412
cyanistes_caeruleus ENSCCEG00000023010
zonotrichia_albicollis ENSZALG00000007587
lonchura_striata_domestica ENSLSDG00000011545
taeniopygia_guttata ENSTGUG00000010024
ficedula_albicollis ENSFALG00000014775
manacus_vitellinus ENSMVIG00005004059
calidris_pugnax ENSCPUG00000003031
calidris_pygmaea ENSCPGG00000010304
gallus_gallus ENSGALG00000052494
coturnix_japonica ENSCJPG00005018532
numida_meleagris ENSNMEG00000019261
anser_brachyrhynchus ENSABRG00000001914
apteryx_owenii ENSAOWG00000013583
apteryx_haastii ENSAHAG00000003248
apteryx_rowi ENSARWG00000005447
dromaius_novaehollandiae ENSDNVG00000003751
serinus_canaria ENSSCAG00000000138
crocodylus_porosus ENSCPRG00005003680
pelodiscus_sinensis ENSPSIG00000006474
ovis_aries ENSOARG00000007917
dasypus_novemcinctus ENSDNOG00000047891
