parus_major ENSPMJG00000014888
cyanistes_caeruleus ENSCCEG00000009403
ficedula_albicollis ENSFALG00000008139
serinus_canaria ENSSCAG00000013780
junco_hyemalis ENSJHYG00000016510
taeniopygia_guttata ENSTGUG00000012356
manacus_vitellinus ENSMVIG00005007371
lepidothrix_coronata ENSLCOG00000006748
melopsittacus_undulatus ENSMUNG00000013048
calidris_pygmaea ENSCPGG00000007329
calidris_pugnax ENSCPUG00000012846
lonchura_striata ENSLSDG00000013505
zonotrichia_albicollis ENSZALG00000000428
anas_platyrhynchos ENSAPLG00000005173
anser_brachyrhynchus ENSABRG00000004125
gallus_gallus ENSGALG00000016968
meleagris_gallopavo ENSMGAG00000014982
coturnix_japonica ENSCJPG00005019719
numida_meleagris ENSNMEG00000006850
apteryx_owenii ENSAOWG00000012477
apteryx_haastii ENSAHAG00000006493
apteryx_rowi ENSARWG00000016381
dromaius_novaehollandiae ENSDNVG00000013212
nothoprocta_perdicaria ENSNPEG00000006747
crocodylus_porosus ENSCPRG00005001471
gopherus_agassizii ENSGAGG00000000985
chelonoidis_abingdonii ENSCABG00000019595
chrysemys_picta ENSCPBG00000013530
pelodiscus_sinensis ENSPSIG00000007381
anolis_carolinensis ENSACAG00000006392
pogona_vitticeps ENSPVIG00000008374
notechis_scutatus ENSNSUG00000008454
salvator_merianae ENSSMRG00000022803
sphenodon_punctatus ENSSPUG00000016103
erinaceus_europaeus ENSEEUG00000011795
sorex_araneus ENSSARG00000005863
vicugna_pacos ENSVPAG00000005259
sus_scrofa ENSSSCG00000009426
bos_mutus ENSBMUG00000007806
bos_taurus ENSBTAG00000034753
bison_bison ENSBBBG00000023682
capra_hircus ENSCHIG00000005141
ovis_aries ENSOARG00000007486
tursiops_truncatus ENSTTRG00000015953
ursus_maritimus ENSUMAG00000016081
ursus_americanus ENSUAMG00000001373
ailuropoda_melanoleuca ENSAMEG00000012979
neovison_vison ENSNVIG00000001005
mustela_putorius ENSMPUG00000001686
canis_lupus ENSCAFG00000004607
canis_lupus ENSCAFG00020018762
vulpes_vulpes ENSVVUG00000028479
panthera_pardus ENSPPRG00000014639
panthera_tigris ENSPTIG00000015450
felis_catus ENSFCAG00000025660
equus_caballus ENSECAG00000020440
equus_asinus ENSEASG00005017023
myotis_lucifugus ENSMLUG00000009121
cricetulus_griseus ENSCGRG00015002809
cricetulus_griseus ENSCGRG00000011070
cricetulus_griseus ENSCGRG00001006861
mesocricetus_auratus ENSMAUG00000013996
peromyscus_maniculatus ENSPEMG00000013832
mus_spicilegus ENSMSIG00000021826
mus_spretus MGP_SPRETEiJ_G0020422
mus_musculus ENSMUSG00000034795
mus_caroli MGP_CAROLIEiJ_G0019526
mus_pahari MGP_PahariEiJ_G0030544
rattus_norvegicus ENSRNOG00000042404
nannospalax_galili ENSNGAG00000022365
jaculus_jaculus ENSJJAG00000021044
chinchilla_lanigera ENSCLAG00000001565
octodon_degus ENSODEG00000005141
cavia_porcellus ENSCPOG00000003514
heterocephalus_glaber ENSHGLG00100000935
heterocephalus_glaber ENSHGLG00000016595
fukomys_damarensis ENSFDAG00000011261
dipodomys_ordii ENSDORG00000015236
marmota_marmota ENSMMMG00000023465
ictidomys_tridecemlineatus ENSSTOG00000031098
ictidomys_tridecemlineatus ENSSTOG00000001840
oryctolagus_cuniculus ENSOCUG00000015938
tupaia_belangeri ENSTBEG00000002292
papio_anubis ENSPANG00000021626
theropithecus_gelada ENSTGEG00000001703
mandrillus_leucophaeus ENSMLEG00000034489
cercocebus_atys ENSCATG00000017564
macaca_nemestrina ENSMNEG00000039888
macaca_mulatta ENSMMUG00000007070
macaca_fascicularis ENSMFAG00000032197
chlorocebus_sabaeus ENSCSAG00000017787
rhinopithecus_roxellana ENSRROG00000044730
rhinopithecus_bieti ENSRBIG00000032610
colobus_angolensis ENSCANG00000040048
piliocolobus_tephrosceles ENSPTEG00000027022
homo_sapiens ENSG00000151773
cebus_capucinus ENSCCAG00000031193
saimiri_boliviensis ENSSBOG00000024643
callithrix_jacchus ENSCJAG00000017551
aotus_nancymaae ENSANAG00000017897
carlito_syrichta ENSTSYG00000011601
microcebus_murinus ENSMICG00000028774
propithecus_coquereli ENSPCOG00000009651
prolemur_simus ENSPSMG00000018488
otolemur_garnettii ENSOGAG00000011706
spermophilus_dauricus ENSSDAG00000008208
castor_canadensis ENSCCNG00000004011
pan_troglodytes ENSPTRG00000005833
pan_paniscus ENSPPAG00000040435
gorilla_gorilla ENSGGOG00000026396
pongo_abelii ENSPPYG00000005326
nomascus_leucogenys ENSNLEG00000001927
dasypus_novemcinctus ENSDNOG00000001686
choloepus_hoffmanni ENSCHOG00000002592
loxodonta_africana ENSLAFG00000008407
echinops_telfairi ENSETEG00000015524
phascolarctos_cinereus ENSPCIG00000015014
notamacropus_eugenii ENSMEUG00000011404
sarcophilus_harrisii ENSSHAG00000015520
monodelphis_domestica ENSMODG00000014889
ornithorhynchus_anatinus ENSOANG00000003797
ornithorhynchus_anatinus ENSOANG00000030912
ornithorhynchus_anatinus ENSOANG00000030301
xenopus_tropicalis ENSXETG00000014774
latimeria_chalumnae ENSLACG00000008677
oreochromis_niloticus ENSONIG00000012478
xiphophorus_maculatus ENSXMAG00000009852
monopterus_albus ENSMALG00000013288
cynoglossus_semilaevis ENSCSEG00000005664
esox_lucius ENSELUG00000006570
astyanax_mexicanus ENSAMXG00000039133
lepisosteus_oculatus ENSLOCG00000005651
