astatotilapia_calliptera ENSACLG00000006249
maylandia_zebra ENSMZEG00005024267
pundamilia_nyererei ENSPNYG00000004002
haplochromis_burtoni ENSHBUG00000010333
neolamprologus_brichardi ENSNBRG00000015566
amphilophus_citrinellus ENSACIG00000016721
poecilia_latipinna ENSPLAG00000000728
poecilia_reticulata ENSPREG00000018526
poecilia_mexicana ENSPMEG00000017137
kryptolebias_marmoratus ENSKMAG00000018461
seriola_lalandi_dorsalis ENSSLDG00000007315
scophthalmus_maximus ENSSMAG00000011406
anabas_testudineus ENSATEG00000018180
mola_mola ENSMMOG00000019501
esox_lucius ENSELUG00000011496
