bison_bison_bison ENSBBBG00000023046
ursus_americanus ENSUAMG00000008707
peromyscus_maniculatus_bairdii ENSPEMG00000022768
peromyscus_maniculatus_bairdii ENSPEMG00000019448
cricetulus_griseus_crigri-picr ENSCGRG00015001889
mus_spicilegus ENSMSIG00000007260
castor_canadensis ENSCCNG00000016061
piliocolobus_tephrosceles ENSPTEG00000010071
piliocolobus_tephrosceles ENSPTEG00000010012
piliocolobus_tephrosceles ENSPTEG00000008478
piliocolobus_tephrosceles ENSPTEG00000008542
theropithecus_gelada ENSTGEG00000028093
pan_paniscus ENSPPAG00000035289
carlito_syrichta ENSTSYG00000029036
pan_paniscus ENSPPAG00000034490
pan_troglodytes ENSPTRG00000049556
gorilla_gorilla ENSGGOG00000040284
nomascus_leucogenys ENSNLEG00000035603
colobus_angolensis_palliatus ENSCANG00000042888
spermophilus_dauricus ENSSDAG00000012590
urocitellus_parryii ENSUPAG00010018849
phascolarctos_cinereus ENSPCIG00000018030
phascolarctos_cinereus ENSPCIG00000019202
phascolarctos_cinereus ENSPCIG00000005116
erinaceus_europaeus ENSEEUG00000014201
anas_platyrhynchos_platyrhynchos ENSAPLG00000030827
coturnix_japonica ENSCJPG00005001657
parus_major ENSPMJG00000004276
pogona_vitticeps ENSPVIG00000004859
cyanistes_caeruleus ENSCCEG00000019458
amphilophus_citrinellus ENSACIG00000006468
paramormyrops_kingsleyae ENSPKIG00000012002
