lepisosteus_oculatus ENSLOCG00000017330
astyanax_mexicanus ENSAMXG00005014194
erpetoichthys_calabaricus ENSECRG00000010175
chrysemys_picta ENSCPBG00000000793
chelonoidis_abingdonii ENSCABG00000004987
pelodiscus_sinensis ENSPSIG00000001429
parus_major ENSPMJG00000015131
homo_sapiens ENSG00000284976
piliocolobus_tephrosceles ENSPTEG00000023602
callithrix_jacchus ENSCJAG00000067861
prolemur_simus ENSPSMG00000006512
marmota_marmota ENSMMMG00000008639
mus_musculus ENSMUSG00000115018
felis_catus ENSFCAG00000049930
neovison_vison ENSNVIG00000009674
equus_caballus ENSECAG00000032048
phascolarctos_cinereus ENSPCIG00000032380
vombatus_ursinus ENSVURG00010006539
