ciona_intestinalis ENSCING00000024247
ciona_savignyi ENSCSAVG00000002520
gallus_gallus ENSGALG00000049402
coturnix_japonica ENSCJPG00005015096
cyanistes_caeruleus ENSCCEG00000017795
ficedula_albicollis ENSFALG00000000540
crocodylus_porosus ENSCPRG00005000220
chrysemys_picta_bellii ENSCPBG00000002073
xenopus_tropicalis ENSXETG00000025047
ictalurus_punctatus ENSIPUG00000011892
lonchura_striata_domestica ENSLSDG00000008018
calidris_pygmaea ENSCPGG00000018855
coturnix_japonica ENSCJPG00005015100
apteryx_owenii ENSAOWG00000009543
zonotrichia_albicollis ENSZALG00000010208
manacus_vitellinus ENSMVIG00005017203
cyanistes_caeruleus ENSCCEG00000000009
numida_meleagris ENSNMEG00000011318
coturnix_japonica ENSCJPG00005015101
dromaius_novaehollandiae ENSDNVG00000012467
anas_platyrhynchos_platyrhynchos ENSAPLG00000020617
apteryx_rowi ENSARWG00000017506
apteryx_haastii ENSAHAG00000019012
calidris_pugnax ENSCPUG00000014119
numida_meleagris ENSNMEG00000011306
anas_platyrhynchos_platyrhynchos ENSAPLG00000026018
calidris_pugnax ENSCPUG00000014120
chrysemys_picta_bellii ENSCPBG00000016792
gopherus_agassizii ENSGAGG00000013732
pogona_vitticeps ENSPVIG00000006402
lonchura_striata_domestica ENSLSDG00000001615
ailuropoda_melanoleuca ENSAMEG00000003438
myotis_lucifugus ENSMLUG00000004030
sorex_araneus ENSSARG00000005675
ursus_maritimus ENSUMAG00000025306
ursus_americanus ENSUAMG00000000201
neovison_vison ENSNVIG00000011592
panthera_tigris_altaica ENSPTIG00000012855
panthera_pardus ENSPPRG00000007560
felis_catus ENSFCAG00000010589
equus_asinus_asinus ENSEASG00005002616
tursiops_truncatus ENSTTRG00000004329
bison_bison_bison ENSBBBG00000015126
vicugna_pacos ENSVPAG00000010912
vicugna_pacos ENSVPAG00000003211
pteropus_vampyrus ENSPVAG00000003652
pan_troglodytes ENSPTRG00000041818
pan_paniscus ENSPPAG00000025690
homo_sapiens ENSG00000117322
gorilla_gorilla ENSGGOG00000003455
pongo_abelii ENSPPYG00000000268
nomascus_leucogenys ENSNLEG00000001078
rhinopithecus_bieti ENSRBIG00000043968
rhinopithecus_roxellana ENSRROG00000043679
colobus_angolensis_palliatus ENSCANG00000028720
piliocolobus_tephrosceles ENSPTEG00000035548
papio_anubis ENSPANG00000014170
theropithecus_gelada ENSTGEG00000011478
chlorocebus_sabaeus ENSCSAG00000015180
macaca_mulatta ENSMMUG00000013602
macaca_nemestrina ENSMNEG00000041352
macaca_fascicularis ENSMFAG00000030680
mandrillus_leucophaeus ENSMLEG00000040972
cercocebus_atys ENSCATG00000029594
saimiri_boliviensis_boliviensis ENSSBOG00000021258
callithrix_jacchus ENSCJAG00000018263
cebus_capucinus ENSCCAG00000034295
aotus_nancymaae ENSANAG00000022427
carlito_syrichta ENSTSYG00000008433
prolemur_simus ENSPSMG00000015635
microcebus_murinus ENSMICG00000014407
propithecus_coquereli ENSPCOG00000023810
cricetulus_griseus_crigri ENSCGRG00000017056
cricetulus_griseus_crigri-picr ENSCGRG00015017830
cricetulus_griseus_chok1gshd ENSCGRG00001020108
microtus_ochrogaster ENSMOCG00000013074
mesocricetus_auratus ENSMAUG00000009890
peromyscus_maniculatus_bairdii ENSPEMG00000007875
mus_spicilegus ENSMSIG00000026303
mus_musculus ENSMUSG00000026616
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015876
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015076
mus_pahari MGP_PahariEiJ_G0028308
rattus_norvegicus ENSRNOG00000034164
meriones_unguiculatus ENSMUGG00000020236
castor_canadensis ENSCCNG00000031380
chinchilla_lanigera ENSCLAG00000012385
octodon_degus ENSODEG00000006766
heterocephalus_glaber_female ENSHGLG00000006777
heterocephalus_glaber_male ENSHGLG00100003916
fukomys_damarensis ENSFDAG00000005551
cavia_porcellus ENSCPOG00000040430
cavia_aperea ENSCAPG00000002528
marmota_marmota_marmota ENSMMMG00000001798
tupaia_belangeri ENSTBEG00000007446
loxodonta_africana ENSLAFG00000009563
echinops_telfairi ENSETEG00000000981
choloepus_hoffmanni ENSCHOG00000004662
ornithorhynchus_anatinus ENSOANG00000012955
monodelphis_domestica ENSMODG00000029096
lepidothrix_coronata ENSLCOG00000009189
junco_hyemalis ENSJHYG00000017121
cyanistes_caeruleus ENSCCEG00000003560
serinus_canaria ENSSCAG00000015652
dromaius_novaehollandiae ENSDNVG00000012477
myotis_lucifugus ENSMLUG00000024274
lonchura_striata_domestica ENSLSDG00000008015
lepidothrix_coronata ENSLCOG00000009188
cyanistes_caeruleus ENSCCEG00000017797
melopsittacus_undulatus ENSMUNG00000011322
