seriola_dumerili ENSSDUG00000010985
seriola_lalandi ENSSLDG00000025552
lates_calcarifer ENSLCAG00010009652
monopterus_albus ENSMALG00000006008
mastacembelus_armatus ENSMAMG00000021290
tetraodon_nigroviridis ENSTNIG00000008632
takifugu_rubripes ENSTRUG00000025800
mola_mola ENSMMOG00000010355
larimichthys_crocea ENSLCRG00005017866
amphiprion_ocellaris ENSAOCG00000022344
amphiprion_percula ENSAPEG00000011294
acanthochromis_polyacanthus ENSAPOG00000004557
stegastes_partitus ENSSPAG00000008938
parambassis_ranga ENSPRNG00000017406
xiphophorus_couchianus ENSXCOG00000013293
xiphophorus_maculatus ENSXMAG00000021353
gambusia_affinis ENSGAFG00000009835
poecilia_formosa ENSPFOG00000013911
poecilia_mexicana ENSPMEG00000021784
poecilia_latipinna ENSPLAG00000023510
poecilia_reticulata ENSPREG00000015930
fundulus_heteroclitus ENSFHEG00000021553
cyprinodon_variegatus ENSCVAG00000015362
kryptolebias_marmoratus ENSKMAG00000018348
maylandia_zebra ENSMZEG00005027601
astatotilapia_calliptera ENSACLG00000013099
haplochromis_burtoni ENSHBUG00000020871
pundamilia_nyererei ENSPNYG00000011375
oreochromis_niloticus ENSONIG00000018518
neolamprologus_brichardi ENSNBRG00000018590
cottoperca_gobio ENSCGOG00000002268
gasterosteus_aculeatus ENSGACG00000008764
labrus_bergylta ENSLBEG00000001428
periophthalmus_magnuspinnatus ENSPMGG00000013177
anabas_testudineus ENSATEG00000003699
betta_splendens ENSBSLG00000014622
oryzias_latipes ENSORLG00020005696
oryzias_latipes ENSORLG00015010861
oryzias_latipes ENSORLG00000006690
oryzias_melastigma ENSOMEG00000005136
scophthalmus_maximus ENSSMAG00000020729
amphilophus_citrinellus ENSACIG00000017808
gouania_willdenowi ENSGWIG00000021973
cynoglossus_semilaevis ENSCSEG00000001846
hippocampus_comes ENSHCOG00000000076
gadus_morhua ENSGMOG00000012604
hucho_hucho ENSHHUG00000051660
esox_lucius ENSELUG00000024631
clupea_harengus ENSCHAG00000024817
denticeps_clupeoides ENSDCDG00000030187
astyanax_mexicanus ENSAMXG00000012484
astyanax_mexicanus ENSAMXG00005022820
pygocentrus_nattereri ENSPNAG00000000517
electrophorus_electricus ENSEEEG00000000137
ictalurus_punctatus ENSIPUG00000000214
danio_rerio ENSDARG00000007409
